sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;157,95;158,00;159,10;159,50;157,35;157,85;158,125;514934;81423848,48;2888;
2018-01-26;159,05;159,15;159,25;161,05;158,55;159,15;159,832;779159;124534801,74;4607;
2018-01-25;159,15;159,30;161,50;161,50;157,55;159,25;159,049;699166;111201272,56;4657;
2018-01-24;163,75;163,90;164,00;164,35;162,70;163,80;163,545;395986;64761172,46;1962;
2018-01-23;163,75;163,85;164,00;164,45;163,25;163,80;164,015;475772;78033497,7;2767;
2018-01-22;163,60;163,75;164,50;165,20;163,65;163,95;164,31;366400;60188535,7;1710;
2018-01-19;164,40;164,55;164,40;165,00;163,30;164,35;164,068;249717;40970454,7;1735;
2018-01-18;164,25;164,40;166,00;166,40;164,25;164,25;165,14;375703;62055018,31;2402;
2018-01-17;165,50;165,60;163,70;166,00;163,35;165,40;164,84;336525;55470708,08;2457;
2018-01-16;163,75;163,85;160,65;164,35;160,05;163,70;162,756;490783;79877840,5;3599;
2018-01-15;160,10;160,20;159,45;160,50;158,75;160,30;159,723;302349;48291968,3;2147;
2018-01-12;158,60;158,75;160,30;160,45;157,35;158,70;158,835;378682;60143800,68;2297;
2018-01-11;160,25;160,30;160,80;161,05;159,60;160,20;160,249;225145;36079578,1;1559;
2018-01-10;160,05;160,25;160,70;160,85;159,80;160,45;160,351;274280;43981006,8;1551;
2018-01-09;160,85;160,95;161,25;162,75;160,55;160,90;161,493;298487;48203205,38;1615;
2018-01-08;160,70;160,85;160,50;161,60;159,55;161,25;160,837;326693;52544170,98;1930;
2018-01-05;160,20;160,25;160,30;160,75;159,35;160,20;159,959;135612;21692381,7;1073;
2018-01-04;160,00;160,15;157,95;160,50;157,75;160,05;159,682;334526;53417662,75;2007;
2018-01-03;157,50;157,55;157,50;158,45;156,65;157,50;157,456;279388;43991118,5;1750;
2018-01-02;157,40;157,50;158,10;158,95;156,90;157,65;157,565;223740;35253417,81;1721;
2017-12-29;158,20;158,40;159,90;160,70;158,00;158,10;158,775;232472;36911449,15;1564;
2017-12-28;160,00;160,20;160,20;160,90;159,60;160,00;160,225;149186;23903280,5;1145;
2017-12-27;160,20;160,40;158,50;160,50;158,50;160,40;159,904;204001;32620511,1;1644;
2017-12-22;158,70;158,80;159,60;160,00;157,90;158,80;158,805;149324;23713479;1138;
2017-12-21;159,50;159,70;158,90;160,30;158,70;159,60;159,58;202093;32250060,65;1264;
2017-12-20;158,90;159,10;159,60;160,70;158,80;159,00;159,54;230568;36784840,4;1330;
2017-12-19;160,00;160,20;159,20;161,10;158,80;160,00;160,205;318291;50885772,55;1405;
2017-12-18;159,30;159,40;158,00;159,80;157,70;159,20;158,855;423683;67296256,25;2701;
2017-12-15;157,80;157,90;158,20;159,00;157,60;157,70;157,922;746340;117867989,3;1897;
2017-12-14;158,40;158,60;160,40;160,50;158,40;158,50;159,274;214664;34190383,3;1345;
2017-12-13;160,10;160,30;160,00;160,90;159,20;160,10;160,271;350169;56121771,2;1633;
2017-12-12;160,00;160,20;160,00;160,50;159,10;160,00;159,974;200948;32146460,65;1144;
2017-12-11;160,10;160,20;159,10;160,80;158,70;160,00;159,817;373430;59595252,7;1617;
2017-12-08;159,30;159,50;161,00;161,50;159,30;159,30;160,063;238096;38110432,45;1517;
2017-12-07;160,80;161,00;159,40;161,70;159,40;161,00;160,774;301730;48510261,7;1738;
2017-12-06;159,30;159,50;158,40;160,20;157,60;159,30;159,122;385563;61351757,2;1779;
2017-12-05;158,70;158,80;159,00;160,00;158,50;158,70;159,113;400080;63657870,2;2847;
2017-12-04;158,90;159,00;159,00;159,60;158,60;159,00;159,038;292181;46467672,65;1804;
2017-12-01;158,50;158,70;157,50;159,40;157,40;158,40;158,572;455739;72266874,15;2362;
2017-11-30;156,80;157,10;156,80;158,00;155,70;157,60;157,358;514778;81004500,2;1762;
2017-11-29;156,00;156,20;156,80;157,10;156,00;156,60;156,606;263659;41290413,95;1653;
2017-11-28;156,20;156,40;155,00;157,00;154,10;156,40;155,903;265658;41416851,1;1528;
2017-11-27;154,50;154,70;155,70;155,70;153,10;154,60;154,331;316783;48888083,75;1796;
2017-11-24;155,70;155,80;155,50;156,20;154,70;155,70;155,644;234032;36425621,9;1365;
2017-11-23;155,60;155,70;156,10;157,00;154,80;155,50;155,844;465825;72594914,15;1890;
2017-11-22;156,30;156,50;153,10;156,70;152,60;156,30;154,888;650994;100832627,25;1975;
2017-11-21;153,10;153,20;152,80;153,40;151,70;153,30;152,859;215666;32937952,48;1123;
