sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;432,40;432,80;440,00;440,40;432,40;432,40;434,746;79740;34666673,8;1450;
2018-01-26;439,80;440,40;436,60;443,20;432,80;441,00;439,52;42129;18516553,6;879;
2018-01-25;437,40;438,00;434,40;437,80;430,00;436,60;434,401;61638;26776172,5;1193;
2018-01-24;434,40;434,80;434,00;439,20;430,20;434,40;434,798;71447;31065488,8;1307;
2018-01-23;432,60;433,20;423,80;437,80;423,80;433,20;432,094;166261;71837742,6;2633;
2018-01-22;421,20;421,80;408,60;429,60;408,60;423,80;421,563;191983;80930823,4;2959;
2018-01-19;409,00;410,60;422,00;427,40;407,60;408,60;414,669;368840;152946642;5450;
2018-01-18;437,60;438,00;406,80;453,40;406,80;440,00;441,294;1047579;462425642,1;15899;
2018-01-17;384,20;384,60;388,80;388,80;381,60;384,00;384,614;57110;21964181,4;1024;
2018-01-16;388,20;388,60;390,20;396,60;385,20;388,80;388,963;101060;39309896;1817;
2018-01-15;389,80;390,20;385,00;390,60;379,60;390,40;387,166;72564;28106545,6;1287;
2018-01-12;382,60;383,00;374,00;384,40;369,20;383,80;381,888;181727;69392368,5;1824;
2018-01-11;372,80;373,20;372,60;373,60;365,80;373,40;370,004;71200;26344255,2;1290;
2018-01-10;374,00;374,60;377,00;379,20;372,00;374,00;375,575;306952;115279180,5;2217;
2018-01-09;378,80;379,40;370,40;380,40;370,40;379,60;376,757;98078;36951742;1659;
2018-01-08;369,80;370,20;362,80;372,00;362,80;370,20;367,467;148047;54403154,6;1891;
2018-01-05;362,60;363,40;357,00;367,80;357,00;362,20;363,233;61132;22200842,2;828;
2018-01-04;356,60;357,20;353,00;357,80;351,60;357,00;355,253;77247;27442199;1011;
2018-01-03;352,00;352,60;349,80;353,00;347,80;352,00;350,912;38213;13407146,6;835;
2018-01-02;348,80;349,40;344,60;351,60;343,60;349,80;348,929;52861;18443105,1;904;
2017-12-29;344,10;344,60;343,10;346,70;340,00;344,10;343,73;42162;14492263,4;938;
2017-12-28;342,70;343,20;340,50;345,20;339,50;343,20;342,749;33995;11651786,5;783;
2017-12-27;340,60;341,20;341,50;342,10;337,40;340,80;340,627;83756;28529529,75;1536;
2017-12-22;341,00;341,40;352,60;362,80;335,90;341,00;345,799;362798;127604174,15;4049;
2017-12-21;366,80;367,30;364,50;367,60;362,00;367,40;365,131;35797;13070440,6;896;
2017-12-20;364,10;364,50;367,30;367,30;360,40;364,60;363,376;66485;24159034,3;1084;
2017-12-19;366,80;367,50;358,00;369,60;356,70;367,30;363,698;110965;40357720,5;2016;
2017-12-18;358,30;358,80;351,50;359,00;350,00;359,00;356,183;59957;21352869,7;1114;
2017-12-15;351,30;351,70;350,70;352,30;347,10;351,50;350,568;33271;11663649,55;787;
2017-12-14;349,80;350,20;351,80;353,80;345,40;350,00;350,104;43204;15125897,7;1312;
2017-12-13;351,30;351,70;352,00;354,50;350,00;351,80;351,976;30441;10714489,8;792;
2017-12-12;351,40;351,90;353,50;353,80;349,00;352,50;352,104;21055;7413540;589;
2017-12-11;352,10;352,50;348,00;354,50;347,50;352,30;351,875;57350;20180043,4;1458;
2017-12-08;346,30;346,70;344,80;348,00;342,70;346,90;345,908;44617;15435344,5;847;
2017-12-07;344,00;344,40;347,80;350,00;343,40;344,80;345,425;35736;12344098,4;759;
2017-12-06;348,10;348,30;346,00;348,60;340,70;347,80;345,495;40663;14048850,1;913;
2017-12-05;346,20;346,30;344,70;347,90;342,10;346,50;344,974;33307;11490048,2;676;
2017-12-04;344,90;345,30;351,00;351,80;342,40;344,70;344,632;30217;10413646,9;813;
2017-12-01;349,30;350,00;350,60;354,30;347,50;349,90;350,062;54025;18912285,9;1244;
2017-11-30;352,40;352,70;347,60;357,80;345,60;352,90;352,123;90106;31728066,3;1536;
2017-11-29;348,60;349,20;340,10;349,70;340,10;349,00;346,897;52106;18075415,5;1223;
2017-11-28;340,00;340,40;333,40;342,30;333,40;340,10;339,854;56856;19322759,8;1057;
2017-11-27;333,90;334,30;335,00;336,20;332,90;333,30;334,024;21100;7047903;515;
2017-11-24;334,40;334,90;336,00;336,90;333,80;335,10;335,265;28936;9701221,1;718;
2017-11-23;334,90;335,20;338,30;339,60;334,00;336,00;335,532;20875;7004221,5;465;
2017-11-22;338,60;339,20;335,00;340,30;332,00;338,30;337,553;66625;22489499;1331;
2017-11-21;334,00;334,50;329,60;335,30;328,90;334,50;333,811;48073;16047317,6;1105;
2017-11-20;328,60;329,00;326,10;330,00;324,80;328,70;326,754;28636;9356702,8;694;
2017-11-17;326,00;326,40;332,00;332,00;325,40;326,40;327,793;30840;10109129,7;681;
2017-11-16;330,70;331,10;328,20;334,20;325,90;332,00;330,938;59701;19757326,1;1127;
2017-11-15;328,00;328,30;323,30;328,50;321,20;328,10;326,317;64975;21202396,9;1213;
2017-11-14;322,70;323,10;320,00;323,30;319,00;323,30;322,053;37320;12018589,65;748;
2017-11-13;320,00;320,50;321,10;321,10;319,50;320,30;320,075;35091;11231778,25;619;
2017-11-10;320,50;320,70;320,20;322,30;319,90;321,00;320,942;31310;10048712,5;672;
2017-11-09;320,40;320,90;322,60;322,90;320,00;320,90;320,883;51133;16407790,9;998;
2017-11-08;322,70;322,80;325,00;325,80;319,30;322,80;322,438;56044;18070660,25;998;
2017-11-07;325,10;325,70;328,50;330,20;324,40;325,00;326,069;72084;23508978,4;949;
2017-11-06;328,50;328,90;335,00;335,50;327,40;328,50;330,10;50617;16708406,3;1058;
