sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;211,80;212,20;215,60;215,80;211,40;211,80;212,539;319855;67981546;1370;
2018-01-26;215,60;216,00;214,00;216,40;212,60;215,80;215,304;193026;41559749;1222;
2018-01-25;213,20;213,40;216,80;216,80;212,40;213,40;214,062;316292;67706202,2;1837;
2018-01-24;217,60;217,80;221,60;222,20;217,20;217,40;218,925;224132;49068083,8;1452;
2018-01-23;221,20;221,60;219,80;222,00;219,60;221,60;220,739;457694;101029550,1;1173;
2018-01-22;219,40;219,60;219,40;220,80;218,60;219,40;219,671;265553;58334259,9;1223;
2018-01-19;219,20;219,40;215,60;221,20;215,00;219,80;219,08;608052;133212260,6;2252;
2018-01-18;218,00;218,20;221,20;221,20;217,80;218,80;218,954;277257;60706495,4;1240;
2018-01-17;221,40;221,60;222,20;224,00;219,60;221,40;220,893;497540;109906175,4;1861;
2018-01-16;221,20;221,40;218,60;222,00;218,60;221,40;220,674;392910;86704894,4;1351;
2018-01-15;220,20;220,60;222,00;222,60;219,00;220,00;220,113;180898;39817945,6;1049;
2018-01-12;221,40;221,60;223,20;223,20;220,80;222,00;222,002;373317;82878265,8;1504;
2018-01-11;222,60;222,80;224,00;224,20;221,60;222,80;222,886;373101;83158866,4;1338;
2018-01-10;224,00;224,20;227,00;227,60;223,20;224,00;224,589;236557;53129609,2;1408;
2018-01-09;226,80;227,00;226,20;227,60;225,80;227,00;226,846;394905;89583158,35;1099;
2018-01-08;225,80;226,00;225,00;227,20;225,00;226,20;226,079;371346;83953253,1;1589;
2018-01-05;224,00;224,20;222,60;225,00;221,80;225,00;223,966;162488;36387820;618;
2018-01-04;221,40;221,60;221,40;221,80;219,40;221,80;221,19;169759;37549026,4;1180;
2018-01-03;220,40;220,60;220,00;221,40;217,40;221,40;220,282;183131;40340473,4;1079;
2018-01-02;217,80;218,00;217,00;219,60;217,00;218,20;218,375;144458;31545999,6;1123;
2017-12-29;218,60;218,80;218,80;219,80;217,90;219,40;219,18;137783;30198244,3;778;
2017-12-28;218,90;219,10;218,50;219,40;216,60;219,00;218,75;106396;23274014;830;
2017-12-27;217,90;218,10;216,00;218,30;215,20;218,20;217,198;167159;36306649,6;1233;
2017-12-22;215,80;215,90;217,90;217,90;214,60;215,70;215,849;112228;24224569,1;958;
2017-12-21;217,60;217,80;219,30;219,30;217,20;217,90;217,998;150435;32794450,5;1092;
2017-12-20;219,00;219,20;220,20;220,80;218,70;219,70;219,848;212542;46774379,55;1109;
2017-12-19;220,40;220,50;220,50;221,80;220,20;220,70;221,016;154273;34096920,55;1270;
2017-12-18;220,80;221,00;220,20;221,90;219,90;220,90;220,95;191147;42233991,1;1302;
2017-12-15;220,20;220,30;221,00;221,20;219,50;220,30;220,318;336692;74179266,81;1680;
2017-12-14;221,10;221,30;220,80;222,50;220,60;221,90;221,77;177840;39439303,8;1058;
2017-12-13;220,90;221,00;222,00;222,00;220,20;221,30;221,084;213185;47131828,9;1178;
2017-12-12;221,00;221,30;220,90;221,60;219,90;221,60;221,037;257179;56846280,1;1137;
2017-12-11;220,70;220,80;221,60;222,50;219,70;220,90;221,003;240660;53186682,6;1505;
2017-12-08;220,60;220,90;218,30;221,50;218,20;220,40;219,923;274867;60451571,5;1345;
2017-12-07;217,00;217,20;215,70;217,90;215,40;217,30;216,88;235538;51083304,8;1294;
2017-12-06;216,30;216,60;217,40;217,40;215,20;216,50;216,301;133477;28871343,7;1098;
2017-12-05;217,90;218,20;215,90;218,20;215,50;218,10;216,91;163989;35579011,24;1211;
2017-12-04;215,90;216,00;214,60;216,70;213,70;216,00;215,757;122278;26382290,6;1051;
2017-12-01;213,90;214,20;215,30;216,00;213,90;214,20;214,544;165402;35486005,5;1140;
2017-11-30;214,70;214,90;215,30;215,70;213,90;215,70;215,431;251365;54151659,6;953;
