sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;65,14;65,28;64,58;66,18;63,02;65,14;64,654;1496730;96767699,67;3642;
2018-01-26;64,86;64,96;66,30;66,78;64,02;65,04;65,035;1615098;105033820,94;3797;
2018-01-25;67,08;67,12;66,60;67,48;66,12;67,08;66,957;1037594;69473913,13;2333;
2018-01-24;66,74;66,82;65,80;66,94;65,20;66,60;66,308;819855;54371196,45;1773;
2018-01-23;65,84;65,90;65,96;66,10;65,18;65,82;65,64;508265;33362690,14;1430;
2018-01-22;65,92;65,98;65,10;66,12;64,60;65,86;65,533;890659;57939205,79;2346;
2018-01-19;65,06;65,08;64,02;65,64;63,86;65,10;64,978;690540;44869777,62;1418;
2018-01-18;63,88;63,96;64,32;64,90;63,74;64,00;64,24;546421;35104780,88;1344;
2018-01-17;64,10;64,18;65,72;65,76;64,10;64,14;64,692;745052;48199108,12;2231;
2018-01-16;65,94;66,00;66,00;66,64;65,76;65,88;66,154;498876;33002859,4;1551;
2018-01-15;66,74;66,84;66,00;67,88;65,70;66,64;66,80;856457;57211455,86;2463;
2018-01-12;65,76;65,82;65,70;67,20;65,34;65,84;66,534;1276239;84915359,16;2977;
2018-01-11;65,78;65,84;65,30;65,88;64,34;65,80;65,366;1238904;80979685,82;2722;
2018-01-10;66,02;66,12;66,10;66,82;65,16;66,00;66,027;1299291;85787787,74;2893;
2018-01-09;66,04;66,10;64,96;66,28;64,16;66,02;65,308;1140241;74450697,83;2805;
2018-01-08;64,40;64,46;66,10;66,40;63,82;64,46;64,535;2196142;141728330,18;5547;
2018-01-05;65,88;65,94;64,18;66,00;64,18;65,90;65,479;1668430;109171269,48;3777;
2018-01-04;63,86;63,94;62,52;64,24;62,42;63,66;63,606;1575224;100196964,99;3273;
2018-01-03;62,32;62,36;61,96;62,76;61,84;62,30;62,326;934687;58254811,2;1846;
2018-01-02;61,74;61,86;60,50;62,46;60,36;61,76;61,774;731247;45169322,04;1975;
2017-12-29;60,20;60,30;61,05;61,45;60,20;60,50;60,799;494143;30044418,58;1300;
2017-12-28;60,95;61,10;61,05;62,00;60,55;61,00;61,149;696237;42574854,13;1451;
2017-12-27;60,95;61,00;61,35;61,50;59,95;61,15;60,768;913969;55540107,3;1865;
2017-12-22;61,15;61,25;61,70;61,80;60,70;61,35;61,385;867214;53233765,6;2061;
2017-12-21;61,65;61,75;60,75;61,90;60,35;61,80;61,508;661734;40702207,2;1498;
2017-12-20;60,75;60,85;61,40;62,20;60,80;60,95;61,312;832009;51012127,3;1655;
2017-12-19;61,40;61,45;61,60;63,00;61,10;61,55;62,072;1375327;85368630,25;2724;
2017-12-18;61,50;61,60;60,00;61,75;60,00;61,50;61,012;1179833;72706483,45;2501;
2017-12-15;60,00;60,10;59,60;60,70;59,10;59,95;59,926;1174589;70375015,32;1864;
2017-12-14;59,70;59,80;58,95;59,90;58,60;59,90;59,593;967124;57633593,68;1787;
2017-12-13;58,80;58,90;59,20;59,40;58,55;58,85;58,917;725070;42715097,91;1577;
2017-12-12;59,05;59,15;59,25;59,90;58,90;59,20;59,287;555229;32917653,15;1343;
2017-12-11;59,15;59,25;59,00;59,60;58,80;59,20;59,149;644502;38116803,05;1495;
