sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;290,30;290,50;286,00;292,80;285,90;290,40;290,659;1136409;330307140,7;4908;
2018-01-26;285,80;285,90;287,10;287,70;284,20;285,80;285,54;813193;232198784;3644;
2018-01-25;287,10;287,30;287,90;290,90;286,10;286,70;288,16;1503907;433366524,6;6899;
2018-01-24;288,20;288,40;286,00;290,70;286,00;287,70;288,01;1607599;463004187;6694;
2018-01-23;284,50;284,60;291,00;291,00;283,40;284,80;285,662;1304907;372766266,55;5723;
2018-01-22;289,10;289,30;290,10;291,60;288,90;289,60;290,072;759088;219342225;3534;
2018-01-19;289,20;289,40;288,50;291,30;288,50;289,90;289,948;1229456;356480292,15;4751;
2018-01-18;286,70;286,90;290,80;291,60;286,70;287,90;288,333;1093597;315319080;4618;
2018-01-17;290,90;291,00;289,00;293,20;289,00;290,90;291,114;938303;273153417,7;4114;
2018-01-16;290,50;290,60;294,00;294,10;289,80;290,70;291,145;1342553;390837122,69;5263;
2018-01-15;294,80;295,00;292,60;297,00;292,30;294,90;295,14;959741;283353124,56;4510;
2018-01-12;296,70;296,80;300,10;300,10;296,30;297,60;297,559;1064621;316787693;4419;
2018-01-11;298,80;298,90;299,90;301,20;297,60;298,60;298,641;1028367;307112446,7;4528;
2018-01-10;299,90;300,00;299,50;300,90;296,80;299,90;299,07;1413540;422748276,05;5469;
2018-01-09;299,70;299,90;295,10;300,90;295,00;299,80;299,211;2229826;667222320,7;7807;
2018-01-08;294,50;294,60;293,10;295,70;292,30;294,50;293,964;1321672;388485519,35;5326;
2018-01-05;290,80;291,00;290,50;291,70;290,40;291,50;291,173;489773;142607728,92;1863;
2018-01-04;290,10;290,30;291,70;292,60;289,00;290,10;290,20;1249165;362537588,7;4400;
2018-01-03;289,40;289,60;289,70;293,40;287,80;289,80;290,377;1628804;472964938,4;6700;
2018-01-02;289,10;289,40;280,60;290,00;280,00;289,50;286,39;1728242;494842843,8;7113;
