sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;134,50;134,65;136,60;136,90;134,55;134,75;135,023;813224;109804920,45;3754;
2018-01-26;136,50;136,60;135,80;136,70;135,00;136,55;136,27;1165648;158775064,85;3315;
2018-01-25;135,15;135,25;138,00;138,00;134,60;135,00;135,393;1344380;182007160,3;4397;
2018-01-24;135,70;135,80;137,55;138,40;135,60;135,85;136,904;1023844;140172181,91;4016;
2018-01-23;138,75;138,90;137,45;139,10;137,45;139,00;138,507;636487;88158094,2;1888;
2018-01-22;137,25;137,30;137,95;138,45;137,25;137,35;137,461;631508;86799988,6;2295;
2018-01-19;137,40;137,50;137,30;138,95;137,05;137,80;137,941;861493;118834974;3240;
2018-01-18;137,30;137,40;138,50;138,60;136,90;137,50;137,442;462465;63561803,9;1807;
2018-01-17;138,25;138,35;137,95;138,80;137,45;138,35;138,271;616392;85229383,05;2394;
2018-01-16;137,75;137,85;137,30;138,50;136,85;138,10;137,602;708532;97495184,35;2920;
2018-01-15;137,40;137,50;138,85;139,00;136,55;137,45;137,60;642171;88362671,2;2825;
2018-01-12;138,15;138,30;139,00;139,25;138,15;138,50;138,633;735831;102010066,6;3186;
2018-01-11;138,90;139,00;139,65;139,95;138,05;138,80;138,978;649534;90270928,11;2553;
2018-01-10;139,20;139,25;141,05;141,45;138,85;139,30;139,715;620343;86671397,23;2388;
2018-01-09;141,50;141,65;141,55;141,95;140,90;141,55;141,275;696605;98413093,25;2006;
2018-01-08;141,10;141,20;140,05;141,45;139,10;141,35;140,761;638280;89844299,4;2437;
2018-01-05;139,00;139,10;137,45;140,15;137,20;140,15;139,179;742711;103369354,15;2247;
2018-01-04;136,90;137,00;137,75;137,95;136,20;137,15;136,861;555504;76027031,51;1976;
2018-01-03;137,20;137,35;136,45;137,70;135,75;137,40;136,788;672599;92002188,58;3377;
2018-01-02;136,15;136,25;138,30;138,55;136,10;136,45;136,741;655758;89669912,98;3358;
2017-12-29;138,00;138,20;137,20;138,40;137,20;138,40;138,10;551829;76207221,55;1255;
2017-12-28;137,60;137,80;136,90;137,80;136,60;137,50;137,447;324073;44542963;1355;
2017-12-27;136,90;137,10;135,90;137,20;135,60;136,90;136,566;536981;73334461,35;1902;
2017-12-22;136,10;136,30;136,60;136,80;135,30;136,10;136,073;510886;69517506,4;2185;
2017-12-21;136,90;137,00;137,20;137,30;135,50;136,90;136,817;717168;98120679,1;2123;
2017-12-20;137,40;137,60;138,50;138,50;137,10;137,60;137,557;490090;67415291,6;1625;
2017-12-19;138,50;138,60;139,50;139,60;138,30;138,50;138,745;607779;83918591;1368;
2017-12-18;139,60;139,80;137,30;140,00;137,30;139,50;139,103;528616;73506244,3;2062;
2017-12-15;137,20;137,40;137,30;137,90;136,20;137,30;137,208;875523;120128532,2;2198;
2017-12-14;137,10;137,30;137,20;137,90;137,00;137,30;137,312;488292;67048534,9;1778;
2017-12-13;137,50;137,70;137,60;137,90;136,60;137,70;137,461;441902;60744296,8;1188;
2017-12-12;137,50;137,60;137,40;137,90;136,90;137,60;137,52;460478;63324490,5;1395;
2017-12-11;137,30;137,40;137,90;137,90;136,80;137,40;137,422;617886;84844586,2;1162;
2017-12-08;137,40;137,60;137,90;138,10;136,30;137,60;137,36;450306;61854089,1;1385;
2017-12-07;137,00;137,20;137,00;137,90;136,60;137,20;137,088;640591;87818102,8;1481;
2017-12-06;136,90;137,10;137,30;137,30;135,10;137,00;136,578;650060;88783818,45;2259;
2017-12-05;137,50;137,70;136,50;137,70;136,40;137,70;137,281;719052;98711828,7;1577;
2017-12-04;136,50;136,70;136,40;137,20;135,20;136,50;136,454;513039;70006062,25;1864;
2017-12-01;135,00;135,20;135,90;136,00;135,00;135,10;135,252;481142;65076830,65;1436;
2017-11-30;135,20;135,40;135,90;136,60;135,20;135,60;135,677;1160592;157465366,4;1555;
2017-11-29;135,90;136,10;136,90;137,00;135,90;135,90;136,185;389019;52978698;1511;
2017-11-28;135,90;136,10;136,90;137,30;135,80;136,20;136,309;435050;59301039,6;1829;
2017-11-27;137,00;137,10;136,40;137,30;136,30;136,90;136,924;562495;77018848,9;2004;
2017-11-24;136,20;136,30;134,40;136,60;134,20;136,20;135,807;661955;89899357,45;2221;
2017-11-23;134,30;134,50;133,60;134,50;132,70;134,50;133,978;389004;52117805,65;1225;
2017-11-22;133,40;133,50;134,70;134,90;133,20;133,50;133,626;614819;82155712,9;1612;
2017-11-21;134,20;134,40;133,50;135,00;133,10;134,50;134,374;505508;67923619,33;1757;
2017-11-20;133,20;133,30;134,30;134,50;133,20;133,30;133,739;526049;70321399,3;1785;
2017-11-17;134,10;134,20;135,60;135,80;133,80;134,40;134,404;864603;116205830,1;2126;
2017-11-16;135,20;135,40;134,90;136,40;134,50;135,50;135,457;588565;79724347;1567;
2017-11-15;134,20;134,50;134,00;134,80;133,10;134,60;134,008;667598;89463666;2078;
2017-11-14;134,00;134,10;132,90;134,70;132,60;134,10;134,025;493143;66093568;1550;
2017-11-13;132,60;132,80;133,60;134,10;131,60;132,80;132,776;411939;54695498,5;1454;
2017-11-10;133,60;133,70;134,10;134,40;133,30;133,60;133,68;417431;55802319,2;1573;
2017-11-09;133,70;133,90;134,30;134,70;133,50;134,00;134,058;442558;59328322,9;1353;
2017-11-08;134,30;134,50;134,20;135,10;133,80;134,50;134,405;516557;69430362,5;1430;
2017-11-07;133,70;133,90;134,30;134,70;133,60;133,90;134,065;737965;98937210,75;1959;
2017-11-06;134,20;134,30;135,10;135,30;134,00;134,40;134,571;394680;53112326;1525;
2017-11-03;135,40;135,50;134,20;135,50;134,10;135,10;135,074;274129;37026936,25;963;
2017-11-02;134,20;134,30;134,20;135,10;133,90;134,00;134,309;616507;82802243;2030;
2017-11-01;134,50;134,60;134,30;135,60;133,80;134,20;134,729;696362;93820381,35;2080;
2017-10-31;134,10;134,30;133,00;134,60;133,00;134,30;134,074;502778;67406571,3;1427;
2017-10-30;132,60;132,80;132,30;133,00;131,60;132,90;132,511;554552;73484177,3;2258;
2017-10-27;132,00;132,10;131,40;132,50;131,10;132,30;132,015;701351;92587834,35;2332;
2017-10-26;130,80;130,90;130,40;131,20;129,30;131,20;130,178;1293043;168326125,7;2993;
2017-10-25;129,90;130,10;131,00;131,30;129,80;130,00;130,368;1099106;143478270,2;2584;
2017-10-24;131,00;131,10;131,40;132,10;130,20;130,70;130,948;1256292;164384975;2526;
2017-10-23;131,70;131,90;132,60;133,00;131,60;131,60;132,251;1144570;151364532,75;3678;
2017-10-20;132,60;132,70;133,90;134,80;132,60;132,60;133,342;825733;110104543,25;2743;
2017-10-19;134,60;134,80;135,00;135,60;133,50;134,60;134,329;1010368;135721876,2;2972;
2017-10-18;134,70;134,80;131,90;134,90;131,30;134,70;133,627;1155018;154341615,35;3610;
2017-10-17;131,20;131,30;132,70;132,70;131,00;131,40;131,736;982362;129413900,1;2333;
2017-10-16;131,20;131,40;131,10;131,50;130,30;131,20;130,904;507629;66450574,9;1945;
2017-10-13;131,00;131,20;130,40;131,90;129,60;131,10;130,885;971049;127094337,6;2642;
2017-10-12;130,40;130,60;127,80;130,50;127,60;130,40;129,573;812566;105283139,35;2226;
2017-10-11;128,10;128,30;127,90;128,30;127,40;128,10;127,799;645208;82456938,8;1553;
2017-10-10;127,80;127,90;127,70;128,00;127,10;127,80;127,645;523329;66799075,95;1618;
2017-10-09;127,80;128,00;126,90;128,20;126,50;127,80;127,623;496782;63400572,1;1840;
2017-10-06;126,80;126,90;128,30;128,30;126,70;127,00;127,46;484796;61791845,3;1537;
