sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;75,02;75,06;75,50;75,54;74,54;75,10;75,097;1541046;115714458,66;2842;
2018-01-26;75,34;75,38;74,32;75,74;74,24;75,26;75,089;1354293;101688751,58;4356;
2018-01-25;74,06;74,10;72,66;75,98;72,64;74,00;74,243;2866279;212833306,82;6306;
2018-01-24;72,48;72,56;73,36;73,36;72,38;72,58;72,731;1085334;78936782,06;2722;
2018-01-23;73,20;73,28;71,32;73,44;71,28;73,36;72,868;2016222;146911757,91;4139;
2018-01-22;70,72;70,80;70,82;71,36;70,58;70,76;70,972;917845;65220440,44;2256;
2018-01-19;70,78;70,82;69,50;70,98;69,38;70,68;70,29;1791179;125943720,46;3739;
2018-01-18;69,30;69,38;69,74;70,20;69,18;69,40;69,416;902742;62672561,32;1886;
2018-01-17;69,72;69,78;70,06;70,32;69,50;69,72;69,88;943984;65965013,42;2695;
2018-01-16;69,90;69,94;70,38;70,38;69,52;70,02;69,93;1213046;84827562,28;2823;
2018-01-15;70,30;70,32;69,00;70,96;69,00;70,30;70,296;2059502;144777764,53;4848;
2018-01-12;69,04;69,14;68,68;69,38;68,20;69,14;68,998;1438643;99261738,09;3116;
2018-01-11;68,66;68,74;68,40;68,86;66,88;68,74;67,873;1745817;118338326,37;3874;
2018-01-10;68,28;68,32;69,78;69,86;68,02;68,38;68,573;1261909;86533220,24;3086;
2018-01-09;69,54;69,60;70,30;70,82;69,32;69,60;69,843;1569560;109620457,98;3086;
2018-01-08;70,12;70,20;71,00;72,12;70,06;70,18;70,655;1940859;137058552,92;4171;
2018-01-05;70,78;70,86;68,60;71,26;68,60;70,70;70,177;1337814;93883472,1;2451;
2018-01-04;68,62;68,66;67,66;68,96;67,36;68,42;68,269;1193301;81464073,59;2572;
2018-01-03;67,34;67,40;66,58;67,94;66,12;67,20;66,888;1701929;113840050,48;3634;
2018-01-02;66,54;66,64;67,86;68,10;66,20;66,64;66,836;1606011;107339165,13;3402;
2017-12-29;67,60;67,65;66,95;67,80;66,85;67,75;67,459;762321;51425685,2;1596;
2017-12-28;67,20;67,25;67,45;67,80;67,05;67,05;67,32;630282;42430352,85;1412;
2017-12-27;67,40;67,50;67,40;67,60;66,35;67,50;67,139;1004548;67444131,5;2172;
2017-12-22;67,40;67,50;66,95;68,10;66,70;67,45;67,551;851834;57542682,38;2248;
2017-12-21;66,95;67,05;66,65;67,55;66,40;66,95;66,934;1482298;99216201,6;3052;
2017-12-20;66,70;66,75;67,60;67,65;66,60;66,60;66,837;2207281;147527390,55;2458;
2017-12-19;67,55;67,60;67,70;68,10;67,15;67,55;67,61;1572784;106445219,1;3366;
2017-12-18;67,90;68,00;68,00;69,10;67,85;68,00;68,469;2376928;162232646,75;3639;
2017-12-15;67,90;68,00;69,00;69,00;67,20;67,90;67,993;2860962;194525092,05;4218;
2017-12-14;68,80;68,85;69,20;69,60;68,60;69,00;68,967;1120605;77287449,38;2199;
2017-12-13;69,30;69,35;69,95;70,10;69,20;69,45;69,592;1391928;97009051,15;1755;
2017-12-12;69,90;69,95;70,60;71,00;69,65;70,10;70,154;1463701;102686266,45;3379;
2017-12-11;70,50;70,55;70,45;70,80;69,90;70,55;70,462;847961;59749045,2;1789;
2017-12-08;70,60;70,65;70,00;70,80;68,90;70,45;69,742;1487940;103770675,4;2798;
2017-12-07;69,75;69,85;70,35;70,75;69,50;69,85;69,91;814744;56958911;1628;
2017-12-06;70,35;70,40;71,05;71,05;69,50;70,45;70,197;813366;57095602,5;2310;
2017-12-05;71,50;71,55;69,65;72,15;69,40;71,45;71,224;1669375;118899951,65;3453;
2017-12-04;69,80;69,90;69,25;69,90;68,65;69,75;69,409;1244765;86398076,35;2708;
2017-12-01;68,60;68,70;69,95;69,95;68,45;68,65;68,901;1876274;129276990,95;3385;
2017-11-30;69,65;69,75;74,30;74,70;67,30;69,80;70,388;4075259;286858488,4;7665;
2017-11-29;69,90;70,00;72,50;72,85;69,70;70,05;70,727;1728551;122259474,15;3753;
2017-11-28;72,20;72,30;72,05;72,35;71,50;72,20;71,953;1288006;92675629,01;2226;
2017-11-27;72,15;72,25;72,35;73,50;72,15;72,15;72,592;949476;68929004,9;2580;
2017-11-24;72,20;72,30;72,90;73,20;72,05;72,30;72,593;577944;41954479;1605;
2017-11-23;72,95;73,00;73,15;73,95;72,70;73,05;73,271;811651;59470253,1;1890;
2017-11-22;72,75;72,85;73,75;74,30;72,75;73,10;73,476;1210375;88944243,73;2613;
2017-11-21;73,50;73,60;73,10;74,55;72,95;73,60;73,547;1405153;103350612,1;2931;
2017-11-20;73,05;73,15;72,40;73,20;72,00;73,05;72,789;968472;70496983,98;1945;
2017-11-17;71,95;72,00;73,40;73,85;71,80;72,10;72,352;1040546;75285305,06;1845;
2017-11-16;73,00;73,15;73,50;74,65;71,80;73,25;73,381;1979804;145279802,95;4038;
2017-11-15;73,00;73,05;72,20;73,10;71,85;73,10;72,718;1468586;106793127,7;2715;
2017-11-14;72,05;72,15;70,40;72,60;70,40;72,30;71,948;2349412;169023318,66;4201;
2017-11-13;70,10;70,20;69,00;70,40;68,40;70,20;69,679;1915265;133454618,88;4021;
2017-11-10;69,40;69,45;73,00;73,00;66,90;69,55;69,737;8172234;569736214,02;13745;
2017-11-09;77,25;77,35;78,45;78,45;76,70;77,20;77,325;1304435;100865147,01;2863;
2017-11-08;78,35;78,45;78,10;78,45;77,40;78,20;78,042;1012439;79013099,15;2217;
2017-11-07;77,80;77,85;78,70;78,70;77,65;77,90;78,119;639009;49918474,65;1681;
2017-11-06;78,35;78,45;78,00;79,00;77,85;78,45;78,412;874799;68593848,6;2132;
2017-11-03;78,40;78,45;78,45;79,10;77,80;78,10;78,45;765737;60072347,2;2104;
2017-11-02;78,90;79,00;79,40;80,00;78,75;79,00;79,286;775178;61460662,85;2213;
2017-11-01;79,25;79,35;80,75;81,00;79,25;79,35;79,969;827703;66190635,85;2223;
2017-10-31;80,45;80,50;80,85;80,95;80,30;80,50;80,583;436316;35159934,2;1209;
2017-10-30;80,50;80,60;81,10;81,10;80,20;80,55;80,49;425170;34222078,1;1270;
2017-10-27;80,80;80,90;80,50;81,45;80,30;80,95;80,968;776483;62870226,05;2082;
2017-10-26;80,15;80,25;80,35;80,40;79,70;80,20;80,059;737295;59027034,85;1398;
