sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;54,80;55,00;54,20;55,30;53,80;54,80;54,70;29781;1629004,7;136;
2018-01-26;54,10;54,40;54,80;54,80;53,30;54,20;54,351;71587;3890801,6;134;
2018-01-25;54,00;54,40;55,90;55,90;54,10;54,40;54,799;47835;2621325,5;157;
2018-01-24;55,80;56,00;56,30;56,50;55,50;55,80;56,008;34377;1925395,9;128;
2018-01-23;56,30;56,60;56,80;57,00;56,20;56,40;56,373;44303;2497539,1;168;
2018-01-22;56,80;57,00;58,00;58,00;56,50;56,70;57,154;82270;4702025,2;185;
2018-01-19;57,80;58,10;58,10;58,50;57,60;58,00;58,017;26034;1510405,3;113;
2018-01-18;57,90;58,20;57,90;59,10;57,70;58,00;58,421;69384;4053500,7;159;
2018-01-17;57,60;57,80;56,00;58,20;56,00;57,60;57,124;98046;5600808,4;210;
2018-01-16;56,00;56,10;56,10;56,70;56,00;56,00;56,095;87382;4901665,4;188;
2018-01-15;56,30;56,70;56,70;56,90;56,20;56,60;56,531;15859;896523,3;66;
2018-01-12;56,40;56,70;56,00;56,90;55,50;56,80;56,036;55467;3108126,9;131;
2018-01-11;56,00;56,10;55,90;56,10;55,50;56,10;55,774;23276;1298196,2;89;
2018-01-10;55,60;55,90;55,70;56,10;54,70;55,80;55,335;160000;8853610,7;259;
2018-01-09;55,70;56,00;55,40;56,00;55,10;56,00;55,618;18789;1045001,4;97;
2018-01-08;55,20;55,40;55,10;55,40;54,50;55,40;55,05;40114;2208292,5;152;
2018-01-05;54,80;55,10;54,40;55,00;54,30;55,00;54,667;8981;490959,9;37;
2018-01-04;54,30;54,40;54,60;54,80;53,40;54,40;54,379;34729;1888542,9;87;
2018-01-03;54,10;54,30;53,50;54,50;53,50;54,20;54,199;34568;1873535;112;
2018-01-02;53,60;53,90;53,30;54,10;53,30;53,90;53,821;28861;1553338,1;74;
2017-12-29;52,95;53,20;53,60;53,60;52,95;53,25;53,241;68879;3667172,45;143;
2017-12-28;53,35;53,50;54,35;54,35;53,10;53,55;53,398;96414;5148318,2;190;
2017-12-27;54,25;54,35;54,30;54,80;53,40;54,45;53,905;54050;2913572,05;180;
2017-12-22;54,45;54,80;55,20;55,25;54,15;54,95;54,648;19308;1055133,4;93;
2017-12-21;55,05;55,30;53,55;55,45;53,55;55,25;54,587;26867;1466595,85;168;
2017-12-20;53,65;53,90;54,95;55,05;53,65;53,65;54,337;45806;2488943,15;110;
2017-12-19;54,90;55,15;55,20;55,55;54,75;54,95;55,049;29167;1605604,95;137;
2017-12-18;55,70;55,95;53,55;56,00;53,55;55,35;55,142;119204;6573139,65;245;
2017-12-15;54,30;54,45;54,70;54,70;53,55;53,55;53,881;138105;7441204,15;210;
2017-12-14;54,35;54,75;55,50;55,50;53,50;54,75;54,173;28936;1567537,6;103;
2017-12-13;55,30;55,50;53,30;55,80;53,30;55,50;54,371;116897;6355820,95;190;
