sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;157,46;157,48;156,90;158,18;156,60;157,54;157,382;5053693;795359440,86;11410;
2018-01-26;156,76;156,80;157,82;158,06;156,50;156,50;157,099;4305045;676334268,55;10659;
2018-01-25;157,16;157,20;157,54;158,48;156,70;157,30;157,435;5123969;806697567,04;11580;
2018-01-24;157,94;157,98;157,98;158,64;157,30;157,68;157,925;4344664;686143568;10428;
2018-01-23;157,40;157,44;156,56;158,42;156,54;157,42;157,709;5059549;797950177,29;11482;
2018-01-22;156,38;156,42;157,84;158,20;156,00;156,56;156,773;5267941;827422983,19;12287;
2018-01-19;157,68;157,70;157,12;158,32;156,70;157,80;157,567;5561698;876342849,98;13011;
2018-01-18;157,10;157,12;157,50;159,06;156,44;157,12;157,625;6470536;1019701006,91;15147;
2018-01-17;157,08;157,14;159,24;159,70;155,74;157,32;157,132;7261531;1141187887,58;17993;
2018-01-16;159,94;159,96;160,36;160,96;159,88;160,14;160,337;3721326;596688310,69;8641;
2018-01-15;160,46;160,50;160,00;161,14;159,60;160,44;160,527;5389223;865271771,58;12590;
2018-01-12;159,94;159,98;159,38;160,36;158,54;160,36;159,862;6620635;1058388924,29;13805;
2018-01-11;159,14;159,20;161,04;161,20;157,94;159,38;159,269;7219872;1149827152,84;17521;
2018-01-10;160,48;160,50;159,72;160,80;159,12;160,80;160,193;6952678;1113801234,24;14962;
2018-01-09;159,64;159,68;161,50;161,60;158,90;159,72;159,967;10208672;1633061938,82;21334;
2018-01-08;163,06;163,12;162,00;166,00;161,86;163,06;163,928;7094767;1163060169,41;16947;
2018-01-05;162,40;162,44;164,50;164,76;160,80;162,90;162,484;6476815;1052330530,03;15719;
2018-01-04;165,08;165,10;168,04;168,42;164,50;165,38;165,607;9124479;1512097340,04;19275;
2018-01-03;167,84;167,94;169,50;172,00;167,30;168,04;169,086;6101081;1031593395,37;15567;
2018-01-02;168,30;168,38;169,24;170,42;167,72;168,92;169,118;6896756;1166357581,7;15451;
2017-12-29;169,50;169,60;170,20;171,40;169,30;169,30;170,119;5424109;922769644,2;10445;
2017-12-28;170,40;170,50;170,10;171,80;169,40;170,70;170,681;3959979;675889689,6;10371;
2017-12-27;169,80;169,90;170,40;171,30;169,30;170,20;170,043;4803602;816815825,85;11565;
2017-12-22;170,20;170,40;170,30;172,80;170,10;170,70;171,246;5369425;919481539,6;13160;
2017-12-21;170,00;170,10;168,40;170,40;168,10;170,20;169,461;5486961;929803236,5;10302;
2017-12-20;167,90;168,00;172,80;173,20;166,90;168,20;169,319;9050284;1533611870,45;19262;
2017-12-19;172,20;172,30;169,20;173,40;168,60;172,10;172,136;10601405;1845870289,9;21834;
2017-12-18;169,20;169,30;173,30;173,30;164,90;170,00;168,197;28912574;4872531562,65;39768;
2017-12-15;173,50;173,60;178,00;180,00;168,50;174,30;173,161;40413793;6997877377,55;82782;
2017-12-14;200,10;200,20;201,90;203,30;199,90;200,30;200,827;4386336;880864750,35;8782;
2017-12-13;202,70;202,80;199,80;203,40;199,50;202,50;201,923;5696259;1150198551,9;12455;
2017-12-12;199,20;199,40;199,60;200,10;197,70;199,70;199,072;3307439;658409502,4;7261;
2017-12-11;199,20;199,30;198,00;200,00;197,30;199,60;198,946;3535102;703285097,3;7325;
2017-12-08;198,10;198,20;196,90;198,80;196,90;198,30;198,219;3356003;665223398,5;7302;
2017-12-07;196,60;196,70;197,60;198,00;196,20;196,70;196,896;2980272;586804791,05;7155;
2017-12-06;197,70;197,80;196,00;200,40;195,70;197,60;197,782;4197217;830133136,4;9859;
2017-12-05;197,40;197,60;195,80;199,10;195,10;197,10;197,049;3798994;748585973,35;9914;
2017-12-04;196,30;196,50;192,90;196,50;191,10;196,20;194,171;4695536;911741163,35;12387;
