sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;439,40;440,00;445,00;445,40;438,80;440,00;440,50;119381;52587713,6;1657;
2018-01-26;441,60;442,00;437,00;444,40;435,80;441,80;440,574;125647;55356384,6;2013;
2018-01-25;439,00;439,40;445,40;446,20;438,40;439,80;441,359;82413;36373750,6;1250;
2018-01-24;447,00;447,60;451,60;453,40;446,00;447,40;449,20;65977;29636808,2;1039;
2018-01-23;451,40;451,80;455,60;456,00;446,80;451,40;450,416;80165;36107597,8;1106;
2018-01-22;453,20;453,60;451,00;453,80;448,00;453,80;451,878;69882;31577465,4;1050;
2018-01-19;449,40;449,80;449,80;457,60;449,40;450,00;451,444;142797;64465424,9;2068;
2018-01-18;447,00;447,60;449,60;449,80;446,00;448,60;447,772;78710;35244091,2;1177;
2018-01-17;447,20;447,80;446,20;453,60;444,00;447,80;449,677;97555;43879842,4;1469;
2018-01-16;446,00;446,40;449,80;451,80;444,60;446,40;447,552;104721;46868459,6;1524;
2018-01-15;448,60;449,00;444,00;449,60;443,00;449,00;446,851;175857;78582672,4;1207;
2018-01-12;442,80;443,40;441,00;444,00;439,00;443,40;442,713;143856;63687172,6;1302;
2018-01-11;441,00;441,60;441,80;442,40;437,60;441,00;439,893;63025;27724228,8;939;
2018-01-10;440,40;441,20;443,20;443,20;437,20;440,80;439,722;87304;38389354,4;1322;
2018-01-09;443,20;443,40;435,40;444,80;435,40;443,20;441,26;93094;41078651,6;1282;
2018-01-08;434,80;435,40;435,00;437,60;434,00;435,40;435,565;63828;27801446,5;1187;
2018-01-05;435,20;435,80;432,00;436,40;432,00;434,80;434,289;51009;22152638,8;709;
2018-01-04;432,80;433,20;434,80;437,00;431,80;433,60;433,821;64405;27940208,2;981;
2018-01-03;433,20;433,60;434,00;436,80;430,60;434,00;433,354;73138;31694266;1053;
2018-01-02;432,40;432,80;436,40;436,40;428,00;432,60;431,087;71163;30677443,4;1300;
2017-12-29;434,70;435,00;434,90;437,30;430,20;436,00;434,43;103694;45047305,6;2055;
2017-12-28;433,20;433,70;433,50;437,20;428,80;433,70;434,643;73925;32130974,1;1427;
2017-12-27;432,30;432,90;435,00;435,00;428,70;432,60;431,232;155645;67116623,5;1262;
2017-12-22;435,60;436,10;429,50;436,80;428,70;435,50;433,617;84985;36850930,7;1298;
2017-12-21;429,30;429,80;429,40;430,40;423,60;429,60;428,279;64950;27816712,3;949;
2017-12-20;429,50;429,70;428,00;431,10;425,90;429,90;429,417;70300;30188042,8;1244;
2017-12-19;428,00;428,50;429,20;430,70;426,50;428,60;428,786;104707;44896842,1;1681;
2017-12-18;429,70;429,90;427,00;430,30;425,40;429,90;428,519;112731;47640700,8;1380;
2017-12-15;425,20;425,70;420,90;426,20;418,20;425,30;424,433;130147;55231290,45;1422;
2017-12-14;421,20;421,70;422,90;424,30;417,60;422,10;421,34;79223;33379830,5;1211;
2017-12-13;422,50;422,90;418,00;423,00;415,70;422,80;420,341;103587;43541886,6;1519;
2017-12-12;417,10;417,60;415,40;418,00;413,80;418,00;416,904;60607;25267303,1;808;
2017-12-11;416,00;416,40;412,00;418,50;411,30;415,90;415,387;83484;34677446,2;1188;
2017-12-08;411,60;412,00;406,80;413,10;406,80;411,50;410,439;104465;42876458;1237;
2017-12-07;406,00;406,50;404,70;409,40;403,70;406,30;406,603;122296;49724956,35;1529;
2017-12-06;407,80;408,10;408,50;408,50;402,60;407,30;405,23;119654;48487325,8;1436;
2017-12-05;410,50;411,00;408,00;411,00;404,30;410,10;407,535;86622;35301842,6;1385;
2017-12-04;408,10;408,60;407,00;410,40;406,00;408,50;408,40;88183;36013863,8;1228;
2017-12-01;406,60;407,30;415,00;415,00;404,70;405,80;408,072;145296;59292161,8;2262;
2017-11-30;414,10;414,50;410,10;414,80;407,70;414,10;412,914;134238;55422488,4;1341;
2017-11-29;410,60;410,80;405,00;414,30;405,00;410,70;411,237;120185;49423813,45;1841;
2017-11-28;404,20;404,70;399,50;405,00;397,90;404,40;402,103;70669;28417543,9;1072;
2017-11-27;398,50;398,90;404,00;405,50;397,00;398,10;399,59;102022;40768145,2;1601;
2017-11-24;403,80;404,20;407,60;408,40;402,60;404,00;403,964;44475;17966312,35;954;
2017-11-23;406,10;406,70;405,60;407,80;402,80;406,50;405,856;47854;19421916,2;835;
2017-11-22;406,70;407,10;409,10;410,30;405,30;405,60;407,197;93851;38215861,7;1378;
2017-11-21;408,40;408,80;406,30;410,60;402,20;408,60;407,067;107133;43574983,3;1056;
2017-11-20;405,50;405,80;400,60;406,20;398,80;405,70;402,936;36863;14830673,6;624;
2017-11-17;400,80;401,20;404,00;404,10;399,40;400,80;400,922;48723;19534474,7;969;
2017-11-16;403,90;404,40;400,00;404,60;399,20;403,50;402,555;59330;23883603,5;899;
2017-11-15;397,90;398,30;401,50;402,60;394,00;397,90;396,821;77106;30597290,5;1210;
2017-11-14;402,00;402,40;401,50;405,50;401,40;402,40;403,403;35388;14275633,05;713;
2017-11-13;401,70;402,10;406,30;406,30;398,40;401,60;401,995;76571;30782229,95;1115;
2017-11-10;405,20;405,40;407,10;407,10;404,50;405,20;405,575;32611;13226084;596;
2017-11-09;405,30;405,80;410,40;410,40;405,20;406,10;406,722;92457;37604476,85;1348;
