sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;81,40;82,00;81,20;82,00;81,20;81,60;81,601;9619;784917,6;72;
2018-01-26;81,40;81,60;81,00;81,20;79,60;81,20;80,732;5544;447578,6;50;
2018-01-25;79,40;79,80;80,60;81,20;79,60;79,60;80,466;5111;411260;49;
2018-01-24;81,40;81,80;81,60;82,60;81,40;81,40;82,059;6671;547413,8;57;
2018-01-23;81,40;81,80;82,00;82,00;79,80;81,80;80,813;8542;690300,4;55;
2018-01-22;82,00;82,40;83,20;83,20;82,00;82,00;82,277;4250;349679;35;
2018-01-19;82,00;82,60;80,80;82,20;80,80;82,20;81,847;7064;578164,8;40;
2018-01-18;80,40;80,80;81,40;81,80;80,40;80,80;81,286;5536;450000,4;53;
2018-01-17;81,20;81,60;80,40;81,80;80,40;81,40;81,541;3710;302517,6;37;
2018-01-16;81,00;81,60;80,80;81,80;80,40;81,40;81,15;4363;354057,8;32;
2018-01-15;80,40;80,80;80,20;81,00;79,80;80,80;80,252;5827;467629,8;39;
2018-01-12;80,00;80,40;81,20;81,20;79,80;80,20;80,402;1796;144402,4;29;
2018-01-11;80,80;81,20;82,60;82,60;80,80;81,00;81,089;6680;541671,4;45;
2018-01-10;81,40;81,80;80,80;82,00;80,80;81,60;81,889;7438;609093;43;
2018-01-09;81,20;81,60;80,20;81,60;80,20;81,40;81,022;4756;385340,6;35;
2018-01-08;80,00;80,60;80,20;80,40;79,80;80,00;80,024;6994;559686,4;58;
2018-01-05;79,60;80,00;79,00;79,80;78,80;79,80;79,533;4494;357419,8;32;
2018-01-04;78,80;79,20;78,20;79,00;78,20;79,00;78,809;1491;117504,2;28;
2018-01-03;78,00;78,40;78,20;78,60;77,80;78,40;78,087;4830;377160,2;50;
2018-01-02;77,60;78,00;78,00;78,40;77,60;78,00;77,999;6214;484683,75;41;
2017-12-29;77,45;77,85;79,00;79,35;77,60;77,85;78,646;18554;1459202,5;79;
2017-12-28;78,90;79,25;79,75;80,15;78,95;78,95;79,673;11938;951047,6;68;
2017-12-27;79,85;80,15;80,50;80,50;79,35;80,00;79,791;6066;484010,6;53;
2017-12-22;80,00;80,50;80,40;80,95;79,95;80,00;80,113;12756;1021921,5;54;
2017-12-21;80,45;80,90;80,15;80,90;79,70;80,85;80,194;14895;1194494,55;47;
2017-12-20;80,10;80,35;80,90;81,25;80,05;80,10;80,64;4701;379087,2;44;
2017-12-19;80,70;81,00;80,70;81,00;80,55;80,75;80,772;9532;769919,8;65;
2017-12-18;80,75;81,00;80,60;81,50;80,60;80,65;81,045;12249;992724,1;75;
2017-12-15;80,70;81,10;81,25;81,25;79,60;79,60;80,583;13984;1126872,75;64;
2017-12-14;80,80;81,20;80,00;81,25;79,95;81,25;80,638;16622;1340367,3;70;
2017-12-13;80,00;80,40;80,30;80,55;79,50;79,70;79,947;1975;157895,8;31;
2017-12-12;80,60;81,00;79,60;81,10;79,60;80,60;80,361;8071;648595,05;47;
2017-12-11;79,60;79,90;78,80;79,85;78,65;79,60;79,039;9729;768974,1;67;
2017-12-08;78,85;79,15;79,15;79,40;78,65;78,80;78,918;4424;349133,85;41;
2017-12-07;78,90;79,20;78,50;79,15;78,45;79,05;78,842;12692;1000661,25;59;
2017-12-06;78,50;78,80;78,80;78,90;77,70;78,50;78,363;8781;688102,75;46;
2017-12-05;79,15;79,45;79,30;79,70;79,00;79,15;79,37;9056;718771,8;65;
