sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;224,40;224,80;225,60;226,60;224,40;224,80;225,369;206188;46468404;1009;
2018-01-26;225,00;225,40;226,00;226,20;224,60;225,60;225,361;252160;56827897,4;1344;
2018-01-25;225,40;225,80;228,40;228,40;225,20;225,60;226,367;172121;38962562,4;941;
2018-01-24;228,00;228,40;230,00;230,80;228,20;228,60;229,212;162303;37201756;852;
2018-01-23;229,80;230,00;228,80;230,80;228,60;229,80;229,555;183555;42135913,4;1275;
2018-01-22;228,00;228,40;225,80;228,40;225,40;228,00;227,399;140495;31948424,6;1015;
2018-01-19;225,40;225,80;224,00;226,40;224,00;225,80;225,81;121675;27475432,4;796;
2018-01-18;223,60;223,80;224,40;225,60;223,20;223,80;224,173;134158;30074598,4;1003;
2018-01-17;224,00;224,20;223,40;224,80;222,60;224,00;223,885;183998;41194400,6;1253;
2018-01-16;222,80;223,00;224,60;225,40;222,80;223,20;223,897;145103;32487944,7;939;
2018-01-15;224,00;224,40;225,40;225,60;223,80;224,40;224,512;177187;39780548,2;1359;
2018-01-12;223,80;224,00;226,80;226,80;223,60;224,20;224,335;254143;57013051,8;1542;
2018-01-11;225,60;225,80;226,20;226,40;224,60;226,00;225,48;381900;86110768,4;2017;
2018-01-10;225,80;226,20;225,80;226,20;224,00;226,20;225,365;309469;69743382,2;1877;
2018-01-09;225,00;225,40;223,00;225,80;223,00;225,80;225,07;168635;37954728,6;1284;
2018-01-08;222,60;223,00;220,00;223,40;220,00;223,00;221,725;525957;116617306,8;2393;
2018-01-05;219,60;219,80;217,20;220,60;217,20;219,80;219,606;121343;26647593,8;1003;
2018-01-04;216,40;216,80;214,40;217,60;214,40;217,20;216,658;284122;61557264,8;855;
2018-01-03;212,80;213,00;211,80;214,20;211,80;213,20;213,034;128102;27289782,1;860;
2018-01-02;211,40;211,60;212,00;212,60;209,80;212,20;211,662;140666;29773616,5;880;
2017-12-29;210,80;211,10;213,30;213,30;210,70;211,60;211,975;104813;22217897;753;
2017-12-28;212,10;212,40;212,20;213,80;210,90;212,50;212,555;156870;33343532,6;1411;
2017-12-27;212,50;212,60;212,50;214,60;211,50;212,70;212,593;225771;47997400,85;1788;
2017-12-22;212,80;213,00;214,60;215,10;212,50;212,90;213,427;356902;76179161,5;2438;
2017-12-21;215,10;215,30;211,50;215,30;210,90;215,10;213,708;174944;37386951;1122;
2017-12-20;211,40;211,70;213,40;213,90;210,80;211,90;212,144;161272;34212815,5;1234;
2017-12-19;213,20;213,50;213,50;214,10;212,80;213,40;213,701;156626;33471143;1502;
2017-12-18;213,20;213,30;213,20;214,40;213,10;213,50;213,556;175427;37463518,3;1013;
2017-12-15;211,30;211,50;210,10;212,40;208,80;212,40;211,331;313427;66236826,7;1653;
2017-12-14;210,60;210,80;211,40;212,80;210,60;210,80;211,338;98200;20753403,9;761;
2017-12-13;212,10;212,20;211,90;213,00;211,10;212,00;212,06;138096;29284739,45;629;
2017-12-12;211,70;212,00;212,50;213,00;211,00;212,30;212,171;137546;29183393,5;752;
2017-12-11;212,40;212,60;211,00;214,10;210,70;212,50;212,786;156238;33245285,8;971;
2017-12-08;210,80;211,10;210,80;213,30;210,70;210,70;211,772;157700;33396449,2;1118;
2017-12-07;210,50;210,70;210,80;211,90;210,00;210,50;210,973;84400;17806197,85;689;
2017-12-06;211,20;211,40;212,00;212,00;209,40;210,90;210,641;138890;29255895,7;1325;
2017-12-05;213,70;214,00;213,30;215,20;212,50;213,80;213,575;97568;20838068,6;743;
2017-12-04;215,00;215,30;211,50;215,40;211,50;214,60;214,296;115091;24663579,9;956;
2017-12-01;210,70;211,00;215,80;215,80;210,50;210,50;212,051;134031;28421441,7;1070;
