sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;115,80;115,85;115,55;116,80;115,35;115,75;116,001;2959468;343359959,48;3799;
2018-01-26;115,70;115,80;115,25;116,05;113,85;115,70;115,31;3397947;391819077,61;5068;
2018-01-25;114,80;114,90;116,35;116,50;114,35;114,80;115,397;5901086;681266521,2;6562;
2018-01-24;117,05;117,15;117,70;118,05;116,85;117,00;117,456;3039966;357060570,35;4474;
2018-01-23;117,65;117,70;118,00;118,35;117,00;117,70;117,652;3856058;453672429,16;5631;
2018-01-22;117,15;117,25;115,65;117,80;115,25;117,25;116,879;3384027;395527103,5;5464;
2018-01-19;115,30;115,40;115,95;116,25;115,00;115,50;115,523;3568662;412262862,49;5890;
2018-01-18;115,80;115,90;115,55;117,10;115,30;116,10;116,197;4310809;500910856,35;6127;
2018-01-17;114,90;115,00;114,85;115,50;114,10;115,20;114,961;4721883;542838495,19;6296;
2018-01-16;115,20;115,30;115,00;115,45;114,60;115,10;115,026;3706798;426377188,29;5241;
2018-01-15;115,35;115,45;116,25;116,25;114,10;115,40;115,019;3996400;460025778,23;5351;
2018-01-12;116,20;116,30;117,50;117,50;116,00;116,45;116,438;3283303;382308066,05;5103;
2018-01-11;117,55;117,60;118,45;118,65;116,10;117,25;116,878;6602910;771310511,68;9273;
2018-01-10;118,35;118,40;117,35;118,50;116,80;118,30;117,886;5003608;589849932,25;7162;
2018-01-09;117,35;117,40;115,30;117,55;115,10;117,45;117,043;6052376;708388566,56;8443;
2018-01-08;115,35;115,40;114,80;115,45;114,30;115,05;115,007;5284168;607689657,3;6867;
2018-01-05;114,05;114,15;113,90;114,40;113,35;114,20;113,998;1762385;200916041,22;2412;
2018-01-04;113,20;113,30;111,95;114,20;111,55;113,30;113,223;4295532;486352097,05;6914;
2018-01-03;111,10;111,20;113,05;113,05;110,70;111,40;111,503;3714098;414131477,67;6346;
2018-01-02;112,40;112,50;112,80;113,45;111,95;112,70;112,645;4688236;528100848,48;6684;
2017-12-29;111,60;111,80;113,00;113,50;111,60;112,20;112,567;3134437;352859332,45;3133;
2017-12-28;112,90;113,00;113,70;113,70;112,40;113,00;113,017;2325766;262851626,6;3783;
