sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;738,00;739,00;738,00;739,00;728,00;738,50;735,491;53251;39165645;1037;
2018-01-26;737,00;738,00;732,50;738,50;726,00;738,00;733,452;32804;24060670;682;
2018-01-25;730,50;731,50;737,00;737,00;727,00;731,50;731,818;47216;34548537,5;891;
2018-01-24;738,50;739,50;744,00;744,50;736,50;738,50;739,929;43443;32144732;751;
2018-01-23;742,00;743,00;746,50;749,50;738,00;743,50;743,273;66949;49761356;885;
2018-01-22;744,00;745,00;745,00;755,00;742,50;744,50;749,192;57897;43376071,25;1260;
2018-01-19;745,00;746,00;726,50;749,00;725,00;745,00;740,417;65341;48406716;1246;
2018-01-18;724,50;725,50;724,00;729,50;721,00;725,00;726,511;51313;37279690;932;
2018-01-17;723,00;724,00;706,50;730,00;704,50;723,00;722,746;86157;62269966,5;1162;
2018-01-16;709,50;711,50;719,50;719,50;710,00;711,00;712,885;48860;34830811;1084;
2018-01-15;715,00;716,00;733,50;733,50;712,00;715,50;716,497;85811;61484279,5;1222;
2018-01-12;733,50;734,50;718,50;737,00;716,50;734,50;730,964;58369;42663403,25;1387;
2018-01-11;714,00;715,00;714,00;717,00;709,00;715,00;713,411;29892;21326472,75;646;
2018-01-10;713,50;714,50;727,00;727,00;713,50;714,50;716,505;28012;20070723,5;522;
2018-01-09;725,50;726,50;718,50;727,00;718,00;727,00;724,147;34530;25004790,5;634;
2018-01-08;717,50;718,50;713,00;718,50;706,50;718,00;713,846;33499;23913058,5;730;
2018-01-05;711,00;712,50;702,50;714,50;702,50;713,00;710,275;16736;11887155;355;
2018-01-04;706,50;707,50;696,00;708,50;692,50;706,00;702,411;32506;22831683,75;765;
2018-01-03;693,00;694,00;690,50;699,50;690,50;695,00;694,545;25522;17732060;453;
2018-01-02;692,50;693,50;701,50;703,50;692,50;694,00;696,924;21699;15121059,75;640;
2017-12-29;700,00;701,00;698,00;705,00;695,00;702,50;700,553;16587;11620080;483;
2017-12-28;696,50;697,50;702,00;703,50;696,00;698,00;699,225;13295;9295977;381;
2017-12-27;701,50;702,50;690,00;703,00;689,50;703,00;699,79;19473;13627018,5;494;
2017-12-22;694,50;695,50;693,00;697,50;689,00;696,00;695,525;18760;13048053,5;402;
2017-12-21;692,00;693,00;689,50;694,50;685,00;693,00;690,212;27595;19046392;636;
2017-12-20;690,50;691,00;691,50;695,00;689,50;691,00;691,162;22633;15643061,5;617;
2017-12-19;694,50;695,50;703,00;705,00;693,00;695,00;697,938;47166;32918785,75;874;
2017-12-18;702,50;703,50;698,00;705,50;696,50;702,50;702,21;25456;17875458,5;644;
2017-12-15;694,50;695,50;694,00;697,50;691,00;696,00;695,002;65066;45220390,25;700;
2017-12-14;697,50;698,00;696,00;698,00;691,50;696,00;695,828;51254;35662532;905;
2017-12-13;696,50;697,00;692,50;698,50;688,00;696,00;694,206;25521;17717496;655;
2017-12-12;693,00;694,00;685,50;693,50;683,50;692,50;690,662;31530;21776565;759;
2017-12-11;686,50;687,00;681,00;689,00;680,50;685,50;684,857;38264;26209611,25;676;
2017-12-08;680,50;681,50;688,00;689,50;679,50;680,50;682,606;45703;31197138,5;1023;
