sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;222,00;222,10;224,00;225,90;221,90;222,20;223,771;770730;172466867,05;2474;
2018-01-26;223,30;223,50;223,10;224,60;223,00;223,70;224,056;1252693;280659631,9;2870;
2018-01-25;223,10;223,30;226,00;226,80;222,80;223,00;224,546;1630641;366155277,55;4479;
2018-01-24;226,20;226,30;225,70;227,80;225,70;226,40;226,906;1201204;272561239,35;2511;
2018-01-23;226,30;226,50;225,80;226,50;224,70;226,30;225,725;1219998;275377657,55;2888;
2018-01-22;224,30;224,50;224,90;225,90;224,10;224,50;224,87;1163907;261726578,4;2851;
2018-01-19;224,90;225,10;224,00;226,00;224,00;225,10;225,119;1124099;253057227,25;2909;
2018-01-18;223,80;224,00;224,60;225,50;223,70;224,00;224,528;861649;193465142,45;2633;
2018-01-17;223,30;223,50;225,20;226,30;223,30;223,40;224,807;1364109;306654962,8;3613;
2018-01-16;226,30;226,40;224,50;227,00;224,30;226,50;226,092;1000875;226289328,5;2606;
2018-01-15;224,30;224,50;226,40;226,40;224,20;224,60;225,187;920120;207341501,13;2329;
2018-01-12;226,10;226,20;224,80;226,70;224,00;226,10;225,416;934767;210712437,8;2896;
2018-01-11;224,70;224,90;225,60;225,90;224,00;224,60;224,884;849063;190937147,9;2419;
2018-01-10;224,90;225,00;226,50;226,50;224,20;225,10;225,022;937751;211014734,15;2438;
2018-01-09;226,40;226,50;225,20;226,80;223,80;226,60;225,609;1363804;307691225,7;3478;
2018-01-08;226,00;226,20;225,00;226,50;223,40;226,20;225,115;1351476;304213826,07;3190;
2018-01-05;223,30;223,40;223,20;223,80;222,40;223,30;223,006;463393;103342365,65;1323;
2018-01-04;222,80;223,00;221,70;223,30;220,90;222,80;222,087;1107000;245852305,95;2882;
2018-01-03;220,80;220,90;219,60;221,90;219,20;220,60;220,474;1426082;314398357,4;3492;
2018-01-02;220,10;220,20;220,30;220,90;218,90;220,20;219,838;1219290;268027477,09;3136;
2017-12-29;219,20;219,40;221,20;221,40;218,40;220,30;219,646;1893049;415819644,2;3455;
2017-12-28;221,00;221,20;221,00;221,80;220,20;220,80;220,971;1097255;242460985,8;3315;
2017-12-27;221,20;221,30;221,00;222,40;220,00;221,20;221,065;835116;184614783,7;3255;
2017-12-22;221,40;221,60;222,50;223,30;221,20;221,70;222,386;775940;172558319,75;2706;
2017-12-21;223,80;223,90;222,30;224,10;220,50;224,00;222,445;1177945;262027994,2;3392;
2017-12-20;222,10;222,30;220,00;223,10;219,00;222,30;221,566;2285394;505959135,35;4596;
2017-12-19;223,60;223,70;222,60;224,60;222,50;223,20;223,591;957435;213781141,65;2455;
2017-12-18;223,20;223,30;221,60;223,60;221,50;223,30;222,993;1690473;374740522,6;3290;
2017-12-15;221,30;221,50;220,00;221,50;218,30;221,20;220,376;1648860;363369546,7;3257;
2017-12-14;219,80;220,00;219,60;221,80;217,30;219,70;219,675;1513836;332553566,3;3353;
2017-12-13;219,30;219,50;218,30;220,20;218,10;219,10;219,032;1017752;222919496,9;2353;
2017-12-12;219,20;219,40;221,00;221,50;217,50;219,60;219,025;1066038;233488229,5;3044;
2017-12-11;220,80;221,00;221,00;221,60;219,70;221,00;220,769;1148962;253655270,4;2987;
2017-12-08;221,20;221,30;218,30;221,30;218,30;220,80;220,417;1498564;330307185,5;3423;
2017-12-07;217,00;217,20;215,70;218,00;215,70;217,60;217,227;1090174;236812968,6;2559;
2017-12-06;216,70;216,90;213,50;216,80;212,30;215,70;214,336;1741781;373298667,9;3635;
2017-12-05;216,20;216,30;217,00;218,00;215,70;215,70;216,40;758854;164216334,8;1948;
2017-12-04;217,80;218,00;215,10;218,50;214,80;217,80;217,458;1403651;305212640,85;3963;
2017-12-01;213,50;213,70;213,90;215,10;212,30;213,10;213,721;1487360;317878231,2;3491;
2017-11-30;213,90;214,10;214,00;214,90;212,30;213,40;213,707;1717173;366972629,2;2471;
2017-11-29;213,30;213,40;215,00;215,00;213,30;213,70;214,131;1040651;222835665,75;2467;
2017-11-28;214,70;214,90;212,00;214,90;212,00;214,70;213,948;1043575;223270465,65;2630;
2017-11-27;212,70;212,80;212,00;212,90;211,10;212,30;212,11;1138442;241475082,35;3132;
2017-11-24;212,00;212,10;211,00;212,50;210,60;212,00;211,874;1284600;272150954,97;3089;
2017-11-23;210,90;211,10;211,50;212,60;210,40;210,80;211,413;981018;207403133,15;2545;
2017-11-22;212,60;212,70;215,10;215,40;212,60;212,60;213,781;1539783;329175588,8;4018;
2017-11-21;215,10;215,20;214,70;217,70;214,00;215,30;215,982;1798757;387744257,2;4055;
2017-11-20;214,70;214,80;212,10;215,40;211,20;214,60;213,622;1135435;242497365,6;2839;
2017-11-17;211,80;211,90;211,90;212,40;210,40;211,60;211,558;1300758;275258704,6;2857;
2017-11-16;212,30;212,40;212,40;212,90;210,60;211,90;211,856;985908;208870742,9;2227;
2017-11-15;212,20;212,40;212,10;212,80;210,30;212,20;211,533;1208868;255734815,5;3045;
2017-11-14;212,80;212,90;211,20;213,50;209,80;212,90;212,012;1714381;363578965,45;3939;
2017-11-13;212,70;212,80;212,50;213,60;211,40;212,90;212,71;1390075;295682128,6;3173;
2017-11-10;211,40;211,50;214,40;215,10;210,90;211,40;212,438;1523740;323701072,35;3902;
2017-11-09;214,70;214,90;219,20;219,20;214,40;215,10;216,034;1970034;425594416,9;4188;
2017-11-08;219,10;219,30;219,90;220,50;218,20;219,30;219,329;1286790;282230693;3513;
2017-11-07;220,00;220,20;220,10;221,20;219,80;220,00;220,454;1576028;347440945,55;3899;
2017-11-06;219,80;220,00;220,30;221,10;219,70;219,80;220,407;1157616;255144957,8;3066;
2017-11-03;220,30;220,50;219,00;221,20;218,20;220,20;220,117;565804;124542884,5;1536;
2017-11-02;218,30;218,50;220,30;220,30;217,30;218,80;218,785;1735448;379691607,7;4489;
2017-11-01;220,30;220,40;220,50;222,40;219,90;220,50;221,099;2656177;587277072,1;5739;
2017-10-31;219,50;219,70;215,00;219,80;214,20;219,40;216,598;3269293;708122191,25;7300;
2017-10-30;211,30;211,40;211,00;212,10;210,20;211,60;211,431;1114371;235612457,3;2948;
2017-10-27;211,80;212,00;211,40;212,60;210,60;211,90;211,719;1634756;346108466,1;4221;
2017-10-26;211,40;211,70;207,60;212,60;207,00;211,40;210,737;2874879;605843231,55;6630;
2017-10-25;205,70;205,90;205,90;207,00;205,10;205,80;205,996;1361688;280502656,6;3360;
2017-10-24;206,00;206,10;207,10;207,60;205,20;205,90;206,122;1421432;291425242;3335;
