sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;200,90;201,00;206,10;206,90;200,80;200,80;203,11;1597717;324512663,6;4798;
2018-01-26;206,20;206,30;206,10;207,50;204,60;206,10;206,142;1329883;274036172,1;4199;
2018-01-25;205,50;205,70;207,40;208,90;204,90;205,30;206,434;1104017;227906616,9;3874;
2018-01-24;207,60;207,80;209,70;209,80;207,20;207,50;208,057;867673;180527752,7;3003;
2018-01-23;209,10;209,20;210,00;210,70;208,60;209,40;209,573;657851;137867829,5;2304;
2018-01-22;209,30;209,40;209,70;210,40;209,30;209,60;209,701;954282;200086616,4;3432;
2018-01-19;208,90;209,00;206,60;209,30;206,40;209,30;208,408;1017091;211970530,75;3575;
2018-01-18;206,90;207,00;207,80;207,80;205,60;206,80;206,633;1016410;210023320,05;3845;
2018-01-17;207,00;207,20;207,10;209,50;206,70;207,20;207,635;840225;174459836,8;3071;
2018-01-16;207,90;208,10;206,80;208,90;206,20;208,10;207,789;937354;194769651,5;3466;
2018-01-15;207,20;207,30;206,10;208,50;205,90;207,20;207,337;914705;189547490,08;3008;
2018-01-12;206,00;206,10;204,90;206,70;204,00;206,10;205,468;1126958;231549347,35;4281;
2018-01-11;204,30;204,50;204,50;204,50;203,00;204,00;203,792;911294;185714112,4;2894;
2018-01-10;203,80;203,90;203,50;203,80;202,20;203,60;203,154;1010590;205304825,75;3253;
2018-01-09;203,60;203,70;201,30;204,20;201,30;203,50;203,245;1133782;230435678,5;4072;
2018-01-08;201,10;201,30;201,00;201,40;199,55;201,30;200,849;881220;176980414,73;3164;
2018-01-05;199,95;200,10;198,40;200,20;198,20;199,95;199,468;486400;97026810,57;2163;
2018-01-04;198,60;198,75;195,80;199,50;195,80;198,60;198,473;1125532;223389770,15;4369;
2018-01-03;194,80;194,90;192,35;195,40;192,35;194,90;194,581;926293;180239272,95;3829;
2018-01-02;192,35;192,45;194,70;195,30;191,55;192,90;193,337;1367845;264508972,89;4192;
2017-12-29;193,70;193,90;195,40;195,60;193,60;193,80;194,49;1121942;218281241,7;2717;
2017-12-28;195,30;195,50;196,60;197,00;194,70;195,40;195,967;982294;192545334,05;3376;
2017-12-27;196,80;197,00;197,00;198,00;195,50;197,00;196,711;770269;151519257,3;2971;
2017-12-22;197,20;197,30;197,20;198,30;196,50;197,30;197,241;669104;131975640,7;2715;
2017-12-21;198,50;198,70;196,50;199,00;195,60;198,40;197,662;1070443;211585577,6;3234;
2017-12-20;196,50;196,70;196,30;198,60;195,30;196,60;197,147;2231943;440021453,75;6880;
2017-12-19;196,60;196,80;195,20;198,20;194,70;196,20;196,789;2089893;411297200,85;6720;
2017-12-18;196,10;196,30;193,20;196,20;193,20;195,70;195,355;1428534;278925788,92;4287;
2017-12-15;192,10;192,30;192,50;193,90;191,30;192,30;192,212;1357039;260838742,2;3332;
2017-12-14;192,70;192,80;192,30;194,50;189,70;192,40;192,662;1588381;306016635,15;4494;
2017-12-13;192,60;192,70;193,70;194,20;191,50;192,30;192,444;1065666;205081474,6;3820;
2017-12-12;194,50;194,60;193,80;194,80;192,30;194,30;194,049;1138791;220974004,6;3591;
2017-12-11;193,70;193,90;192,60;195,50;192,40;193,70;194,057;1135947;220438758,35;3429;
2017-12-08;192,80;192,90;194,50;196,70;192,50;192,50;193,936;1881022;364747326,6;4378;
2017-12-07;193,80;193,90;195,60;196,90;193,70;193,70;194,659;1200297;233794067,95;3164;
2017-12-06;195,60;195,80;195,80;196,50;192,90;195,40;194,869;1559985;303992592,55;5191;
2017-12-05;197,40;197,60;198,90;199,60;195,70;197,20;197,135;1041538;205322640,6;2960;
2017-12-04;199,90;200,00;198,40;201,30;197,30;199,50;199,434;1555770;310234167,05;4690;
2017-12-01;196,70;197,00;198,10;199,50;195,60;196,80;197,509;1320661;260840503,9;4851;
2017-11-30;198,20;198,40;200,40;201,10;197,30;197,80;198,129;2111146;418280913,4;5446;
2017-11-29;198,80;199,10;205,00;205,20;198,70;199,90;201,521;2288001;461086508;6632;
2017-11-28;203,40;203,60;204,20;205,20;202,60;203,60;203,643;1679401;342016548,1;6145;
2017-11-27;204,10;204,20;203,90;205,70;203,80;204,10;204,605;1354474;277099552,7;3720;
2017-11-24;203,80;204,00;204,90;205,00;202,10;203,80;203,389;1170756;238114758,07;3811;
2017-11-23;204,60;204,90;208,20;208,30;203,50;204,60;205,473;1370949;281693874,8;4566;
2017-11-22;209,00;209,20;211,50;212,00;209,00;209,10;210,559;1026595;216161462,5;3729;
2017-11-21;211,20;211,30;211,20;212,70;210,20;211,30;211,156;1751762;369626844,7;3797;
2017-11-20;210,60;210,70;207,50;211,10;206,20;211,00;209,436;1087607;227683477,95;3102;
2017-11-17;207,90;208,10;205,60;209,00;205,50;208,00;207,492;1561794;324071356,15;5028;
2017-11-16;205,50;205,70;204,60;206,30;202,90;205,50;204,838;818460;167651756,8;2766;
2017-11-15;203,40;203,60;204,00;204,70;201,10;203,60;202,592;1099016;222665064,3;3716;
2017-11-14;205,00;205,20;204,40;206,70;203,80;205,30;205,376;789394;162115016,6;2835;
2017-11-13;204,50;204,70;204,40;205,60;202,90;204,70;204,417;908003;185611114,2;3172;
2017-11-10;204,50;204,60;203,90;205,50;203,30;204,40;204,589;1031956;211126330,85;3479;
2017-11-09;204,10;204,30;208,60;209,60;202,80;204,20;205,331;1701548;349382708,25;5134;
2017-11-08;208,80;209,00;213,60;214,20;206,90;209,10;209,472;1717438;359565474,65;4676;
2017-11-07;213,90;214,10;214,50;216,50;213,00;213,60;214,603;688219;147693579,8;2402;
2017-11-06;213,70;213,90;214,00;215,00;212,70;213,90;213,707;787653;168326996,3;2560;
2017-11-03;214,60;214,70;211,90;215,00;211,80;213,90;213,911;463733;99197777,5;1738;
2017-11-02;211,10;211,30;211,60;212,70;209,90;211,30;211,019;852761;179949696,6;3368;
2017-11-01;211,50;211,70;212,60;214,10;211,20;211,60;212,416;1285589;273039077,4;3965;
