sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;1089,50;1090,50;1080,50;1090,00;1069,50;1090,00;1078,34;280418;302365064;4206;
2018-01-26;1081,00;1082,00;1075,00;1085,00;1069,50;1081,00;1077,967;162068;174704638,5;2897;
2018-01-25;1076,50;1077,50;1090,50;1094,50;1075,00;1076,00;1082,206;326513;353357668,5;3838;
2018-01-24;1095,50;1096,50;1099,00;1100,50;1092,00;1096,50;1096,472;141278;154907112,5;1857;
2018-01-23;1100,50;1101,00;1100,50;1108,00;1096,50;1101,00;1102,022;235514;259560430;2588;
2018-01-22;1092,00;1093,00;1098,50;1099,50;1090,00;1091,50;1094,261;158231;173067704,75;2401;
2018-01-19;1098,50;1099,50;1089,50;1100,00;1089,50;1100,00;1095,073;174470;191050293,25;2467;
2018-01-18;1090,00;1091,00;1098,00;1101,50;1089,00;1089,00;1095,755;221711;242942231,75;3095;
2018-01-17;1094,00;1094,50;1097,50;1102,00;1088,00;1093,00;1096,03;326805;358187798;3151;
2018-01-16;1100,50;1101,50;1086,00;1102,00;1086,00;1101,50;1094,848;284972;312000863,75;3677;
2018-01-15;1085,00;1086,00;1098,00;1102,00;1083,50;1084,00;1091,946;294867;322108256,67;3329;
2018-01-12;1096,50;1097,00;1094,50;1100,00;1089,50;1098,00;1094,637;259807;284394525,25;3515;
2018-01-11;1090,00;1090,50;1085,00;1093,00;1081,00;1088,50;1087,238;173507;188643208,5;2558;
2018-01-10;1085,50;1086,50;1086,50;1092,50;1080,50;1086,00;1086,332;230138;250006075;3400;
2018-01-09;1090,50;1091,50;1084,50;1095,00;1082,50;1091,00;1088,88;225714;245776509,5;2663;
2018-01-08;1082,00;1083,00;1078,50;1085,00;1076,00;1082,50;1081,682;270272;292348101,36;3863;
2018-01-05;1073,00;1073,50;1065,00;1076,00;1065,00;1072,50;1070,013;131129;140324722,31;1195;
2018-01-04;1061,00;1062,00;1051,00;1063,50;1050,00;1061,00;1056,623;164829;174161630;2562;
2018-01-03;1049,50;1050,50;1042,00;1053,50;1041,50;1051,50;1047,425;124672;130587327,5;2152;
2018-01-02;1039,50;1040,50;1046,50;1046,50;1032,00;1039,00;1038,308;183443;190466445,03;2720;
2017-12-29;1045,00;1046,00;1063,00;1064,00;1045,00;1047,00;1051,918;222112;233661852;2174;
2017-12-28;1059,00;1060,00;1063,00;1064,00;1053,00;1059,00;1059,148;87886;93084238;1940;
2017-12-27;1061,00;1062,00;1064,00;1066,00;1059,00;1063,00;1062,418;119982;127474451;2034;
2017-12-22;1065,00;1066,00;1073,00;1077,00;1064,00;1066,00;1067,632;179723;191880304,5;2467;
2017-12-21;1079,00;1080,00;1070,00;1084,00;1062,00;1080,00;1077,154;268824;289565342;2302;
2017-12-20;1063,00;1064,00;1072,00;1073,00;1059,00;1066,00;1065,303;279698;297962138;3719;
2017-12-19;1078,00;1079,00;1086,00;1090,00;1074,00;1078,00;1082,56;178918;192042182;2025;
2017-12-18;1089,00;1090,00;1074,00;1090,00;1074,00;1088,00;1083,484;356708;384141507,07;3851;
2017-12-15;1071,00;1073,00;1061,00;1073,00;1056,00;1073,00;1065,875;297307;317009932;3023;
2017-12-14;1064,00;1065,00;1060,00;1067,00;1055,00;1064,00;1061,345;296755;314947788,25;3713;
2017-12-13;1072,00;1073,00;1089,00;1091,00;1072,00;1072,00;1081,504;216871;234547990,5;2728;
2017-12-12;1085,00;1087,00;1089,00;1104,00;1082,00;1087,00;1090,071;458770;500125150,2;4471;
2017-12-11;1089,00;1090,00;1089,00;1090,00;1072,00;1088,00;1082,498;319387;345808004,49;3611;
2017-12-08;1093,00;1095,00;1088,00;1094,00;1084,00;1093,00;1090,086;367972;401115831,5;3765;
2017-12-07;1081,00;1083,00;1071,00;1084,00;1071,00;1084,00;1077,399;203159;218883045;2775;
2017-12-06;1071,00;1072,00;1077,00;1086,00;1069,00;1070,00;1077,517;337108;363247513;4897;
2017-12-05;1087,00;1088,00;1078,00;1090,00;1076,00;1086,00;1084,365;342249;371119459;4693;
2017-12-04;1085,00;1086,00;1083,00;1099,00;1082,00;1083,00;1088,983;482226;525140354;4820;
