sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;173,85;173,95;176,50;176,60;173,45;174,00;174,582;2644499;461682650,55;5924;
2018-01-26;176,50;176,60;175,80;176,75;174,80;176,60;176,19;2738563;482497448,39;7188;
2018-01-25;175,40;175,50;177,40;177,90;175,20;175,45;176,486;2665104;470352228,93;6407;
2018-01-24;177,35;177,45;180,45;180,55;177,05;177,35;178,319;2828816;504432961,81;6723;
2018-01-23;180,65;180,75;180,00;180,95;179,55;180,80;180,388;2044417;368788853,55;5015;
2018-01-22;179,35;179,45;179,05;179,90;178,55;179,40;179,237;2562676;459326250,05;6061;
2018-01-19;178,30;178,40;177,55;178,80;177,25;178,80;178,303;2308936;411690038,65;5480;
2018-01-18;177,00;177,10;175,75;178,40;174,25;177,35;176,85;3604828;637526986,85;8996;
2018-01-17;175,15;175,25;176,55;176,95;174,70;175,45;175,709;2214542;389105584,3;4920;
2018-01-16;176,05;176,15;177,00;177,20;175,00;176,05;176,005;2237110;393742496,25;5392;
2018-01-15;177,40;177,50;177,50;177,75;176,05;177,40;177,141;2423111;429063857,58;7229;
2018-01-12;176,40;176,50;175,20;177,30;174,60;176,60;176,073;2920431;514218477;7529;
2018-01-11;174,90;174,95;175,60;176,15;174,20;174,45;174,842;2761952;482906262,55;6891;
2018-01-10;175,35;175,40;177,00;177,00;174,25;175,25;175,634;3156013;554302164,1;7173;
2018-01-09;176,65;176,80;174,10;177,55;173,95;176,75;175,994;4462815;785331204,27;9877;
2018-01-08;172,10;172,20;174,55;174,60;171,45;172,30;172,578;2924276;504670678,28;6794;
2018-01-05;172,70;172,75;172,40;173,20;171,65;172,90;172,415;1322186;227984266,11;2996;
2018-01-04;171,80;171,90;171,75;172,20;170,90;172,00;171,694;2397358;411612308,21;5885;
2018-01-03;170,30;170,40;170,40;170,55;168,30;170,50;169,855;2537287;430966607,6;5722;
2018-01-02;169,50;169,60;171,00;171,90;169,45;169,75;170,359;2924607;498271209,61;7577;
2017-12-29;170,30;170,40;171,70;172,10;170,10;170,40;170,706;1793582;306208228,45;3165;
2017-12-28;171,60;171,70;172,50;172,60;171,10;171,60;171,721;1794534;308160999,6;4617;
2017-12-27;172,20;172,30;173,70;173,80;171,70;172,50;172,626;2457055;424075227,65;4622;
2017-12-22;172,70;172,80;172,40;173,40;172,00;173,10;172,904;2368807;409561240,55;4310;
2017-12-21;172,60;172,70;171,00;172,80;170,70;172,60;172,035;2380886;409594832,65;4567;
2017-12-20;170,80;170,90;171,70;171,80;170,30;171,00;171,014;2702704;462199073,8;5926;
2017-12-19;171,40;171,60;170,70;172,20;170,60;171,40;171,295;2616806;448407362,21;5225;
2017-12-18;170,80;170,90;170,20;172,70;169,80;170,50;171,391;4194303;718558108,35;8538;
2017-12-15;167,70;167,90;169,30;170,10;167,60;167,80;168,563;3799066;640384146,3;5555;
2017-12-14;169,50;169,60;170,40;171,00;169,30;169,30;169,869;3898559;662259848,7;4963;
2017-12-13;170,30;170,50;170,70;171,70;170,00;170,50;170,523;1985233;338527457,2;3944;
2017-12-12;171,60;171,70;170,80;172,20;170,70;171,70;171,524;1763457;302464474,1;3173;
2017-12-11;170,70;170,80;170,90;172,00;170,60;171,00;171,279;2491574;426973345;3261;
2017-12-08;171,20;171,30;172,90;173,50;170,90;171,00;171,873;2131641;366372301,65;4245;
2017-12-07;171,80;172,00;171,10;172,70;171,10;171,40;171,714;2617265;449443550,7;4721;
2017-12-06;171,10;171,20;171,90;172,10;169,80;170,80;170,745;2363476;403549283,45;5299;
2017-12-05;172,80;173,00;172,30;173,40;172,20;172,60;172,824;2984515;515856849,15;5950;
2017-12-04;172,50;172,60;171,00;172,50;169,90;172,30;171,637;2114661;362955682,4;4315;
2017-12-01;169,40;169,60;170,60;170,90;168,80;169,20;169,857;2302299;391060674,3;5213;
2017-11-30;169,90;170,00;172,00;172,10;169,70;169,70;170,345;3465765;590483973,4;5521;
2017-11-29;171,00;171,10;170,70;171,80;170,00;171,30;171,148;2508452;429317164,75;4493;
