sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;366,40;366,50;367,10;370,50;365,40;366,80;367,179;1986914;729542899,3;10009;
2018-01-26;367,40;367,60;373,70;375,00;355,20;367,10;362,655;4122334;1494354815;18145;
2018-01-25;371,00;371,20;372,00;378,80;369,30;370,60;372,861;2489270;928150842,6;9861;
2018-01-24;375,60;375,80;378,40;378,90;374,70;375,30;376,555;1476683;555983898,87;6126;
2018-01-23;378,40;378,60;381,00;383,70;377,80;378,70;379,891;1639055;622661729,7;6679;
2018-01-22;379,10;379,20;381,40;381,70;378,70;379,70;379,909;1373531;521396875,55;4785;
2018-01-19;380,10;380,30;378,30;382,10;378,20;380,80;380,693;1609676;612794869,75;6748;
2018-01-18;376,70;376,90;379,50;380,40;376,50;377,70;378,073;1658584;627065267,4;7691;
2018-01-17;377,90;378,00;376,90;380,50;376,00;378,50;378,544;1468938;556061382,9;6239;
2018-01-16;377,50;377,70;380,50;381,40;377,10;377,90;379,01;1385407;525073979,3;5368;
2018-01-15;378,50;378,70;375,00;380,20;374,70;378,90;378,196;1513918;572471342,97;5535;
2018-01-12;377,00;377,20;378,00;378,80;375,30;377,70;376,898;1335905;503499355,8;5102;
2018-01-11;378,00;378,10;376,00;378,40;374,60;377,10;376,144;1681745;632576919,35;6553;
2018-01-10;375,30;375,40;375,80;376,90;373,80;375,60;375,49;1582811;594328635,95;6078;
2018-01-09;375,60;375,80;374,90;377,90;374,30;376,30;376,204;2344963;882206616,05;8931;
2018-01-08;375,40;375,60;374,50;375,70;370,80;375,70;373,496;2372184;885669440,5;8009;
2018-01-05;368,20;368,30;365,00;369,00;365,00;369,00;367,891;1071170;394060093,62;3516;
2018-01-04;364,50;364,80;359,00;365,00;359,00;364,50;363,558;3074160;1114855490,75;7566;
2018-01-03;356,50;356,70;353,50;358,60;353,50;357,20;356,556;1208776;430995886,2;5318;
2018-01-02;352,30;352,50;354,00;355,30;351,40;353,20;353,436;1614078;570427221,84;5719;
2017-12-29;353,40;353,60;357,50;358,50;353,20;354,20;355,406;1264980;449655067,5;4448;
2017-12-28;357,50;357,70;359,70;361,10;357,10;357,40;358,324;1025650;367515655,2;4677;
2017-12-27;359,80;360,00;361,50;365,00;357,30;360,10;360,19;1384738;499031104,6;5297;
2017-12-22;361,00;361,20;363,90;365,00;360,60;361,90;362,245;1464687;530543388,45;5163;
2017-12-21;364,70;364,90;361,90;365,50;360,70;364,30;363,711;1499977;545506576,65;5357;
2017-12-20;360,90;361,00;361,40;365,60;360,60;361,70;362,759;2178701;790374001,75;7409;
2017-12-19;361,30;361,50;363,00;365,40;360,60;361,00;362,908;2007146;726980447,45;6485;
2017-12-18;363,20;363,40;354,90;363,90;354,60;362,90;361,553;2669265;964401944,21;8555;
2017-12-15;352,40;352,60;351,60;353,60;350,40;352,60;352,306;2249092;792321281,05;6274;
2017-12-14;352,20;352,40;350,60;356,30;350,40;351,60;352,85;2500246;880709606,41;6986;
2017-12-13;351,30;351,40;354,80;354,90;348,80;351,60;351,347;2310536;811802097,7;8680;
2017-12-12;355,70;355,90;357,30;358,80;353,80;356,50;355,885;1910051;679771409,25;6853;
2017-12-11;356,90;357,10;356,60;360,10;356,20;357,30;357,719;1477883;528669929,05;5546;
2017-12-08;356,40;356,60;360,00;361,70;356,20;356,20;358,379;2243566;804355934,6;7689;
2017-12-07;356,60;356,80;357,90;362,20;355,90;356,50;358,064;2060865;737914535,55;7815;
2017-12-06;357,70;357,90;355,80;358,90;352,60;356,90;356,14;1799826;640947658,55;7478;
2017-12-05;359,20;359,30;360,10;362,80;355,40;358,90;358,776;2474280;887708866,75;10257;
2017-12-04;361,80;362,10;359,00;365,60;357,70;361,20;361,775;2521222;912379604,8;8398;
2017-12-01;355,70;356,00;360,00;362,60;354,60;354,60;358,076;2551475;913756084,53;8735;
2017-11-30;360,40;360,50;366,60;367,90;359,60;359,60;361,662;3341568;1208580615,1;10121;
2017-11-29;364,70;364,90;373,90;373,90;364,70;364,70;368,386;1303854;480327693,45;5509;
2017-11-28;371,90;372,10;368,30;372,90;368,30;371,50;370,891;1198507;444515033,4;5346;
2017-11-27;368,10;368,40;367,90;371,20;365,70;367,70;368,812;1458606;537818867;5111;
2017-11-24;368,30;368,50;368,20;369,90;366,40;368,30;368,214;1659782;2739403095,8;4204;
2017-11-23;368,60;368,80;368,50;370,40;366,90;368,20;368,659;1256365;463164038,35;5333;
2017-11-22;370,20;370,40;376,00;378,10;369,80;370,00;372,477;2135702;795506917,35;7262;
2017-11-21;376,70;376,90;370,50;377,10;369,20;375,80;374,341;1856892;695221530,6;6020;
2017-11-20;370,80;371,00;364,50;372,40;362,10;370,50;368,588;2032519;746959090,3;5779;
2017-11-17;364,70;364,90;368,00;369,40;364,20;365,30;365,972;1565464;572903070,55;5408;
2017-11-16;368,00;368,20;365,00;368,50;362,30;367,70;365,825;1372486;502089654,6;5169;
2017-11-15;363,40;363,70;358,10;363,50;358,00;363,00;360,438;1778691;641228092;6252;
2017-11-14;360,60;360,80;360,00;365,10;358,70;361,20;361,802;1789673;647410717,65;6219;
2017-11-13;360,50;360,70;363,40;363,60;357,00;360,30;360,018;1812169;652413199,55;7063;
2017-11-10;362,50;362,70;362,40;364,60;361,50;362,30;362,592;1259047;456519738,3;5900;
2017-11-09;363,30;363,50;368,40;370,30;361,50;363,30;365,309;2216780;809760955,8;8703;
2017-11-08;369,00;369,20;370,40;371,80;367,10;369,50;368,968;1964292;724760279,65;7363;
2017-11-07;370,80;371,00;371,70;373,90;369,50;370,90;371,806;1201326;446660625,9;4202;
2017-11-06;371,20;371,30;373,90;374,20;368,90;371,40;370,98;1891279;701626607,1;7182;
2017-11-03;373,00;373,20;369,30;373,90;369,20;373,20;372,273;971869;361800914,4;3561;
2017-11-02;367,40;367,50;367,60;368,90;364,90;367,60;366,652;1321292;484486046,65;4598;
2017-11-01;368,00;368,20;368,00;371,10;368,00;368,10;369,516;1662203;614210461,2;5614;
2017-10-31;367,60;367,70;366,10;368,30;365,20;367,20;366,988;1947249;714375923,95;6174;
2017-10-30;364,20;364,40;364,50;365,90;363,80;364,40;364,84;1293130;471785558,55;4330;
2017-10-27;364,10;364,20;363,50;365,30;361,80;364,20;363,774;1832488;662604644,4;6383;
2017-10-26;364,80;364,90;362,80;368,00;362,60;364,80;365,805;2688420;983436027,05;8899;
2017-10-25;362,20;362,40;356,50;362,90;356,10;362,70;361,571;1987654;718496402,9;6319;
2017-10-24;357,90;358,20;358,40;361,90;355,00;357,70;357,953;2525914;893476728,05;8072;
2017-10-23;359,40;359,70;358,60;361,40;356,80;358,70;359,026;2031000;725795295,2;7976;
2017-10-20;358,30;358,50;358,50;361,70;357,20;358,30;359,449;2627412;944530291,75;8126;
2017-10-19;355,50;355,60;348,50;355,60;348,20;355,20;353,121;3219757;1136993471,85;11091;
2017-10-18;347,90;348,20;338,30;348,40;333,10;348,00;343,613;3954355;1358738298,9;15922;
2017-10-17;338,30;338,50;340,80;343,60;337,60;337,60;339,266;2452970;832209103,37;7474;
2017-10-16;340,80;340,90;341,40;342,00;339,90;340,80;340,869;1691853;576702880,85;6166;
2017-10-13;342,20;342,30;344,10;345,00;342,00;342,00;343,081;1785964;612726852,35;5850;
2017-10-12;344,50;344,70;346,20;346,90;344,20;344,50;345,026;1245440;429707920,25;4083;
2017-10-11;346,50;346,70;345,00;346,60;343,90;346,20;345,592;1177775;407030041,55;4165;
2017-10-10;344,70;344,90;342,70;345,50;341,20;344,50;344,057;1324123;455575927,15;4824;
2017-10-09;344,20;344,40;344,30;345,50;342,70;344,00;344,041;1857074;638919145,6;6476;
2017-10-06;344,10;344,30;347,60;347,80;343,50;344,40;345,148;1313070;453202524,9;5063;
2017-10-05;346,10;346,40;348,50;350,00;346,20;346,50;347,40;2300554;799217312,05;7913;
