sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;132,40;132,60;132,20;133,00;131,40;132,60;132,444;18867;2498818,2;274;
2018-01-26;132,20;132,40;132,40;133,00;132,00;132,20;132,223;23827;3150473,2;313;
2018-01-25;132,20;132,40;133,40;133,40;131,00;132,20;132,58;23213;3077584,4;259;
2018-01-24;132,80;133,60;135,40;136,60;132,60;133,60;134,724;11498;1549061,4;203;
2018-01-23;135,60;136,00;135,20;136,00;135,00;135,40;135,712;16055;2178858,2;250;
2018-01-22;135,00;135,20;135,80;138,00;135,00;135,00;135,947;14877;2022476;274;
2018-01-19;135,60;135,80;134,60;136,40;134,40;135,40;135,647;26313;3569273,2;205;
2018-01-18;134,40;134,60;135,40;135,40;134,40;134,40;134,686;5918;797076,8;103;
2018-01-17;135,40;135,60;135,80;136,40;134,60;135,40;135,20;12937;1748708;206;
2018-01-16;136,00;136,20;137,20;137,80;135,60;136,00;136,311;14690;2002400,8;230;
2018-01-15;137,20;137,40;137,40;138,40;136,80;137,20;137,592;21736;2990700,2;345;
2018-01-12;135,80;136,20;135,60;136,20;134,60;135,60;135,433;12776;1730293,4;198;
2018-01-11;135,60;136,20;136,00;136,60;134,20;135,60;135,544;14926;2023132,4;342;
2018-01-10;136,00;136,40;138,20;138,40;135,80;135,80;137,943;131322;18114903;317;
2018-01-09;138,00;138,80;137,40;138,60;136,80;138,00;137,887;17355;2393023;243;
2018-01-08;136,20;137,00;134,40;137,80;134,20;136,80;136,252;28404;3870100,6;372;
2018-01-05;134,00;134,40;132,00;135,60;131,20;134,40;133,986;9530;1276885;177;
2018-01-04;131,80;132,20;131,20;132,40;130,40;132,00;131,498;17306;2275700;247;
2018-01-03;130,60;131,00;131,40;131,40;130,20;130,60;130,834;12116;1585182,4;219;
2018-01-02;130,40;130,60;131,00;132,60;130,00;130,40;130,488;15767;2057397,8;314;
2017-12-29;130,10;130,30;130,80;131,00;130,00;130,30;130,177;16036;2087525,1;217;
2017-12-28;130,10;130,50;131,40;132,90;130,00;130,50;131,009;28226;3697859,1;364;
2017-12-27;130,90;131,40;130,20;131,80;129,50;131,40;130,518;21903;2858745,4;357;
2017-12-22;129,80;130,30;132,30;132,90;129,00;130,20;130,085;30469;3963549,2;346;
2017-12-21;131,70;132,10;131,30;132,60;129,80;132,10;130,73;40724;5323842,1;294;
2017-12-20;130,90;131,20;133,20;134,70;130,70;131,30;131,705;30391;4002648,7;402;
2017-12-19;132,80;133,20;135,80;138,50;132,50;133,20;134,49;26515;3565995,2;203;
2017-12-18;135,80;136,40;134,30;136,70;134,30;136,00;135,946;27395;3724242,2;274;
2017-12-15;134,60;135,30;132,90;135,70;132,90;135,70;135,187;46881;6337595,6;305;
2017-12-14;135,50;135,60;136,00;136,00;135,00;135,50;135,365;43961;5951065,5;429;
2017-12-13;135,20;135,60;135,30;136,20;134,00;135,70;135,133;23932;3234008,2;314;
2017-12-12;134,50;134,70;132,20;135,00;131,50;135,00;133,728;137636;18392970,6;319;
2017-12-11;131,80;132,20;131,90;132,50;131,10;132,20;132,027;119848;15823123,5;350;
2017-12-08;131,40;131,80;131,40;132,70;130,00;131,10;131,268;34534;4533211,7;386;
2017-12-07;130,50;130,90;129,90;132,70;129,50;131,20;130,67;137536;17971876,2;449;
2017-12-06;130,20;130,40;133,00;133,00;129,90;129,90;130,914;22069;2889450,85;310;
2017-12-05;133,30;133,70;132,20;133,70;132,20;133,20;132,945;25704;3417228,9;323;
2017-12-04;132,20;132,70;128,10;132,90;128,10;132,20;131,209;39061;5125152,6;488;
2017-12-01;128,20;128,50;130,20;131,30;127,90;127,90;129,026;28181;3636090,35;516;
2017-11-30;128,20;128,60;129,80;130,50;127,80;130,50;129,485;77041;9975622;507;
2017-11-29;129,10;129,30;129,90;131,60;129,00;129,00;129,929;45948;5969983,1;315;
2017-11-28;129,90;130,30;130,80;131,80;129,10;129,90;130,386;16904;2204042,2;407;
2017-11-27;130,70;131,30;132,10;132,10;130,50;130,50;131,121;19975;2619148,1;330;
2017-11-24;131,80;132,00;132,50;132,80;131,40;131,80;132,166;11550;1526485;212;
2017-11-23;132,00;132,40;131,20;133,00;131,20;132,40;132,141;15533;2052546,3;312;
2017-11-22;130,50;131,50;134,00;134,00;130,40;131,10;131,898;23246;3066096,3;433;
2017-11-21;134,00;134,60;133,00;134,70;130,60;134,00;133,391;19380;2585112,9;387;
2017-11-20;133,10;133,30;134,60;134,60;132,40;133,10;133,197;25052;3336855,9;295;
2017-11-17;134,60;135,40;136,60;136,60;134,00;134,60;134,772;27866;3755576,45;526;
2017-11-16;134,60;135,20;134,00;136,60;133,60;136,60;134,927;16400;2212795;281;
2017-11-15;134,10;134,60;135,90;135,90;132,20;134,00;133,298;27794;3704879,1;442;
2017-11-14;133,50;133,60;133,40;136,50;132,20;133,30;134,231;24462;3283559,2;443;
2017-11-13;132,80;133,40;135,40;135,70;131,60;133,40;132,993;182249;24236936,1;446;
2017-11-10;134,30;135,10;135,60;135,70;133,70;135,00;134,986;149646;20200125,4;235;
2017-11-09;134,20;134,40;135,00;135,90;133,70;134,40;134,714;139763;18828496,9;448;
2017-11-08;134,40;134,80;134,60;136,90;134,30;134,90;134,964;13186;1779639,2;337;
2017-11-07;134,90;135,30;136,40;136,80;134,60;135,30;135,848;26758;3635028,7;373;
2017-11-06;136,30;136,70;138,90;138,90;136,10;136,20;137,182;15735;2158561;236;
2017-11-03;138,80;138,90;136,90;139,00;136,90;139,00;137,924;32439;4474130,2;127;
2017-11-02;136,30;136,60;137,00;138,00;136,20;136,80;137,122;13388;1835794,4;274;
2017-11-01;136,70;137,10;139,30;139,30;136,50;137,00;137,428;33331;4580626,4;461;
2017-10-31;138,60;138,80;138,40;139,20;138,40;138,80;138,647;14562;2018201,7;233;
2017-10-30;137,30;137,60;137,00;138,20;136,80;137,80;137,528;10060;1383530,6;225;
2017-10-27;136,70;137,00;137,00;138,00;135,90;136,80;137,00;39622;5428287,85;464;
2017-10-26;137,00;137,50;137,40;138,00;136,50;137,60;137,044;30261;4147092,8;477;
2017-10-25;137,20;138,20;141,10;141,10;133,10;137,00;137,804;34468;4749815,2;408;
2017-10-24;138,00;138,40;142,20;142,50;137,60;138,40;139,945;41347;5786298,5;487;
2017-10-23;142,50;142,80;145,80;146,50;142,50;142,80;143,886;39849;5733726,5;490;
2017-10-20;145,20;145,80;145,80;147,60;144,80;146,00;146,251;46292;6770234;411;
2017-10-19;145,80;146,40;144,50;146,70;144,50;146,60;145,904;33426;4876918,4;525;
2017-10-18;144,20;144,70;145,50;146,70;144,20;144,30;145,595;34454;5016337,9;510;
2017-10-17;144,30;144,50;144,00;146,80;143,10;143,90;145,041;50759;7362126;582;
2017-10-16;141,30;141,50;141,30;141,90;141,00;141,00;141,462;6905;976796,9;198;
2017-10-13;141,70;141,90;141,10;142,50;140,70;141,90;141,797;10850;1538501,5;211;
2017-10-12;141,00;141,80;142,00;143,40;141,80;141,80;142,448;10111;1440288,6;142;
2017-10-11;141,90;142,40;142,90;143,00;141,80;142,40;142,325;13870;1974052,5;188;
2017-10-10;143,20;143,40;144,00;144,00;142,60;143,20;143,394;15656;2244981,5;210;
2017-10-09;143,80;143,90;143,70;143,90;143,00;143,80;143,712;9370;1346584,4;214;
2017-10-06;143,70;144,30;145,90;145,90;141,70;143,70;143,415;16299;2337524,05;315;
