sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;345,00;346,00;347,00;354,00;341,00;345,00;345,257;844;291397;26;
2018-01-26;344,00;345,00;338,00;344,00;338,00;344,00;340,006;179;60861;13;
2018-01-25;344,00;347,00;343,00;347,00;343,00;343,00;344,587;774;266710;22;
2018-01-24;341,00;343,00;343,00;343,00;339,00;340,00;339,727;871;295902;17;
2018-01-23;341,00;343,00;341,00;347,00;340,00;341,00;341,897;331;113168;15;
2018-01-22;344,00;346,00;339,00;348,00;339,00;344,00;344,84;219;75520;9;
2018-01-19;341,00;343,00;343,00;344,00;341,00;341,00;342,662;68;23301;5;
2018-01-18;343,00;345,00;344,00;344,00;341,00;343,00;342,667;84;28784;9;
2018-01-17;342,00;348,00;347,00;348,00;343,00;343,00;346,22;583;201846;19;
2018-01-16;342,00;347,00;354,00;354,00;341,00;342,00;346,787;127;44042;13;
2018-01-15;344,00;349,00;340,00;365,00;340,00;349,00;354,34;1826;647025;42;
2018-01-12;340,00;342,00;352,00;352,00;340,00;340,00;345,257;588;203011;16;
2018-01-11;340,00;342,00;341,00;343,00;338,00;343,00;339,571;294;99834;11;
2018-01-10;346,00;347,00;344,00;350,00;338,00;348,00;344,31;654;225179;22;
2018-01-09;340,00;343,00;340,00;345,00;340,00;340,00;343,262;397;136275;19;
2018-01-08;338,00;341,00;336,00;349,00;336,00;339,00;343,512;1155;396756;24;
2018-01-05;337,00;341,00;338,00;338,00;338,00;338,00;338,00;60;20280;1;
2018-01-04;337,00;340,00;338,00;341,00;332,00;337,00;336,657;99;33329;10;
2018-01-03;337,00;341,00;342,00;342,00;337,00;337,00;339,906;181;61523;9;
2018-01-02;339,00;342,00;339,00;339,00;336,00;339,00;338,668;253;85683;7;
2017-12-29;338,00;339,90;340,70;340,90;337,60;339,90;338,119;1129;381735,8;24;
2017-12-28;341,00;341,90;341,80;342,00;336,50;341,00;337,785;1433;484046,3;14;
2017-12-27;335,30;336,30;340,00;341,50;335,30;335,30;337,639;231;77861,8;13;
2017-12-22;337,10;341,00;341,00;341,00;337,10;337,10;337,13;231;77877;4;
2017-12-21;335,00;336,00;339,00;340,60;334,30;336,00;337,005;349;117614,8;13;
2017-12-20;334,20;339,00;337,10;341,50;334,20;339,00;340,093;182;61897;13;
2017-12-19;337,10;338,40;334,80;340,60;334,80;337,10;337,511;193;65139,7;10;
2017-12-18;334,50;336,50;334,10;336,40;334,10;334,80;334,425;429;143468,1;12;
2017-12-15;334,00;335,00;340,00;340,00;331,00;334,00;333,57;1398;466330,3;32;
2017-12-14;335,20;337,00;335,10;337,20;335,10;335,20;335,732;2712;910505,7;54;
2017-12-13;336,10;337,70;338,10;344,80;336,00;337,70;338,397;1053;356332,1;26;
2017-12-12;337,40;339,00;336,50;337,40;336,30;337,40;336,628;148;49821;13;
2017-12-11;336,30;337,40;341,90;342,00;337,20;337,20;339,216;644;218455,3;10;
2017-12-08;339,30;340,30;336,30;350,80;336,30;339,50;341,261;965;329316,4;24;
2017-12-07;336,80;338,50;336,70;338,00;336,70;336,70;336,936;1269;427571,1;18;
2017-12-06;336,50;339,00;353,80;353,80;336,40;336,50;337,465;2148;724874;26;
2017-12-05;338,50;340,20;340,00;342,50;338,50;338,50;339,861;1152;391520;13;
2017-12-04;340,30;342,50;354,80;354,80;342,50;342,50;352,129;170;59861,9;18;
2017-12-01;341,40;342,50;341,00;345,00;341,00;342,50;342,426;1235;422896,2;23;
2017-11-30;339,00;341,90;337,50;342,20;337,50;340,80;341,272;637;217114,45;11;
2017-11-29;337,50;339,00;338,50;345,00;338,50;339,00;339,48;535;181621,8;16;
2017-11-28;338,50;341,90;337,50;343,10;337,50;338,90;341,632;138;47145,2;11;
2017-11-27;337,50;338,00;338,00;350,10;336,00;337,50;338,05;953;322162;32;
2017-11-24;338,00;339,70;337,50;358,90;336,00;338,00;337,692;2686;907040,2;30;
2017-11-23;336,00;336,80;335,00;337,30;335,00;336,00;336,066;955;320942,7;28;
2017-11-22;335,00;335,80;336,00;336,00;335,10;335,10;335,926;1393;467944,2;22;
2017-11-21;336,00;339,50;338,50;339,50;336,00;336,00;336,698;1682;566937,05;44;
2017-11-20;337,10;338,50;340,00;340,00;338,50;338,50;339,962;4167;1416620,7;47;
2017-11-17;342,90;347,90;351,80;351,80;341,70;343,00;347,278;850;295185,9;20;
2017-11-16;351,80;354,00;348,60;360,00;348,60;351,80;351,552;1565;550238,5;24;
2017-11-15;351,50;359,90;361,20;367,70;356,10;359,60;361,723;1637;592140,1;34;
2017-11-14;351,20;353,20;355,90;356,00;350,00;356,00;354,152;1234;437024,1;29;
2017-11-13;359,10;360,90;361,40;361,40;355,00;359,10;359,861;398;143224,8;14;
2017-11-10;360,50;365,00;371,50;372,00;365,00;365,00;367,399;557;204641,2;19;
2017-11-09;372,10;373,50;369,00;373,50;369,00;373,50;370,404;1152;427300,6;12;
2017-11-08;367,90;369,90;369,10;371,40;369,00;369,00;369,817;1233;455840,1;20;
2017-11-07;367,90;369,00;366,40;368,00;366,40;367,90;367,37;108;39676;6;
2017-11-06;367,10;368,90;361,00;368,90;361,00;368,50;365,675;1434;524377,8;32;
2017-11-03;360,50;363,00;364,00;364,80;360,00;360,50;362,324;282;102175,3;10;
2017-11-02;364,10;365,90;368,00;368,00;363,10;363,10;366,45;286;104804,7;24;
2017-11-01;367,00;368,00;366,50;368,00;363,50;368,00;366,556;1157;424105,1;27;
2017-10-31;367,00;367,90;364,00;368,00;364,00;366,50;367,178;2278;836431,3;50;
2017-10-30;362,00;363,50;349,90;368,00;349,50;363,60;359,947;5161;1857684;130;
2017-10-27;346,00;346,80;345,90;347,00;345,90;346,00;346,544;611;211738,2;19;
2017-10-26;345,90;346,90;352,90;352,90;345,90;345,90;347,228;517;179516,6;16;
2017-10-25;342,90;352,80;342,80;352,90;342,70;352,90;346,195;1145;396393;37;
2017-10-24;342,80;342,90;344,90;346,00;342,80;342,80;343,64;2783;956349;63;
2017-10-23;341,50;343,00;331,40;346,00;331,40;343,10;339,164;2784;944231,7;60;
2017-10-20;331,40;334,70;332,00;338,70;331,30;331,40;334,264;390;130363,1;14;
2017-10-19;330,00;334,40;332,50;336,40;332,50;336,40;333,00;288;95904;11;
2017-10-18;332,70;332,90;332,70;332,90;332,70;332,90;332,714;14;4658;2;
2017-10-17;333,50;334,50;338,50;338,50;333,50;333,50;336,752;380;127965,6;13;
2017-10-16;331,50;335,00;331,50;335,00;331,10;331,50;333,523;191;63702,9;13;
2017-10-13;331,50;338,80;330,00;330,30;330,00;330,30;330,034;170;56105,8;5;
2017-10-12;330,10;332,50;330,20;334,80;330,10;330,10;331,232;329;108975,4;5;
2017-10-11;330,10;332,40;330,00;331,30;330,00;330,20;330,614;356;117698,4;13;
2017-10-10;330,10;331,00;338,90;338,90;331,20;331,20;333,772;32;10680,7;4;
2017-10-09;336,20;338,80;330,00;335,40;330,00;335,40;332,217;851;282717;19;
2017-10-06;330,10;331,00;331,00;331,00;330,00;330,00;330,34;444;146671,1;13;
2017-10-05;330,10;331,50;332,00;332,00;330,00;330,00;330,859;347;114808;12;
2017-10-04;331,00;333,00;339,10;339,10;333,00;333,00;334,30;233;77892;11;
2017-10-03;334,00;340,10;333,50;334,00;330,20;334,00;332,435;476;158239,2;16;
2017-10-02;333,00;333,50;341,00;341,00;333,50;333,50;334,141;237;79191,5;9;
2017-09-29;335,00;338,90;333,90;339,40;333,80;339,40;334,872;478;160068,8;9;
2017-09-28;333,00;333,80;333,90;333,90;332,00;333,90;332,778;378;125790;9;
2017-09-27;333,70;334,00;334,00;337,70;333,90;334,00;334,114;1075;359172,8;19;
2017-09-26;334,00;334,80;334,90;334,90;334,00;334,00;334,239;28;9358,7;3;
2017-09-25;332,20;336,90;331,70;338,00;331,70;337,50;334,953;279;93451,9;11;
2017-09-22;331,70;339,50;334,40;334,40;331,70;331,70;333,925;83;27715,8;5;
2017-09-21;335,40;338,70;335,40;339,90;335,40;339,90;337,664;14;4727,3;4;
2017-09-20;334,50;335,40;331,00;335,40;331,00;334,50;333,457;337;112374,9;13;
2017-09-19;336,20;337,80;338,40;338,40;336,00;336,30;337,544;161;54344,6;7;
2017-09-18;337,20;338,40;339,60;339,60;338,50;338,50;338,569;32;10834,2;3;
2017-09-15;336,80;339,60;334,90;339,70;334,90;339,70;339,103;219;74263,5;7;
2017-09-14;337,40;339,70;339,80;339,80;339,70;339,70;339,759;248;84260,1;7;
2017-09-13;337,40;339,80;341,00;341,00;339,50;339,80;339,653;144;48910;7;
2017-09-12;340,00;341,90;336,50;341,90;336,50;341,90;339,526;163;55342,8;11;
2017-09-11;336,50;339,90;336,60;341,40;336,50;336,50;338,448;270;91381;16;
2017-09-08;333,50;344,90;333,10;336,10;333,10;336,10;333,993;228;76150,3;12;
2017-09-07;333,10;338,90;339,90;339,90;333,10;333,20;335,558;484;162409,9;20;
2017-09-06;334,00;339,90;333,10;339,90;333,10;333,50;334,653;300;100395,8;10;
2017-09-05;333,00;337,30;337,10;337,10;333,10;333,10;333,51;393;131069,5;9;
2017-09-04;336,00;339,50;339,20;339,20;335,00;337,60;337,819;2723;919881,7;28;
2017-09-01;339,50;342,40;348,00;348,00;339,50;339,60;340,41;628;213777,5;11;
2017-08-31;339,20;340,60;349,20;349,20;339,30;343,00;341,082;151;51503,3;9;
2017-08-30;339,10;343,90;340,10;340,10;339,10;339,10;339,749;285;96828,5;5;
2017-08-29;339,40;342,60;340,00;340,00;339,10;339,40;339,30;530;179829,2;6;
2017-08-28;340,00;340,80;340,20;342,40;340,10;340,30;340,354;1014;345119,1;11;
2017-08-25;340,10;345,80;340,50;347,00;340,00;340,10;342,13;1603;548433,8;29;
2017-08-24;340,10;341,00;341,10;341,10;340,10;340,10;340,655;1185;403675,7;13;
2017-08-23;340,80;343,60;340,80;344,00;340,80;342,80;343,097;720;247029,7;11;
2017-08-22;340,80;341,70;341,70;341,70;340,80;340,80;341,177;298;101670,8;7;
2017-08-21;340,70;341,50;340,80;348,70;340,80;341,10;341,973;2038;696940,4;26;
2017-08-18;341,10;341,90;343,60;344,00;341,90;341,90;343,455;156;53579;5;
2017-08-17;343,80;344,80;341,50;343,80;341,50;343,60;342,026;555;189824,3;10;
2017-08-16;341,50;344,20;344,30;345,00;341,50;341,50;343,006;492;168759,1;16;
2017-08-15;344,60;345,80;355,00;355,00;344,50;347,00;345,303;365;126035,7;14;
2017-08-14;344,30;345,70;356,90;356,90;345,50;345,50;353,303;295;104224,5;11;
2017-08-11;343,30;344,50;347,80;347,80;343,10;343,10;343,807;276;94890,6;9;
2017-08-10;347,00;347,80;345,10;351,30;345,10;347,80;346,771;348;120676,4;8;
2017-08-09;342,00;343,00;346,20;346,20;343,00;343,00;344,186;354;121842;7;
2017-08-08;346,80;348,70;343,10;354,30;343,10;346,80;347,963;883;307251,3;29;
2017-08-07;343,40;346,00;343,20;346,00;343,20;343,40;344,361;144;49588;9;
2017-08-04;343,50;344,70;355,00;355,00;343,80;345,00;349,587;30;10487,6;3;
2017-08-03;343,10;346,80;347,70;347,70;343,10;343,40;343,502;1037;356211,7;11;
