sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;571,70;572,10;574,70;574,70;570,20;572,50;572,245;267371;153001576,3;2238;
2018-01-26;576,00;576,30;570,00;577,90;568,80;575,30;574,87;530080;304726937,2;4366;
2018-01-25;568,20;568,40;569,70;579,40;565,80;566,80;571,977;556583;318347736,6;3864;
2018-01-24;570,10;570,50;579,10;579,10;568,10;570,50;570,948;511071;291794962;4723;
2018-01-23;579,20;579,50;573,90;579,90;572,50;579,40;577,022;350876;202452733,2;2834;
2018-01-22;573,40;573,80;568,50;574,10;568,40;573,20;572,178;412105;235777437,1;2703;
2018-01-19;569,40;569,70;564,80;571,00;564,30;568,80;568,447;469795;267053776,6;3476;
2018-01-18;560,90;561,30;563,50;566,00;558,30;562,40;561,302;293169;164556224,2;2557;
2018-01-17;561,60;561,70;564,90;570,70;561,10;561,90;564,876;464666;262478730,4;3939;
2018-01-16;566,00;566,20;574,50;577,80;565,90;566,60;570,356;401940;229250428,2;2716;
2018-01-15;576,00;576,30;575,80;577,30;571,50;575,60;574,955;265313;152549450,02;2372;
2018-01-12;576,40;576,70;575,30;578,70;573,20;576,40;576,25;332142;191399856;2488;
2018-01-11;574,30;574,70;576,40;578,10;571,60;574,50;574,851;246809;141878460,1;2325;
2018-01-10;575,20;575,50;580,60;581,40;572,00;575,90;575,489;574721;330745527,7;4180;
2018-01-09;583,20;583,50;582,10;585,40;579,50;583,80;583,355;289916;169121568,87;2417;
2018-01-08;579,80;580,10;582,40;585,50;579,70;579,70;582,749;317318;184916297,29;2198;
2018-01-05;579,60;580,00;576,10;581,20;576,10;579,70;578,508;174732;101094015,55;1155;
2018-01-04;576,40;576,70;578,50;582,40;572,50;576,00;575,271;398320;229141776,5;2732;
2018-01-03;576,80;576,90;572,10;578,70;572,10;577,00;575,707;391973;225661597,6;2736;
2018-01-02;572,10;572,30;571,50;576,50;569,70;572,00;573,278;452618;259395749,36;3000;
2017-12-29;568,00;569,00;568,00;575,50;566,00;568,50;570,11;618028;352298242,5;3351;
2017-12-28;561,00;562,00;559,00;562,50;554,50;561,50;559,952;357830;200367645;2337;
2017-12-27;556,50;557,00;561,00;565,50;556,50;556,50;560,079;214307;120028743;1736;
2017-12-22;559,50;560,50;560,00;566,50;558,00;561,00;562,423;335401;188638343;2171;
2017-12-21;560,00;561,00;554,00;562,50;552,00;560,00;558,081;543190;303144608,25;2467;
2017-12-20;553,00;553,50;555,50;561,50;551,00;554,00;556,953;784703;437067102,25;4117;
2017-12-19;558,00;559,00;560,50;563,50;555,00;558,00;558,839;503719;282186754;2413;
2017-12-18;562,50;563,00;562,50;566,00;557,50;562,00;561,527;886148;498012445,18;2439;
2017-12-15;560,50;561,00;560,00;562,00;555,00;562,00;559,135;759288;424544502,5;2621;
2017-12-14;561,00;562,00;563,00;566,50;558,50;561,00;562,717;324761;182741828;1654;
2017-12-13;563,50;564,00;562,50;565,00;559,50;563,00;562,596;379164;213315623;1772;
2017-12-12;562,00;562,50;561,50;566,00;557,50;562,00;561,64;540408;303503971,5;2262;
2017-12-11;558,50;559,00;552,00;560,00;551,00;558,00;556,092;453779;252341669;1915;
