sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;126,25;126,45;124,20;129,20;122,80;126,60;126,894;2264434;287361692,61;9954;
2018-01-26;123,95;124,05;122,35;124,15;121,60;124,15;123,387;761189;93919281,65;3397;
2018-01-25;122,20;122,40;122,00;123,45;121,00;122,40;122,413;1273313;155854579,58;4457;
2018-01-24;122,30;122,40;125,05;125,05;121,00;122,40;122,751;1023068;125697924,75;3634;
2018-01-23;125,00;125,10;123,10;125,55;122,60;125,05;124,461;1476280;183735368,15;5204;
2018-01-22;122,70;122,80;124,35;124,35;121,05;122,85;122,594;1326792;162887821,65;4579;
2018-01-19;124,15;124,25;122,30;125,15;121,95;124,55;124,084;1049387;130212648,51;5707;
2018-01-18;121,60;121,75;124,30;124,30;121,00;121,85;121,705;1746667;212576642,86;6659;
2018-01-17;124,10;124,20;125,00;127,10;123,00;124,00;125,032;3051258;381316167,82;9319;
2018-01-16;127,90;128,45;133,60;134,25;124,45;128,25;128,618;3714860;479709088,65;12327;
2018-01-15;133,15;133,20;134,20;134,40;132,60;133,25;133,297;1584277;211059980,83;4694;
2018-01-12;134,30;134,45;140,60;140,70;132,45;134,65;135,336;2313604;313096261,06;9211;
2018-01-11;140,90;141,00;141,85;142,45;140,55;141,00;140,977;708656;99904056,67;2741;
2018-01-10;141,95;142,00;143,40;143,55;141,30;142,00;141,986;850322;120732347,16;3307;
2018-01-09;143,90;144,00;144,55;146,05;143,70;143,70;144,549;922324;133321915,33;3739;
2018-01-08;144,25;144,40;144,90;146,65;142,50;144,35;144,387;1390764;200803276,36;5360;
2018-01-05;144,55;144,65;143,95;144,90;143,50;144,20;144,169;345264;49776424,3;1385;
2018-01-04;143,95;144,05;142,45;144,60;142,15;143,90;143,606;482185;69244401,45;1837;
2018-01-03;142,00;142,20;140,30;142,20;140,30;142,05;141,603;540658;76558693,12;1916;
2018-01-02;140,20;140,30;140,00;140,90;139,75;140,30;140,232;697779;97850581,7;2645;
2017-12-29;140,10;140,30;140,90;141,80;140,20;140,50;140,691;327252;46041366,65;1193;
2017-12-28;140,90;141,00;141,80;142,70;140,80;141,20;141,612;314495;44536105,2;1287;
2017-12-27;141,70;141,90;141,20;142,80;140,40;141,90;141,468;541996;76599904,8;1351;
2017-12-22;141,30;141,60;140,10;141,90;139,80;141,60;140,925;361161;50896737,6;1382;
2017-12-21;140,30;140,50;140,40;141,00;138,50;140,60;139,87;494446;69157202,3;1882;
2017-12-20;140,30;140,50;140,50;143,80;140,40;140,70;141,606;694963;98410778,6;2444;
