sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;268,00;276,00;276,00;276,00;274,00;274,00;274,491;53;14548;5;
2018-01-26;268,00;276,00;276,00;276,00;276,00;276,00;276,00;27;7452;4;
2018-01-25;270,00;276,00;276,00;276,00;276,00;276,00;276,00;18;4968;7;
2018-01-24;275,00;277,00;277,00;277,00;277,00;277,00;277,00;185;51245;3;
2018-01-23;272,00;274,00;274,00;274,00;274,00;274,00;274,00;48;13152;2;
2018-01-22;266,00;272,00;270,00;272,00;270,00;272,00;271,00;2;542;2;
2018-01-19;269,00;271,00;270,00;270,00;269,00;269,00;269,157;299;80478;8;
2018-01-18;270,00;272,00;270,00;275,00;270,00;275,00;274,93;71;19520;2;
2018-01-17;274,00;276,00;274,00;274,00;273,00;274,00;273,765;447;122373;7;
2018-01-16;265,00;274,00;270,00;274,00;264,00;274,00;267,215;577;154183;15;
2018-01-15;267,00;276,00;275,00;276,00;271,00;276,00;273,611;1068;292216;23;
2018-01-12;272,00;275,00;271,00;272,00;271,00;272,00;271,75;16;4348;2;
2018-01-11;271,00;274,00;268,00;274,00;268,00;271,00;271,823;485;131834;16;
2018-01-10;272,00;274,00;279,00;279,00;268,00;274,00;272,633;1056;287900;19;
2018-01-09;273,00;279,00;272,00;280,00;270,00;279,00;273,95;1871;512561;19;
2018-01-08;270,00;273,00;275,00;275,00;268,00;273,00;271,64;3085;838010;36;
2018-01-05;269,00;276,00;268,00;276,00;268,00;276,00;275,227;238;65504;7;
2018-01-04;268,00;272,00;267,00;273,00;267,00;270,00;270,138;716;193419;10;
2018-01-03;262,00;266,00;270,00;270,00;268,00;268,00;268,301;73;19586;5;
2018-01-02;265,00;269,00;264,00;270,00;264,00;270,00;269,278;1088;292974;16;
2017-12-29;268,50;272,90;276,00;276,00;270,00;274,00;270,365;1638;442857,4;8;
2017-12-28;272,00;276,50;272,00;276,50;272,00;276,50;272,323;232;63179;5;
2017-12-27;272,00;277,00;274,00;277,30;273,00;277,30;274,464;255;69988,3;7;
2017-12-22;274,00;278,00;277,00;278,90;276,00;276,00;276,411;242;66891,5;4;
2017-12-21;275,60;278,70;275,50;278,80;275,50;278,80;278,767;101;28155,5;3;
2017-12-20;276,00;278,00;276,00;277,00;275,60;277,00;276,74;171;47322,6;4;
