sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;263,50;263,70;263,00;266,40;262,60;263,20;264,393;819592;216694432,1;3674;
2018-01-26;262,90;263,10;261,80;265,30;258,40;262,90;262,694;1130712;297030733,7;4553;
2018-01-25;260,70;260,90;266,40;266,40;260,10;261,10;261,942;1296054;339493535,7;5537;
2018-01-24;266,90;267,10;265,20;271,90;264,30;267,00;268,778;1466485;394158534;5960;
2018-01-23;265,90;266,10;258,10;267,50;258,10;265,70;264,996;1497244;396758614,2;6518;
2018-01-22;261,00;261,20;260,00;263,50;259,80;260,60;261,508;1116433;292025884,6;4866;
2018-01-19;258,50;258,60;259,80;263,40;258,10;258,90;260,62;1402867;365615849,5;6444;
2018-01-18;257,90;258,10;264,30;265,10;257,70;258,60;259,606;1130612;293513619,05;4614;
2018-01-17;264,00;264,30;262,90;266,10;261,50;264,00;264,393;925927;244812888,1;3500;
2018-01-16;262,70;262,90;264,20;264,90;261,10;263,40;262,95;698355;183631097,4;3049;
2018-01-15;264,40;264,60;265,60;267,00;263,50;264,60;264,956;858433;227545102,25;3087;
2018-01-12;265,90;266,20;264,30;266,90;262,70;266,00;265,331;795515;211076781,6;3451;
2018-01-11;263,30;263,50;265,90;266,10;262,50;263,50;263,703;771571;203465627,7;3242;
2018-01-10;265,00;265,20;267,00;267,60;264,00;265,30;265,149;1016792;269601045,1;4005;
2018-01-09;268,00;268,20;262,60;269,90;262,60;268,10;267,744;1198834;320991266,54;5175;
2018-01-08;262,00;262,10;264,70;265,90;261,30;262,10;262,789;887720;233299754,25;3442;
2018-01-05;263,80;263,90;259,60;264,50;258,90;264,10;263,124;432106;113710510,36;1806;
2018-01-04;259,30;259,60;257,90;261,60;257,90;259,90;260,049;1660879;430473505,5;3371;
2018-01-03;256,80;256,90;261,00;261,60;256,80;257,50;258,532;955226;246936181,3;4021;
2018-01-02;259,70;259,90;264,00;264,30;259,10;260,20;260,966;1005170;262334179,85;3928;
2017-12-29;263,50;263,60;267,70;267,80;263,50;264,30;265,159;580027;153828343,5;2365;
2017-12-28;267,20;267,40;268,30;268,80;266,90;267,70;267,843;398957;106857647,5;2692;
2017-12-27;268,00;268,20;269,10;270,10;267,10;268,70;268,387;533131;143085199,1;3026;
2017-12-22;269,70;269,90;270,50;271,40;268,70;269,80;270,232;589389;159278200,2;2969;
2017-12-21;270,80;271,10;269,90;271,90;268,30;270,90;270,289;665900;179981121,55;3069;
2017-12-20;268,80;269,00;270,70;270,80;268,70;269,60;269,964;1150948;310767437,05;4212;
2017-12-19;270,20;270,50;269,20;273,10;269,10;270,20;270,71;690767;186999030,4;3106;
2017-12-18;269,80;270,00;266,80;270,20;266,30;270,00;269,324;1185449;319553171,79;4062;
2017-12-15;266,80;267,00;268,90;270,60;265,70;266,80;267,076;1545767;412838343,4;4395;
2017-12-14;268,80;269,00;267,50;271,10;266,70;268,80;268,932;847177;227574998,2;3326;
2017-12-13;268,40;268,60;268,30;268,90;265,60;268,40;267,428;843378;225629959,9;3498;
2017-12-12;268,10;268,30;269,00;270,30;265,70;269,00;268,744;883261;237369039,75;4276;
2017-12-11;268,40;268,60;270,00;271,10;265,00;268,90;267,761;1586748;424546381,65;6470;
2017-12-08;270,20;270,30;275,70;276,00;269,80;269,80;270,907;1612514;436868574,85;5944;
2017-12-07;274,90;275,10;277,10;278,90;274,70;275,30;275,708;904140;249358601,4;3236;
