sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;55,02;55,08;54,24;55,42;54,08;54,98;54,95;9940166;546059133,74;6599;
2018-01-26;54,10;54,14;54,56;54,64;53,74;54,04;54,105;7617631;412158984,96;7034;
2018-01-25;54,58;54,62;56,18;56,28;54,46;54,60;55,137;11287996;622396602,57;9008;
2018-01-24;56,54;56,58;57,06;57,22;56,20;56,48;56,641;7893628;447105665,96;6320;
2018-01-23;57,10;57,14;57,74;57,88;56,72;57,08;57,114;10077739;575580090,74;8820;
2018-01-22;57,36;57,38;58,48;58,48;57,10;57,28;57,538;9856070;566610033,32;6825;
2018-01-19;58,44;58,48;58,50;59,02;58,22;58,56;58,59;8993270;526916140,07;7225;
2018-01-18;58,54;58,58;58,22;59,22;57,80;58,50;58,623;14490414;849540259,73;10760;
2018-01-17;57,68;57,70;55,90;58,40;55,80;57,82;57,433;15557127;892922859,08;10824;
2018-01-16;55,96;56,00;55,90;56,64;55,56;56,00;56,053;8684995;486822646,55;6452;
2018-01-15;56,28;56,32;56,40;56,86;56,18;56,36;56,445;4496497;253798290,13;3256;
2018-01-12;56,44;56,46;56,04;56,70;55,06;56,48;55,972;11826047;661802175,92;8187;
2018-01-11;55,94;55,96;55,40;56,00;55,12;55,88;55,616;8253747;458928394,78;5647;
2018-01-10;55,30;55,34;55,90;56,00;54,78;55,30;55,253;9031509;499019921,82;6188;
2018-01-09;56,02;56,06;55,72;56,28;55,60;56,02;55,959;7413264;414838230,25;5540;
2018-01-08;55,52;55,56;55,46;55,80;55,08;55,50;55,424;9013865;499562741;6081;
2018-01-05;55,48;55,52;54,98;55,62;54,86;55,46;55,232;6175589;341134487,62;3553;
2018-01-04;54,86;54,92;55,00;55,06;54,30;54,80;54,687;9498331;519439044,22;6624;
2018-01-03;54,52;54,58;54,42;54,82;54,04;54,60;54,52;6994043;381314875,21;4601;
2018-01-02;54,18;54,24;54,20;54,86;54,10;54,30;54,426;8981663;488819697,35;5902;
2017-12-29;53,65;53,75;54,15;54,55;53,65;53,85;53,989;7345671;396609660,57;4470;
2017-12-28;54,20;54,25;54,60;54,70;53,75;54,15;54,091;7420402;401374592,05;5567;
2017-12-27;54,70;54,75;55,20;55,50;54,05;54,85;54,664;7395410;404249397;4908;
2017-12-22;55,25;55,35;56,00;56,20;54,90;55,40;55,367;7611896;421444295,95;3987;
2017-12-21;55,95;56,05;54,85;56,15;54,60;56,05;55,613;7876561;438020855,45;4273;
2017-12-20;54,65;54,70;55,80;56,00;54,45;54,75;55,028;10234566;563104545,54;5173;
2017-12-19;55,70;55,75;56,50;56,50;55,65;55,75;55,878;10015456;551455827,88;4829;
2017-12-18;56,60;56,65;55,15;56,80;55,10;56,55;56,079;11904199;666488152,69;5740;
2017-12-15;55,05;55,10;55,35;55,40;54,75;55,10;55,035;13986434;769729343,22;5091;
2017-12-14;55,35;55,45;55,95;56,20;54,20;55,45;55,214;13677533;755162286,66;7621;
2017-12-13;55,95;56,00;53,75;56,50;53,70;55,90;55,509;18191669;1009854297,4;9751;
2017-12-12;53,65;53,75;53,50;53,95;53,00;53,80;53,556;12642462;677075313,01;6709;
2017-12-11;52,50;52,60;53,00;53,10;52,15;52,65;52,619;10566957;556017981,4;4903;
2017-12-08;53,05;53,10;53,15;53,50;52,70;52,90;53,004;9087000;481653011,86;5356;
2017-12-07;52,85;52,90;52,70;53,45;52,60;52,85;53,034;7344902;389548465,33;4058;
2017-12-06;52,50;52,55;52,85;52,85;51,60;52,40;52,214;8368783;436968423,6;5001;
2017-12-05;53,35;53,40;52,45;53,45;52,10;53,25;52,93;9441842;499759365,06;5535;
2017-12-04;52,75;52,80;52,40;53,80;52,20;52,65;52,962;10922720;578496484,91;6225;
2017-12-01;52,05;52,10;52,50;52,95;51,85;51,95;52,25;10548374;551150694,1;6254;
2017-11-30;53,05;53,10;53,55;53,65;52,65;52,65;52,803;16484328;870444919,41;5683;
2017-11-29;53,15;53,25;53,90;54,60;53,15;53,20;53,667;8424101;452097522,05;4590;
2017-11-28;53,70;53,75;53,20;54,20;52,75;53,80;53,645;7373745;395564743,44;5143;
2017-11-27;53,50;53,55;53,65;53,95;53,30;53,30;53,52;5319440;284701100,2;3362;
2017-11-24;53,65;53,70;53,95;54,20;53,45;53,60;53,73;5200061;279419998,51;3210;
2017-11-23;53,85;53,90;53,50;54,80;53,15;53,90;53,976;6691425;361174219,64;4341;
2017-11-22;53,90;54,00;54,70;54,70;53,80;53,80;54,006;8607782;464834942,18;5643;
2017-11-21;54,65;54,70;53,00;54,80;52,50;54,80;54,141;13521483;731919648,91;8296;
2017-11-20;52,85;52,90;51,35;52,90;51,35;52,85;52,369;7323949;383091072,73;3937;
2017-11-17;51,35;51,40;51,35;52,05;51,25;51,50;51,575;12960919;668735265,04;6966;
2017-11-16;51,20;51,25;50,20;51,45;50,10;51,15;50,883;11941163;607597837,48;6884;
2017-11-15;49,82;49,86;50,20;50,20;49,23;49,82;49,722;12737441;633350314,73;9370;
2017-11-14;50,30;50,35;50,55;50,70;50,30;50,45;50,489;8259024;416958423,36;3853;
2017-11-13;50,75;50,80;50,45;51,00;50,35;50,65;50,63;8061254;408142685,33;4206;
2017-11-10;50,30;50,35;50,50;50,65;50,20;50,30;50,387;8224546;414407812,85;4870;
2017-11-09;50,70;50,75;52,00;52,10;50,60;50,70;51,062;17538600;895567892,21;9483;
2017-11-08;52,75;52,80;54,65;55,20;52,30;52,75;53,419;21578144;1152576913,73;11724;
2017-11-07;54,70;54,75;55,30;55,60;54,45;54,55;54,774;11544097;632310041,61;6628;
2017-11-06;54,75;54,80;53,75;55,10;53,45;54,75;54,453;11748709;639755050,76;7132;
2017-11-03;53,70;53,75;53,60;53,90;53,30;53,90;53,70;2730976;146653123,95;1816;
2017-11-02;53,45;53,50;53,15;53,50;52,95;53,45;53,289;5501925;293193642,8;3419;
2017-11-01;53,15;53,25;53,00;53,35;52,75;53,20;53,102;6351443;337274526,23;4146;
2017-10-31;52,65;52,70;52,00;53,90;52,00;52,70;52,917;10085122;533682913,63;6733;
2017-10-30;51,70;51,75;52,10;52,35;51,45;51,75;51,763;8745086;452671121,21;5371;
2017-10-27;51,90;51,95;51,70;52,40;51,55;52,05;52,058;14791928;770606328,2;6792;
2017-10-26;51,65;51,75;53,75;53,90;50,50;51,70;51,725;32701420;1694524195,73;16787;
2017-10-25;54,05;54,10;53,50;54,45;53,40;54,10;53,989;11847898;639652337,26;6988;
2017-10-24;53,55;53,60;53,00;53,75;53,00;53,50;53,361;14765796;779762789,71;6616;
2017-10-23;53,10;53,15;52,25;53,45;51,60;53,15;52,583;16196543;850417646,67;10474;
2017-10-20;52,25;52,35;49,40;53,25;49,21;52,65;51,831;39418574;2043248341,96;25419;
2017-10-19;48,66;48,69;49,01;49,37;48,15;48,77;48,817;15349969;749345200,62;11518;
2017-10-18;49,18;49,20;48,36;49,72;48,25;49,20;49,121;14272025;701315336,91;11282;
2017-10-17;48,45;48,48;48,34;48,53;48,02;48,42;48,352;8526049;412246722,82;6869;
2017-10-16;48,28;48,32;49,48;49,75;48,16;48,32;48,797;11928972;582137107,78;11368;
2017-10-13;48,54;48,56;46,96;49,42;46,90;48,50;48,367;18772967;908091723,22;14358;
2017-10-12;46,78;46,80;46,50;46,93;46,05;46,87;46,68;10895031;508579873,17;9351;
2017-10-11;46,54;46,56;47,00;47,16;46,35;46,54;46,548;8581793;399465595,11;6018;
2017-10-10;46,99;47,01;48,04;48,22;46,98;47,00;47,563;12036148;572475455,91;10056;
2017-10-09;48,01;48,04;46,90;48,25;46,80;48,00;47,756;16672311;796173502,82;11847;
2017-10-06;46,66;46,69;46,47;46,91;46,32;46,72;46,631;8935100;416637461,8;6982;
2017-10-05;46,29;46,31;45,74;46,93;45,64;46,34;46,271;16801106;777393881,85;12158;
2017-10-04;45,29;45,30;45,77;45,81;45,18;45,36;45,421;16059617;729457088,59;10584;
2017-10-03;45,75;45,78;45,95;46,20;45,51;45,75;45,772;18952255;867497678,23;14694;
2017-10-02;46,74;46,77;46,96;47,06;46,36;46,88;46,736;10785385;504008666,82;8513;
2017-09-29;46,77;46,79;46,50;47,15;46,26;46,77;46,836;15476799;724860369,99;11086;
2017-09-28;46,36;46,38;46,21;46,52;45,70;46,42;46,14;12738730;587754161,14;9490;
2017-09-27;46,10;46,12;46,57;46,60;46,01;46,20;46,205;12574310;581014214,95;8697;
2017-09-26;46,57;46,60;45,85;46,66;45,72;46,50;46,269;14476968;669841773,24;10862;
2017-09-25;45,73;45,75;45,09;45,91;44,93;45,75;45,499;11812585;537449608,43;9511;
2017-09-22;45,22;45,23;45,50;45,75;44,88;45,28;45,191;15335782;693045881,45;11842;
2017-09-21;44,50;44,51;43,86;44,54;43,75;44,49;44,227;16713607;739300914,22;11941;
2017-09-20;44,52;44,54;45,44;45,62;44,40;44,54;44,981;16336037;734984864,95;11108;
2017-09-19;45,62;45,65;45,74;45,80;44,82;45,66;45,513;13855517;630600085,58;11098;
2017-09-18;45,89;45,90;46,10;46,59;45,79;45,86;46,127;7579361;350676288,74;5649;
2017-09-15;45,94;45,97;45,60;46,02;45,35;45,91;45,785;17096618;782725553,08;9631;
2017-09-14;45,98;46,00;46,03;46,20;45,70;45,91;45,959;11235289;516670689,86;8496;
2017-09-13;46,04;46,05;46,59;46,61;45,87;46,05;46,101;9364255;431695977,44;6534;
2017-09-12;46,59;46,62;46,53;46,67;46,23;46,56;46,46;8351160;387995136,31;6526;
2017-09-11;46,32;46,35;46,00;46,87;45,76;46,36;46,362;10788177;500151941,96;7954;
2017-09-08;45,79;45,82;46,11;46,23;45,73;45,89;45,92;8527933;391599733,37;6511;
2017-09-07;46,20;46,22;46,05;46,36;45,64;46,28;46,104;9946062;458595038,51;7967;
2017-09-06;45,69;45,71;46,04;46,18;45,52;45,78;45,769;9919794;454016524,96;8250;
2017-09-05;46,26;46,28;46,23;46,74;46,09;46,36;46,399;7817268;362716651,11;6365;
2017-09-04;46,28;46,31;46,36;46,64;46,05;46,26;46,35;11836534;548626629,06;11306;
2017-09-01;46,60;46,62;46,63;46,74;46,39;46,60;46,577;10308322;480125620,5;7828;
2017-08-31;46,61;46,64;46,99;47,09;46,35;46,57;46,577;16864089;785481370,43;11329;
2017-08-30;47,00;47,01;46,70;47,14;46,41;47,12;46,911;11859130;556323968,42;7727;
2017-08-29;46,15;46,17;47,14;47,14;45,88;46,20;46,303;13906107;643895248,04;10182;
2017-08-28;47,32;47,35;47,30;47,46;47,03;47,39;47,279;7734323;365699747,86;6417;
2017-08-25;47,55;47,56;47,84;48,29;47,50;47,50;47,829;8026426;383898275,12;6709;
