sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;170,80;171,00;174,50;174,50;170,80;170,90;172,021;491184;84494211,9;2081;
2018-01-26;174,40;174,60;173,40;175,00;173,30;174,40;174,36;400025;69748344,4;1877;
2018-01-25;173,60;173,80;177,50;177,50;173,50;173,70;174,896;608774;106472230,15;2576;
2018-01-24;177,40;177,60;181,70;182,20;176,70;177,60;178,783;562790;100618231,9;2672;
2018-01-23;181,70;181,90;181,20;182,20;180,90;182,00;181,879;444717;80884860,3;2405;
2018-01-22;181,20;181,40;182,30;182,80;180,80;181,50;181,471;254521;46188227,5;1324;
2018-01-19;182,30;182,50;178,10;182,90;177,30;182,30;180,99;644959;116712813,15;3123;
2018-01-18;176,40;176,60;179,00;179,50;176,40;176,80;177,692;503397;89449806,9;1938;
2018-01-17;179,10;179,30;178,20;179,70;177,70;179,00;178,938;387774;69387337,4;1805;
2018-01-16;178,20;178,30;176,50;179,20;176,30;178,40;177,948;227190;40428071,1;1114;
2018-01-15;177,70;177,90;178,80;179,00;175,90;177,70;177,542;319171;56666299,4;1737;
2018-01-12;178,50;178,70;178,90;179,50;177,20;178,80;178,634;270918;48395110,4;1300;
2018-01-11;178,30;178,50;179,70;180,60;178,00;178,70;179,044;237350;42496632,55;1463;
2018-01-10;179,30;179,40;181,90;182,00;178,90;179,60;179,924;251301;45215173,1;1407;
2018-01-09;181,90;182,10;182,10;182,40;180,50;182,30;181,704;274475;49872583,85;1533;
2018-01-08;182,00;182,10;178,50;182,20;178,50;182,20;181,242;457310;82881992,9;2421;
2018-01-05;177,20;177,40;175,20;178,40;175,20;178,40;177,386;216891;38473373,7;1002;
2018-01-04;174,80;175,00;175,10;175,70;173,90;175,20;174,92;253860;44405104,3;1068;
2018-01-03;174,40;174,60;174,00;174,90;172,70;174,90;174,227;303476;52873563,7;1207;
2018-01-02;173,80;174,00;175,00;175,00;173,00;174,30;173,959;266342;46332372,55;1179;
2017-12-29;174,30;174,50;174,60;175,00;173,90;174,60;174,542;139529;24353799,75;766;
2017-12-28;174,60;174,70;174,10;175,00;173,20;174,60;174,435;176874;30852761,8;889;
2017-12-27;173,50;173,70;171,50;173,90;171,40;173,80;172,84;208455;36029250,7;1135;
2017-12-22;171,80;171,90;173,00;173,40;171,40;171,80;171,972;360595;61995320,9;1553;
2017-12-21;173,30;173,50;175,10;175,10;172,40;173,30;173,495;443668;76973705,7;1709;
2017-12-20;175,00;175,10;176,60;176,70;175,00;175,40;175,596;262907;46165309,8;1320;
2017-12-19;176,50;176,70;176,40;177,80;176,00;176,60;176,801;249387;44091960,8;1309;
2017-12-18;176,90;177,10;176,00;177,30;175,90;177,00;176,699;298758;52790328,8;1566;
2017-12-15;176,20;176,40;175,90;176,30;173,50;176,10;175,508;517255;90789419,81;1934;
2017-12-14;176,10;176,30;176,10;177,40;175,40;176,10;176,18;208270;36692836,9;1007;
2017-12-13;176,90;177,10;176,70;177,50;175,50;177,00;176,467;261913;46218900,6;799;
2017-12-12;176,30;176,40;176,40;177,40;175,70;176,70;176,576;263335;46498701,2;1247;
2017-12-11;176,20;176,30;176,70;177,20;175,00;176,40;176,30;247572;43646940,2;1071;
2017-12-08;176,50;176,70;175,80;177,00;174,50;176,50;175,944;280953;49432073;1222;
2017-12-07;174,00;174,30;174,60;176,00;174,00;174,60;174,739;214321;37450386,35;1025;
2017-12-06;173,80;174,00;174,10;174,80;172,40;174,00;173,836;352335;61248478,9;1129;
2017-12-05;175,20;175,40;174,00;175,40;173,20;175,20;174,553;348969;60913463;1272;
2017-12-04;174,50;174,70;174,80;175,80;173,00;174,50;174,371;302844;52807270,9;1421;
2017-12-01;173,40;173,70;174,00;174,60;173,40;173,50;173,905;345807;60137709,05;1541;
2017-11-30;173,30;173,40;177,30;177,30;173,20;174,10;174,341;599207;104464471,6;1928;
2017-11-29;176,30;176,40;176,50;177,30;175,40;176,30;176,317;318214;56106117,6;1745;
2017-11-28;176,00;176,20;176,10;176,60;174,50;176,20;175,937;187292;32951660,6;989;
2017-11-27;176,60;176,90;175,60;177,30;175,40;176,60;176,593;389983;68885575,4;1317;
2017-11-24;175,30;175,50;174,20;175,40;173,80;175,30;174,887;250923;43883187,2;1312;
2017-11-23;174,00;174,20;173,60;174,20;172,30;174,20;173,803;229083;39815253,3;1167;
2017-11-22;173,70;173,90;175,50;176,00;173,50;174,10;174,229;276890;48242691,4;1148;
2017-11-21;175,70;175,80;174,10;176,10;173,40;175,90;175,323;275251;48256411,9;1055;
2017-11-20;174,00;174,10;176,50;176,50;174,00;174,10;175,292;570332;100044329,3;1983;
2017-11-17;176,80;176,90;178,50;178,50;176,20;177,40;177,329;499699;88597588,5;1598;
2017-11-16;178,70;178,80;176,10;178,80;175,70;178,70;177,91;350985;62441121,2;1557;
2017-11-15;175,90;176,10;173,60;176,90;173,20;175,70;174,826;512522;89601413,25;2249;
2017-11-14;174,10;174,30;172,50;174,60;171,80;174,30;173,738;292017;50736200,25;1299;
2017-11-13;172,60;172,80;174,00;174,80;171,00;172,70;172,761;334731;57856174,25;1704;
2017-11-10;173,80;174,00;173,60;174,30;173,10;173,90;173,678;224481;38987425,2;1049;
2017-11-09;173,50;173,60;174,60;174,80;173,40;174,00;173,99;377192;65627633,2;1539;
2017-11-08;174,50;174,70;174,80;175,90;173,60;174,60;174,614;307430;53679379,68;1494;
2017-11-07;174,30;174,60;175,70;176,10;174,20;174,70;174,982;402443;70420467,3;1552;
2017-11-06;175,30;175,50;176,80;177,50;174,60;175,70;175,584;309392;54324250;1520;
2017-11-03;177,00;177,10;176,20;177,30;175,50;176,80;176,578;219812;38813898,7;1044;
2017-11-02;175,80;176,00;176,80;177,80;175,60;176,00;176,34;226249;39896698,5;1317;
2017-11-01;176,70;176,90;176,80;177,50;175,80;176,80;176,681;507245;89620604,9;1412;
2017-10-31;176,40;176,70;175,70;177,30;175,30;176,80;176,464;328161;57906894,8;1251;
2017-10-30;175,00;175,10;174,30;175,40;173,50;175,40;174,671;485806;84856253,6;2400;
2017-10-27;175,60;175,70;175,50;176,20;174,70;175,70;175,372;304733;53441493,9;1456;
2017-10-26;174,20;174,40;172,30;174,80;172,30;174,80;174,144;342604;59662322,8;1511;
2017-10-25;172,10;172,40;173,00;173,90;172,20;172,60;172,885;374517;64749041,7;1608;
2017-10-24;173,50;173,60;175,10;176,60;172,40;173,30;173,937;497207;86482472,6;2249;
2017-10-23;175,50;175,70;176,80;177,20;175,20;175,60;176,037;391221;68869363,9;2099;
2017-10-20;176,80;176,90;179,60;179,60;176,80;176,80;177,826;518300;92168267,25;2333;
2017-10-19;178,30;178,50;180,60;181,70;177,40;178,30;178,772;630326;112684059,1;2746;
2017-10-18;179,30;179,40;177,10;179,90;175,80;179,80;178,439;593724;105943817,7;3075;
2017-10-17;176,20;176,30;176,10;178,50;175,70;176,70;176,783;622350;110021097,5;2587;
2017-10-16;175,40;175,50;174,90;175,80;174,50;175,70;175,251;342460;60016407,2;1817;
2017-10-13;175,10;175,20;176,20;176,60;174,70;175,30;175,303;504475;88437704,7;2122;
2017-10-12;175,70;175,90;173,10;176,70;173,00;176,10;175,818;441406;77606810,2;1985;
2017-10-11;172,80;173,00;172,10;173,40;172,00;173,10;173,013;670968;116086433,3;1519;
2017-10-10;172,70;172,90;171,90;173,40;170,90;173,00;172,442;379576;65454662,3;1883;
2017-10-09;171,40;171,50;170,10;172,10;170,10;171,80;171,299;360385;61733004,95;1723;
2017-10-06;170,30;170,50;170,90;173,00;170,30;170,60;171,341;354165;60681776,3;2165;
2017-10-05;171,50;171,60;170,90;172,00;170,50;171,60;171,332;489081;83795042,95;1727;
2017-10-04;171,20;171,30;170,50;171,80;169,50;171,40;170,949;672957;115041602,1;2416;
2017-10-03;170,40;170,60;167,00;170,70;167,00;170,60;169,796;553576;94017071,9;2053;
2017-10-02;167,00;167,20;167,00;167,80;166,20;167,10;167,022;423670;70762055,1;1678;
2017-09-29;166,90;167,00;160,00;167,20;159,90;167,00;165,964;911530;151260301,1;2027;
2017-09-28;161,90;162,10;161,20;162,40;160,00;162,00;161,83;257115;41608870,4;1227;
2017-09-27;162,00;162,10;161,00;162,50;161,00;162,00;161,854;411325;66574533,15;1746;
2017-09-26;161,70;161,80;160,50;161,90;160,30;161,50;161,273;626798;101085697,6;1529;
2017-09-25;160,70;160,90;160,00;161,10;160,00;160,80;160,672;154480;24820561,9;942;
2017-09-22;160,70;160,90;158,90;160,90;158,50;160,60;160,173;254430;40752874,3;995;
2017-09-21;159,00;159,10;160,20;160,30;158,10;159,10;159,107;201926;32127763,9;1154;
2017-09-20;160,10;160,20;159,90;160,90;159,60;160,20;160,478;262006;42045731,15;1273;
2017-09-19;159,80;160,00;159,60;160,60;159,40;159,80;160,157;280964;44998380;1364;
2017-09-18;159,80;160,00;160,30;161,30;159,80;159,80;160,301;157272;25210987,5;1041;
2017-09-15;159,90;160,20;159,50;161,10;159,50;159,90;160,028;362123;57949791,4;1578;
2017-09-14;159,60;159,70;159,10;159,80;159,00;159,70;159,581;204879;32694731,2;1073;
2017-09-13;159,30;159,40;159,10;159,80;158,60;159,50;159,328;247611;39448878,7;1063;
2017-09-12;159,90;160,10;160,50;161,50;159,50;159,90;160,222;274963;44054866,45;1440;
2017-09-11;159,80;160,10;158,70;160,40;158,40;160,00;159,868;267148;42708437,5;1497;
2017-09-08;158,70;158,90;157,90;159,30;157,10;158,90;158,299;263650;41735452,5;1674;
2017-09-07;157,90;158,10;156,30;158,20;156,00;158,20;157,432;199523;31411299,35;1179;
2017-09-06;155,70;155,90;154,70;156,00;154,00;156,00;155,237;289365;44920016,8;1754;
2017-09-05;154,60;154,80;158,50;159,20;154,60;154,80;156,393;387525;60605730,25;2182;
2017-09-04;158,50;158,80;157,50;159,30;157,40;158,50;158,60;420118;66630816,1;1326;
2017-09-01;158,80;159,00;158,80;160,50;158,80;159,00;159,49;252224;40227291,6;1579;
2017-08-31;159,30;159,50;158,40;160,10;158,40;159,40;159,303;462216;73632416,7;1985;
2017-08-30;158,10;158,30;157,70;159,30;157,40;158,30;158,191;329997;52201028;1695;
2017-08-29;157,70;158,00;157,20;158,50;157,00;157,90;157,736;270922;42733371,64;1651;
2017-08-28;158,30;158,50;158,50;159,20;157,90;158,20;158,321;150097;23763559,1;900;
2017-08-25;158,40;158,50;159,00;159,10;157,90;158,10;158,277;152258;24099005,7;832;
2017-08-24;159,20;159,50;160,20;161,00;159,20;159,20;159,672;141275;22557596,65;985;
2017-08-23;160,10;160,20;160,40;160,50;159,60;160,10;160,148;200725;32145644,85;1141;
2017-08-22;160,00;160,20;159,80;161,30;159,80;160,40;160,343;170397;27321876,2;847;
2017-08-21;159,80;160,00;159,70;160,50;159,00;159,90;159,839;128157;20484443,5;872;
2017-08-18;159,70;159,90;160,90;161,30;159,10;159,90;159,845;138128;22079001,8;841;
2017-08-17;162,10;162,30;161,90;162,80;161,30;162,00;162,171;274975;44593044,65;1176;
2017-08-16;162,80;163,00;161,70;164,00;161,70;162,90;162,909;174056;28355352;865;
2017-08-15;162,00;162,10;164,70;165,10;162,00;162,10;162,584;236580;38464166,8;1308;
2017-08-14;164,30;164,50;160,00;164,60;159,90;164,40;163,436;254804;41644192,6;1674;
2017-08-11;160,60;160,80;162,00;162,20;160,20;160,80;160,798;213328;34302805,1;1115;
