sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;13,194;13,20;13,00;13,55;12,72;13,272;13,292;8727539;116005055,55;4579;
2018-01-26;13,006;13,02;13,50;13,506;12,522;13,00;12,925;18016386;232863029,36;10847;
2018-01-25;13,60;13,70;12,216;13,85;11,60;13,70;12,742;40497195;515819045,34;25653;
2018-01-24;16,758;16,784;16,86;17,00;16,73;16,776;16,824;3182388;53539501,29;2603;
2018-01-23;16,782;16,80;16,778;16,86;16,64;16,86;16,774;4171203;69968973,49;2585;
2018-01-22;16,782;16,792;16,80;16,94;16,67;16,778;16,785;2160380;36287802,71;1988;
2018-01-19;16,766;16,794;16,80;16,896;16,622;16,80;16,773;2833610;47515046,64;2471;
2018-01-18;16,744;16,75;16,90;17,20;16,636;16,756;16,94;5741306;97255697,55;3718;
2018-01-17;16,79;16,812;16,71;17,15;16,50;16,772;16,803;6642976;111660896,81;3179;
2018-01-16;16,70;16,72;17,17;17,21;16,62;16,71;16,837;4840105;81490907,4;3458;
2018-01-15;17,14;17,16;16,76;17,292;16,602;17,15;17,031;8846646;150621995,46;7108;
2018-01-12;16,268;16,282;16,352;16,42;16,19;16,30;16,271;1975703;32147345,74;1968;
2018-01-11;16,284;16,30;16,788;17,056;16,128;16,35;16,507;5000093;82536876,26;4188;
2018-01-10;16,39;16,40;16,27;16,73;16,10;16,464;16,454;7362269;121137374,58;4207;
2018-01-09;16,326;16,35;16,542;16,542;16,11;16,27;16,28;4895213;79692984,07;4368;
2018-01-08;16,54;16,55;17,35;17,73;16,37;16,542;16,995;7260158;123391631,06;7350;
2018-01-05;17,28;17,296;16,30;17,30;16,092;17,286;16,754;4813096;80648211,36;3610;
2018-01-04;16,20;16,21;16,224;16,344;15,94;16,252;16,167;3465735;56029251,57;3090;
2018-01-03;16,08;16,096;16,674;16,804;15,948;16,086;16,261;4782658;77768218,7;3867;
2018-01-02;16,498;16,516;15,968;16,85;15,772;16,592;16,359;6168246;100888130,37;4782;
2017-12-29;15,77;15,79;15,71;15,89;15,65;15,81;15,768;3898398;61469693,96;3789;
2017-12-28;15,70;15,71;16,00;16,05;15,61;15,71;15,87;7248607;115041134,13;5454;
2017-12-27;15,92;15,93;16,21;16,29;15,90;15,94;15,996;4919086;78686055,3;4855;
2017-12-22;16,19;16,22;16,26;16,52;16,07;16,23;16,277;5345524;87008281,44;4024;
2017-12-21;16,25;16,28;16,44;16,80;16,21;16,23;16,438;7016031;115327142;4805;
2017-12-20;16,47;16,49;17,10;17,17;16,34;16,45;16,668;6967352;116129181,07;4366;
2017-12-19;17,07;17,10;16,95;17,34;16,83;17,10;17,107;5658053;101653742,66;3283;
2017-12-18;16,86;16,88;17,09;17,48;16,83;16,85;17,149;5840899;103164642,55;3762;
2017-12-15;17,09;17,11;17,60;17,64;17,08;17,10;17,254;6777690;116996020,55;3249;
2017-12-14;17,60;17,62;17,93;18,06;17,55;17,59;17,818;3880275;69138715,74;2824;
2017-12-13;17,96;17,98;17,84;18,46;17,45;17,93;17,956;8814023;158266874,71;6317;
2017-12-12;17,65;17,66;16,97;17,71;16,92;17,69;17,392;8570424;149056141,89;5250;
2017-12-11;16,96;16,97;16,50;17,00;16,33;16,97;16,679;5048614;84206693,32;3357;
2017-12-08;16,52;16,54;16,61;16,72;16,38;16,51;16,562;7353904;121792249,69;3836;
2017-12-07;16,61;16,64;16,81;17,06;16,62;16,62;16,774;5939936;99636515,53;3435;
2017-12-06;16,86;16,88;16,73;17,01;16,50;16,88;16,712;6809080;113793909,16;4237;
2017-12-05;16,73;16,74;16,87;16,98;16,60;16,75;16,706;3741338;62502457,61;2838;
2017-12-04;16,89;16,91;17,02;17,15;16,69;16,86;16,851;7516835;126667436,33;4681;
2017-12-01;17,11;17,14;17,10;17,24;17,01;17,08;17,128;4321529;74016861,87;3108;
2017-11-30;17,14;17,16;17,48;17,54;17,09;17,13;17,256;8030504;138572839,39;4104;
2017-11-29;17,48;17,50;17,73;17,76;17,28;17,41;17,455;5214691;91004971,03;3318;
2017-11-28;17,65;17,68;18,00;18,30;17,58;17,68;17,923;6889243;123470510,18;4001;
2017-11-27;18,03;18,05;17,88;18,54;17,58;18,01;18,009;10955877;197300577,87;7123;
2017-11-24;17,98;17,99;19,10;19,10;17,90;17,92;18,293;15347029;280737598,56;10705;
2017-11-23;19,36;19,37;19,06;23,25;18,29;19,35;20,423;57679123;1177233016,04;41827;
2017-11-22;16,97;16,99;17,19;17,19;16,93;16,93;17,032;3353943;59141034,95;2453;
2017-11-21;17,12;17,14;16,96;17,19;16,88;17,19;17,019;4481834;76276401,89;3090;
2017-11-20;16,96;16,98;17,21;17,23;16,90;16,94;17,025;2661075;45412423,18;2359;
2017-11-17;17,20;17,23;17,39;17,52;17,11;17,18;17,255;5080545;87665187,86;3257;
2017-11-16;17,33;17,35;17,22;17,55;17,07;17,39;17,309;3174319;54944480,88;2723;
2017-11-15;17,11;17,14;17,24;17,49;16,99;17,16;17,232;5368180;92505075,93;3728;
2017-11-14;17,03;17,06;17,55;17,72;16,97;17,03;17,234;6270298;108058973,71;4005;
2017-11-13;17,42;17,44;16,80;17,74;16,70;17,46;17,289;8271853;143011175,29;5810;
2017-11-10;16,79;16,82;17,10;17,30;16,70;16,79;16,933;8948846;151527901,91;5814;
2017-11-09;17,08;17,10;17,51;17,81;17,07;17,10;17,289;11544976;199601431,5;6774;
2017-11-08;17,37;17,42;17,10;18,52;17,04;17,50;17,672;24187764;427456855,77;19492;
2017-11-07;17,16;17,17;17,33;17,67;17,02;17,15;17,231;11724243;202018774,17;7842;
2017-11-06;17,40;17,41;18,00;18,58;17,28;17,36;17,797;22127835;393803923,51;14237;
2017-11-03;18,06;18,07;18,72;18,88;18,00;18,02;18,318;10422726;190927404,97;6736;
2017-11-02;18,76;18,79;19,44;19,74;18,66;18,74;18,993;18811281;357286690,91;15808;
2017-11-01;19,43;19,44;21,90;23,37;19,21;19,40;21,466;58627205;1258197959,89;47119;
2017-10-31;20,65;20,68;20,12;20,87;19,53;20,69;20,272;18437667;373806005,43;13834;
2017-10-30;20,22;20,24;18,14;20,67;18,04;20,28;19,536;24860559;485691733,86;19475;
2017-10-27;18,08;18,10;16,72;18,16;16,58;18,13;17,408;23087090;401634886,43;14621;
2017-10-26;16,82;16,85;16,75;18,37;16,51;16,79;17,248;40308681;695219883,06;28346;
2017-10-25;19,77;19,78;20,00;20,24;19,75;19,75;19,991;6877562;137489151,2;6408;
2017-10-24;20,05;20,06;20,50;20,80;20,01;20,01;20,282;11383290;230873383,99;9716;
2017-10-23;20,79;20,80;21,75;21,89;20,77;20,77;21,013;14846685;313444403,17;13593;
2017-10-20;21,75;21,78;22,00;22,20;21,75;21,75;21,897;7490274;164012087,5;11546;
2017-10-19;21,89;21,93;22,14;22,23;21,88;21,91;22,037;6275204;138284267,05;5321;
2017-10-18;22,09;22,12;21,84;22,19;21,50;22,10;21,881;8649777;189185035,98;7280;
2017-10-17;22,18;22,22;22,60;22,66;21,71;22,14;21,979;9988387;219535730,27;7931;
2017-10-16;22,53;22,55;22,31;23,84;21,90;22,59;22,756;16452746;374404230,74;15032;
2017-10-13;22,43;22,45;22,49;22,72;22,39;22,40;22,516;3415532;76905381,36;4688;
2017-10-12;22,48;22,50;22,52;22,64;22,36;22,43;22,511;3823825;86077649,12;6886;
2017-10-11;22,54;22,56;22,42;22,74;22,20;22,52;22,551;5524728;124586835,99;6214;
2017-10-10;22,36;22,42;23,00;23,19;22,15;22,33;22,465;8973285;201588221,49;7644;
2017-10-09;23,17;23,20;23,50;23,61;23,15;23,15;23,301;2611263;60872194,19;6191;
2017-10-06;23,49;23,52;23,50;23,78;23,29;23,50;23,541;5812167;136803167,41;8724;
2017-10-05;23,23;23,26;23,70;23,79;22,81;23,19;23,19;6344230;147122664,07;6200;
2017-10-04;23,61;23,63;23,10;23,92;23,04;23,62;23,608;7563573;178558428,93;7606;
2017-10-03;23,00;23,03;22,78;23,24;22,65;23,04;22,946;7965137;182745839,61;8685;
2017-10-02;22,78;22,80;22,90;23,10;22,36;22,78;22,737;6217837;141378552,92;7662;
2017-09-29;22,81;22,85;22,04;22,92;22,04;22,81;22,627;6192793;140121715,56;8698;
2017-09-28;21,94;21,96;22,00;22,25;21,34;21,90;21,749;12027794;261589956,68;12631;
2017-09-27;22,15;22,17;22,85;22,97;22,00;22,10;22,339;10317069;230467649,9;6635;
2017-09-26;22,91;22,92;23,00;23,31;22,79;22,85;23,032;6566211;151233580,2;7013;
2017-09-25;23,15;23,20;23,88;23,88;22,95;23,14;23,285;7988341;186014417,09;6225;
2017-09-22;23,81;23,86;22,95;23,98;22,95;23,88;23,55;11881459;279809427,56;8041;
2017-09-21;22,93;22,96;22,83;23,03;22,00;22,89;22,594;20206476;456505216,65;14141;
2017-09-20;23,52;23,55;22,20;23,72;22,02;23,55;22,971;18984607;436110535,53;13135;
2017-09-19;22,81;22,82;25,00;25,11;22,31;22,74;23,232;44039965;1023136488,12;34368;
2017-09-18;26,15;26,17;26,53;27,69;25,71;26,10;26,496;45016093;1193897930,25;37266;
2017-09-15;33,50;33,52;33,10;33,69;32,85;33,52;33,346;7502866;250185019,01;9266;
2017-09-14;33,10;33,12;32,37;33,11;32,35;33,11;32,919;4680387;154073066,09;5144;
2017-09-13;32,36;32,39;31,70;32,79;31,30;32,42;32,063;11465869;367826409,16;11529;
2017-09-12;32,66;32,70;33,07;33,30;32,43;32,58;32,791;5343868;175229325,78;6018;
2017-09-11;33,17;33,19;33,00;33,29;32,13;33,14;32,711;6274494;205251175,64;8061;
2017-09-08;32,87;32,90;33,45;33,68;32,31;32,89;32,931;8156802;268609597,32;9681;
2017-09-07;33,22;33,24;32,57;33,44;32,42;33,25;33,017;8935637;295047386,84;10946;
2017-09-06;32,67;32,71;33,50;33,50;31,80;32,57;32,487;22401563;727761166,06;22131;
2017-09-05;34,87;34,90;35,03;35,74;34,75;34,93;35,204;5933413;208882088,89;4981;
