sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;103,90;104,00;111,70;113,75;102,50;104,05;106,518;7779292;828844952,45;27716;
2018-01-26;115,90;116,00;115,20;116,70;114,95;116,20;115,981;1000628;116054059,7;3674;
2018-01-25;115,45;115,55;115,60;117,30;114,75;115,60;115,945;1606538;186168580,46;4485;
2018-01-24;116,10;116,20;117,00;117,00;115,50;115,95;115,936;850011;98564041,95;2145;
2018-01-23;117,10;117,20;116,15;117,35;115,90;117,05;116,914;696265;81403397,3;2241;
2018-01-22;115,65;115,70;115,35;115,90;114,75;115,90;115,542;686846;79359021,1;2290;
2018-01-19;115,10;115,20;113,95;115,75;112,75;115,55;115,126;1078970;124217655,73;3813;
2018-01-18;113,15;113,25;115,20;115,60;112,80;113,70;113,903;1310384;149256682,4;4228;
2018-01-17;115,35;115,40;116,90;116,90;114,80;115,40;115,619;901833;104268961,15;2784;
2018-01-16;116,75;116,85;117,50;118,05;116,60;116,80;117,102;630278;73806909,6;2294;
2018-01-15;117,35;117,45;117,25;117,80;116,75;117,55;117,423;509897;59872973,72;1938;
2018-01-12;117,20;117,30;118,00;118,30;116,50;117,45;117,251;558370;65468157,88;2306;
2018-01-11;117,90;117,95;117,80;117,95;116,40;117,80;117,315;754372;88498978,2;2856;
2018-01-10;117,50;117,60;118,20;118,25;117,05;117,50;117,492;889431;104501186,3;3298;
2018-01-09;118,15;118,25;118,90;119,80;117,40;118,20;118,421;1248342;147831176,16;4478;
2018-01-08;118,55;118,70;119,35;120,45;118,50;118,65;119,16;880576;104935314,62;2964;
2018-01-05;118,80;118,90;117,40;119,10;117,35;119,05;118,555;383918;45518073,24;1386;
2018-01-04;116,85;116,95;117,35;118,30;116,35;117,05;117,042;983544;115116499,98;3236;
2018-01-03;117,35;117,45;117,35;118,55;116,65;117,50;117,424;761517;89420033,75;2706;
2018-01-02;117,35;117,45;118,80;118,90;117,00;117,50;117,838;1013638;119451802,55;3239;
2017-12-29;118,90;119,00;118,80;119,50;117,80;119,00;118,752;856697;101736811,2;2649;
2017-12-28;118,80;118,90;119,00;120,60;118,50;118,80;119,399;761380;90908548,2;3015;
2017-12-27;119,00;119,20;119,00;120,30;118,70;119,20;119,258;785342;93657860,53;3012;
2017-12-22;119,10;119,30;119,20;120,00;118,80;119,30;119,297;639177;76252144,4;2548;
2017-12-21;119,60;119,80;119,80;120,30;119,10;119,70;119,719;579514;69378383,3;2018;
2017-12-20;119,40;119,60;121,00;122,20;119,30;119,70;120,348;933951;112399191,5;3220;
2017-12-19;120,70;120,90;121,00;121,50;119,00;120,80;120,575;1178666;142118034,6;3745;
2017-12-18;122,70;122,90;120,70;123,00;120,70;123,00;122,59;958114;117635235,22;2396;
2017-12-15;120,30;120,40;120,80;121,20;119,80;120,40;120,401;909298;109479917,2;2749;
2017-12-14;120,70;120,80;123,30;123,30;118,50;120,80;120,763;1559680;188304396,25;4500;
