sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;465,50;465,70;466,90;471,20;464,80;465,60;466,517;974340;454438309,4;3471;
2018-01-26;467,00;467,10;462,60;468,90;462,10;467,20;466,698;646694;302013435,6;4302;
2018-01-25;462,80;463,20;464,70;466,40;462,00;462,80;463,597;1132198;525320744,78;5301;
2018-01-24;467,90;468,00;466,10;468,20;463,20;467,10;466,435;702162;327519998,35;5476;
2018-01-23;472,70;473,00;474,10;474,80;470,60;472,00;472,468;632514;298843058,6;4678;
2018-01-22;471,40;471,60;473,40;475,60;469,60;471,10;472,325;868630;409831808,9;5011;
2018-01-19;472,20;472,40;463,90;473,20;463,90;472,80;470,886;543811;256074204,35;4354;
2018-01-18;463,70;463,80;460,20;470,90;459,90;464,00;465,094;865134;402381757,55;5874;
2018-01-17;459,80;460,20;460,30;462,40;458,70;459,90;460,285;754509;347288586;5069;
2018-01-16;464,10;464,40;460,00;465,60;457,90;464,10;462,956;1046344;484411395,15;8124;
2018-01-15;459,00;459,20;453,00;461,50;452,00;459,00;457,361;1857506;849358969,9;7381;
2018-01-12;453,00;453,30;446,70;454,10;443,90;453,20;449,708;916073;411929520,1;7617;
2018-01-11;447,90;448,10;449,80;454,00;439,70;447,10;445,357;2141781;953975781,45;17706;
2018-01-10;421,90;422,00;428,00;429,00;421,00;422,80;423,906;556607;235948796,65;4113;
2018-01-09;427,90;428,10;431,00;431,30;424,60;428,40;428,274;550810;235898429,6;4524;
2018-01-08;431,20;431,40;429,00;431,30;425,90;430,50;428,845;572910;245678171,7;3866;
2018-01-05;425,30;425,50;424,50;429,40;421,70;426,00;424,535;358637;152253852,3;3402;
2018-01-04;415,70;416,10;415,00;417,00;412,50;416,10;414,859;468763;194448537,05;4057;
2018-01-03;413,40;413,90;410,00;414,20;409,00;414,10;412,355;400125;165015446,2;3258;
2018-01-02;409,30;409,60;412,00;412,10;407,10;409,40;409,128;295999;121101300,8;2903;
2017-12-29;408,80;409,40;416,20;418,50;408,70;410,90;413,188;256999;106194945,15;2579;
2017-12-28;415,80;415,90;416,60;418,50;414,20;416,20;416,022;274541;114216497,05;2970;
2017-12-27;416,30;416,70;416,00;417,70;413,40;417,00;416,098;309192;128654155,7;2981;
2017-12-22;414,00;414,20;418,10;420,10;414,00;415,40;417,017;472424;197008125,35;5009;
2017-12-21;416,30;416,50;414,10;416,90;412,10;416,80;415,472;451119;187424082,95;3798;
2017-12-20;409,00;409,20;418,00;420,80;408,30;410,60;412,919;562436;232242794,2;4801;
2017-12-19;413,70;414,00;415,80;415,80;412,60;413,50;413,768;235274;96770137,8;1918;
2017-12-18;417,10;417,50;411,70;417,50;411,70;416,60;415,708;368789;153324804,2;2964;
2017-12-15;410,50;410,80;409,10;411,10;407,80;410,90;410,239;669195;274529750,9;3843;
2017-12-14;406,50;406,60;410,80;411,70;406,20;407,30;407,633;468957;191162194,65;4166;
2017-12-13;411,10;411,20;411,30;413,80;409,30;412,00;411,349;450081;185008136,65;3027;
2017-12-12;411,40;411,70;411,20;413,50;410,70;412,80;412,405;374226;154331703,65;2498;
2017-12-11;410,30;410,50;412,00;413,90;409,10;411,10;410,998;298432;122654998,25;2186;
2017-12-08;412,40;412,60;412,80;415,00;409,10;412,20;411,904;408676;168333832,55;3793;
2017-12-07;411,40;411,70;417,10;417,20;410,10;410,40;411,466;373178;153550224,2;3048;
2017-12-06;409,40;409,80;408,20;409,90;405,70;409,40;408,059;325022;132627509,85;3314;
2017-12-05;412,80;413,20;405,10;413,40;402,70;411,40;408,974;550776;225174104,1;4706;
2017-12-04;405,00;405,50;410,20;410,30;403,00;405,70;407,459;534319;217714297,55;4548;
2017-12-01;407,90;408,00;412,10;412,50;407,90;407,90;409,074;467689;191320496,7;3878;
2017-11-30;411,20;411,50;412,10;412,90;408,10;411,20;411,014;758070;311577686,9;3982;
