sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;494,00;495,00;497,00;516,00;494,00;494,00;504,074;569;286818;55;
2018-01-26;490,00;497,00;490,00;499,00;490,00;496,00;494,229;140;69192;15;
2018-01-25;480,00;497,00;500,00;500,00;462,00;489,00;482,102;2028;977703;93;
2018-01-24;502,00;506,00;534,00;540,00;500,00;502,00;521,881;1425;743680;74;
2018-01-23;528,00;534,00;550,00;550,00;522,00;534,00;538,211;3430;1846062;110;
2018-01-22;550,00;556,00;506,00;572,00;506,00;556,00;546,35;3270;1786564;102;
2018-01-19;500,00;506,00;498,00;506,00;498,00;500,00;503,477;1347;678184;45;
2018-01-18;494,00;497,00;480,00;500,00;480,00;494,00;494,999;2225;1101372;71;
2018-01-17;480,00;491,00;456,00;512,00;447,00;480,00;490,588;1898;931136;100;
2018-01-16;463,00;484,00;488,00;488,00;450,00;462,00;469,062;1599;750030;82;
2018-01-15;489,00;490,00;470,00;499,00;470,00;490,00;485,181;1912;927666;55;
2018-01-12;461,00;469,00;444,00;478,00;444,00;466,00;457,84;833;381381;35;
2018-01-11;443,00;448,00;450,00;450,00;440,00;442,00;446,082;207;92339;18;
2018-01-10;451,00;452,00;450,00;452,00;449,00;450,00;449,729;365;164151;19;
2018-01-09;449,00;450,00;450,00;450,00;449,00;449,00;449,613;895;402404;26;
2018-01-08;447,00;449,00;452,00;452,00;447,00;448,00;449,453;364;163601;21;
2018-01-05;443,00;448,00;445,00;455,00;442,00;447,00;448,647;167;74924;16;
2018-01-04;440,00;447,00;449,00;449,00;436,00;445,00;447,571;583;260934;31;
2018-01-03;443,00;446,00;426,00;448,00;426,00;443,00;444,708;1478;657278;50;
2018-01-02;433,00;443,00;444,00;444,00;424,00;425,00;441,503;583;257396,1;34;
2017-12-29;434,80;444,90;439,90;444,90;433,00;436,10;439,27;2060;904895,8;38;
2017-12-28;434,00;439,90;438,30;448,00;433,50;439,90;441,055;1169;515593,6;40;
2017-12-27;432,50;442,20;450,00;450,00;429,70;434,00;439,788;978;430112,6;54;
2017-12-22;435,60;449,20;434,00;439,00;430,20;436,00;434,259;702;304849,5;20;
2017-12-21;429,30;434,00;433,70;434,00;429,50;429,50;433,269;467;202336,4;13;
2017-12-20;425,10;433,40;433,40;434,00;433,40;434,00;433,406;540;234039;16;
2017-12-19;430,00;433,40;429,80;433,50;429,60;430,00;430,858;616;265408,8;21;
2017-12-18;423,80;429,90;421,20;429,90;421,20;422,40;426,865;799;341064,9;29;
2017-12-15;420,70;428,90;422,50;429,70;419,50;428,80;422,638;457;193145,6;19;
2017-12-14;417,70;428,40;422,60;423,00;417,60;417,60;421,342;168;70785,4;14;
2017-12-13;418,50;429,90;418,00;423,00;418,00;423,00;422,031;696;293733,8;20;
2017-12-12;418,00;420,70;416,00;420,60;415,00;418,00;416,297;1754;730185,7;43;
2017-12-11;416,00;420,00;427,30;429,90;414,90;416,00;419,406;4574;1918361,2;85;
2017-12-08;415,70;427,30;412,30;429,60;412,30;420,00;420,567;610;256546;31;
2017-12-07;410,40;424,00;428,80;428,80;411,20;411,70;415,505;688;285867,6;13;
