sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;85,85;85,90;86,10;87,15;85,60;85,85;86,10;410593;35352201,85;1115;
2018-01-26;85,95;86,00;85,30;86,40;85,05;86,05;85,858;413461;35498737;1317;
2018-01-25;85,20;85,30;87,00;87,15;85,20;85,30;85,898;417982;35901916,55;1188;
2018-01-24;86,90;87,00;87,80;87,85;86,80;86,95;87,184;357829;31196850,55;1182;
2018-01-23;87,50;87,60;87,90;88,10;87,30;87,60;87,714;386266;33881090,85;1119;
2018-01-22;87,75;87,85;88,65;88,80;87,30;87,85;87,936;530890;46684063,61;1527;
2018-01-19;88,50;88,55;87,50;88,75;87,50;88,45;88,214;881784;77801525,82;2255;
2018-01-18;87,15;87,20;86,25;88,95;86,25;87,30;87,496;1431291;125255289,5;3457;
2018-01-17;85,75;85,80;85,20;86,40;85,20;85,85;85,844;417593;35847906,7;1400;
2018-01-16;85,50;85,65;84,60;86,75;84,60;85,70;85,846;818491;70257754,11;1936;
2018-01-15;85,00;85,10;85,20;85,70;84,70;85,05;85,048;289772;24644255,43;1060;
2018-01-12;85,15;85,25;85,35;85,55;84,75;85,30;85,236;251642;21448826,7;823;
2018-01-11;85,15;85,25;85,45;85,45;84,05;85,15;84,785;395548;33536561;1325;
2018-01-10;85,60;85,65;86,65;86,85;85,20;85,55;85,697;325939;27932036,6;1025;
2018-01-09;86,65;86,75;86,05;87,05;86,05;86,55;86,703;416264;36090287,15;1142;
2018-01-08;85,95;86,05;85,95;86,85;85,65;86,05;86,025;431380;37109233,13;1196;
2018-01-05;85,85;85,90;85,50;86,20;85,50;85,95;85,90;423519;36380375,2;938;
2018-01-04;85,45;85,55;84,40;85,65;84,20;85,50;85,127;404266;34411770,6;1302;
2018-01-03;84,30;84,40;84,50;85,15;83,85;84,35;84,295;301549;25419066,3;1084;
2018-01-02;83,90;84,00;83,10;84,35;82,30;84,05;83,716;411627;34461048,9;1160;
2017-12-29;83,25;83,40;84,20;84,35;83,15;83,15;83,474;296871;24780931,55;940;
2017-12-28;84,00;84,10;84,05;84,25;83,60;84,00;83,985;248955;20908468,2;823;
2017-12-27;83,95;84,10;83,60;84,75;83,60;84,05;84,167;420293;35374490,75;1196;
2017-12-22;83,65;83,75;83,70;84,35;83,25;83,85;83,882;373464;31327015,7;1277;
2017-12-21;84,10;84,15;81,65;84,30;81,55;84,05;83,417;679841;56710199,35;1601;
2017-12-20;81,45;81,50;82,15;82,20;81,15;81,65;81,466;804020;65490233,4;1183;
2017-12-19;81,75;81,90;82,20;82,45;81,65;81,95;81,989;327136;26821531,15;997;
2017-12-18;82,30;82,35;82,00;83,25;82,00;82,45;82,24;795998;65463047,75;1362;
2017-12-15;81,85;81,95;81,05;82,20;80,85;82,00;81,631;795384;64927934,75;2839;
2017-12-14;81,30;81,40;81,45;82,20;80,95;81,40;81,46;736875;60025946,8;2032;
2017-12-13;81,65;81,75;82,30;82,30;81,00;81,75;81,564;620502;50518382,98;1052;
2017-12-12;82,05;82,15;82,20;82,40;81,30;82,25;82,164;536877;44111217,81;1031;
2017-12-11;82,10;82,20;81,20;82,35;81,20;82,20;81,975;324656;26613663,6;776;
2017-12-08;81,35;81,45;81,40;81,85;81,05;81,30;81,345;405331;32971590,65;1171;
2017-12-07;81,35;81,45;81,15;81,85;81,15;81,50;81,473;207839;16933019,1;609;
