sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;126,80;127,00;129,50;129,50;126,80;127,00;127,535;265203;33822766,8;940;
2018-01-26;129,00;129,10;127,60;129,20;127,40;129,00;128,667;169887;21856157,15;897;
2018-01-25;127,70;127,90;129,70;129,70;127,50;127,80;128,409;421190;54085916;1503;
2018-01-24;129,40;129,60;133,20;133,40;129,30;129,50;130,921;1763399;228441005,95;1221;
2018-01-23;133,20;133,30;132,90;133,80;132,00;133,50;133,282;178990;23856087,6;676;
2018-01-22;132,10;132,30;133,30;133,40;131,80;132,60;132,551;244603;32422477,8;979;
2018-01-19;133,40;133,50;133,30;133,60;132,30;133,60;133,255;406467;54163896,8;1374;
2018-01-18;133,00;133,20;135,60;135,60;132,90;133,20;133,928;527062;70588202;1869;
2018-01-17;135,60;135,70;134,80;135,90;133,80;135,60;134,966;337723;45581084,7;1389;
2018-01-16;134,40;134,60;134,30;134,80;132,40;134,70;133,741;719250;96059968;1637;
2018-01-15;134,10;134,20;135,90;135,90;133,00;134,20;134,149;371377;49819322,25;1644;
2018-01-12;135,60;135,80;133,90;136,10;132,70;135,80;134,89;485086;65433609,6;1628;
2018-01-11;133,00;133,20;133,40;134,30;132,30;133,40;133,394;324482;43283981,1;1211;
2018-01-10;133,10;133,30;135,60;135,60;133,00;133,50;133,679;300183;40128060,2;1557;
2018-01-09;135,40;135,60;134,30;135,70;133,90;135,60;135,101;257782;34826685,2;1330;
2018-01-08;134,00;134,20;132,80;134,40;132,60;134,30;133,574;318378;42532781,75;1101;
2018-01-05;132,90;133,00;131,30;133,50;131,00;133,40;132,615;157934;20944422,7;822;
2018-01-04;131,30;131,40;131,50;131,60;130,50;131,60;131,263;156730;20572775,4;816;
2018-01-03;131,30;131,40;130,10;131,60;129,70;131,60;130,891;215101;28154828;1058;
2018-01-02;129,80;130,00;132,00;132,50;129,60;130,20;130,334;170352;22202685,4;831;
2017-12-29;131,10;131,30;131,10;131,70;130,80;131,40;131,319;85083;11173038,5;548;
2017-12-28;131,10;131,20;130,70;131,50;130,10;131,30;130,866;137333;17972164,8;831;
2017-12-27;130,30;130,50;129,70;130,50;128,70;130,50;129,698;496782;64347661,3;1063;
2017-12-22;129,60;129,80;131,60;131,60;129,30;129,70;130,225;300469;39128490,2;1448;
2017-12-21;131,60;131,80;133,50;133,90;131,40;131,90;132,06;146899;19399428,6;682;
2017-12-20;133,40;133,50;134,00;134,20;132,80;133,50;133,571;259139;34613496,5;1100;
2017-12-19;133,80;134,00;134,60;134,60;133,40;134,00;134,135;164268;22034058;873;
2017-12-18;135,10;135,30;134,00;135,70;134,00;135,00;135,016;188136;25401283,7;773;
2017-12-15;134,00;134,20;132,90;134,40;131,80;134,40;133,699;409714;54777712;1280;
2017-12-14;133,10;133,20;133,50;133,80;132,90;133,10;133,256;223856;29830093,9;721;
