sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;;;308,00;308,00;306,00;306,00;306,889;27;8286;3;
2018-01-26;;310,00;;;;322,00;;;;0;
2018-01-25;;310,00;;;;322,00;;;;0;
2018-01-24;;310,00;;;;322,00;;;;0;
2018-01-23;;;;;;322,00;;;;0;
2018-01-22;322,00;;;;;322,00;;;;0;
2018-01-19;322,00;;322,00;322,00;322,00;322,00;322,00;7;2254;2;
2018-01-18;324,00;;324,00;324,00;322,00;322,00;322,889;45;14530;3;
2018-01-17;324,00;;;;;314,00;;;;0;
2018-01-16;324,00;;;;;314,00;;;;0;
2018-01-15;324,00;;;;;314,00;;;;0;
2018-01-12;;314,00;314,00;314,00;314,00;314,00;314,00;54;16956;2;
2018-01-11;314,00;;;;;314,00;;;;0;
2018-01-10;314,00;;;;;314,00;;;;0;
2018-01-09;314,00;;;;;314,00;;;;0;
2018-01-08;314,00;;;;;314,00;;;;0;
2018-01-05;314,00;;314,00;314,00;314,00;314,00;314,00;9;2826;1;
2018-01-04;314,00;;314,00;314,00;314,00;314,00;314,00;12;3768;3;
2018-01-03;314,00;;314,00;314,00;314,00;314,00;314,00;15;4710;1;
2018-01-02;310,00;326,00;312,00;312,00;312,00;312,00;312,00;2;624;1;
2017-12-29;310,10;324,90;;;;307,40;;;;0;
2017-12-28;315,00;325,00;307,40;307,40;307,40;307,40;307,40;1;307,4;1;
2017-12-27;307,50;319,80;307,40;307,40;307,40;307,40;307,40;3;922,2;1;
2017-12-22;320,00;;;;;319,90;;;;0;
2017-12-21;319,00;320,00;330,00;330,00;319,90;319,90;327,475;40;13099;2;
2017-12-20;319,00;;307,50;319,00;307,50;319,00;313,25;12;3759;4;
2017-12-19;307,40;319,00;307,40;307,40;307,40;307,40;307,40;4;1229,6;1;
2017-12-18;307,20;310,00;;;;307,10;;;;0;
2017-12-15;307,10;310,00;307,10;307,10;307,10;307,10;307,10;6;1842,6;1;
2017-12-14;306,20;307,10;307,10;307,10;307,10;307,10;307,10;2;614,2;2;
2017-12-13;307,00;320,00;306,30;307,10;306,20;307,10;306,289;28;8576,1;5;
