sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;81,74;81,82;81,38;82,16;81,30;81,70;81,811;1870386;152987793,15;2415;
2018-01-26;81,60;81,68;79,96;81,72;79,46;81,58;80,801;1753509;141570383,1;3038;
2018-01-25;79,72;79,78;81,20;81,20;79,68;79,80;80,328;1144353;91924667,86;2712;
2018-01-24;81,64;81,70;81,74;82,64;81,44;81,64;82,039;1326672;108839083,04;3267;
2018-01-23;81,64;81,72;82,00;82,04;79,96;81,70;80,959;4070514;329519532,01;12678;
2018-01-22;82,22;82,30;82,22;82,84;82,06;82,26;82,366;723399;59573062,62;1764;
2018-01-19;82,38;82,44;81,06;82,68;81,06;82,36;82,153;1111257;91287150,52;2412;
2018-01-18;80,66;80,74;81,80;81,98;80,66;80,96;81,029;696854;56465405,1;1870;
2018-01-17;81,56;81,62;81,46;82,12;81,04;81,70;81,677;963125;78671363,84;2221;
2018-01-16;81,46;81,56;80,76;82,00;80,54;81,62;81,513;794265;64742046,88;1967;
2018-01-15;80,76;80,84;80,32;81,50;80,06;80,76;80,566;1078533;86892659,46;2216;
2018-01-12;80,38;80,46;81,22;81,34;80,10;80,50;80,484;1162506;93562346;2631;
2018-01-11;81,24;81,34;82,00;82,00;81,14;81,30;81,382;937748;76315796,84;2143;
2018-01-10;81,88;81,98;81,60;82,38;81,50;81,88;81,976;1773668;145479921,68;3110;
2018-01-09;81,74;81,80;80,50;81,82;80,48;81,76;81,556;905531;73851335,84;1985;
2018-01-08;80,50;80,58;80,50;80,84;80,12;80,44;80,471;806898;64931832;1820;
2018-01-05;80,06;80,12;79,18;80,12;79,18;80,10;79,728;324225;25849858,4;866;
2018-01-04;79,14;79,20;78,48;79,32;78,46;79,18;79,087;1564482;123184145,44;1501;
2018-01-03;78,48;78,52;78,54;78,76;77,90;78,44;78,392;774271;60696599,88;1618;
2018-01-02;77,98;78,08;78,00;78,62;77,76;78,14;78,227;709158;55475191,37;1863;
2017-12-29;77,95;78,10;79,50;79,90;77,85;78,10;78,499;1247535;97929887,5;1838;
2017-12-28;79,40;79,50;80,55;80,55;79,40;79,65;79,907;582263;46526852,75;1164;
2017-12-27;80,35;80,40;80,55;80,90;79,80;80,55;80,32;707477;56824801,08;1334;
