sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;306,10;306,30;308,00;308,30;305,50;306,10;306,53;275953;84590240,2;2384;
2018-01-26;308,10;308,20;307,80;310,40;307,20;307,90;308,738;264847;81768317,4;2245;
2018-01-25;307,60;307,80;311,00;311,60;307,20;307,20;308,448;439522;135569988,6;2711;
2018-01-24;312,20;312,40;311,30;313,60;311,30;311,80;312,295;201729;62998915,4;1823;
2018-01-23;311,80;312,10;312,30;313,50;310,90;311,80;312,14;285176;89014934,7;3060;
2018-01-22;310,90;311,20;310,60;312,40;310,60;311,50;311,315;209577;65081596;1662;
2018-01-19;309,60;309,90;309,10;311,00;308,20;310,60;310,192;361346;112086342,5;2049;
2018-01-18;308,20;308,40;309,50;311,60;308,20;308,70;309,756;369061;114319704,8;3088;
2018-01-17;308,20;308,50;304,30;309,30;304,30;308,30;307,715;507189;156069563,1;4022;
2018-01-16;304,20;304,40;299,00;304,90;298,90;304,30;303,649;581437;176552581,3;4052;
2018-01-15;299,00;299,20;298,80;300,60;298,30;299,00;299,114;264971;79256424,4;2501;
2018-01-12;298,20;298,30;299,00;299,00;297,10;298,80;298,36;232553;69382444,5;2227;
2018-01-11;298,80;299,10;299,20;299,70;296,60;298,90;298,498;431007;128656009,95;3982;
2018-01-10;298,80;298,90;299,60;300,30;297,30;299,20;298,632;283988;84797958,75;2110;
2018-01-09;299,20;299,50;298,60;299,90;297,60;299,30;298,952;310634;92864935,9;2648;
2018-01-08;298,70;298,80;299,70;301,20;298,00;298,60;299,265;283990;84988593,9;2438;
2018-01-05;299,50;299,70;297,30;301,70;297,30;299,30;300,256;221220;66422652,7;1924;
2018-01-04;296,80;296,90;296,80;298,30;295,90;296,80;297,001;302861;89950104,9;2460;
2018-01-03;295,70;296,00;297,40;299,60;294,50;296,00;295,894;453433;134098005,3;2498;
2018-01-02;298,00;298,20;297,90;298,80;295,10;297,80;297,141;484175;143882205,5;2531;
2017-12-29;298,00;298,20;297,00;298,90;296,60;297,90;297,966;274938;81921912,8;1688;
2017-12-28;297,10;297,30;297,10;298,80;295,70;296,90;297,572;202244;60183687,7;1440;
2017-12-27;297,10;297,30;296,40;299,90;296,20;297,10;297,609;154791;46067182,3;1493;
2017-12-22;296,40;296,60;296,20;297,30;294,00;296,40;295,919;241756;71540116,9;2345;
2017-12-21;296,30;296,60;295,90;297,30;295,40;296,50;296,40;212951;63118571,8;1842;
2017-12-20;295,90;296,20;295,80;297,80;295,20;295,80;296,607;400002;118629818,6;2697;
2017-12-19;295,60;295,80;297,00;299,60;295,50;295,80;296,606;405644;120329109,3;3356;
2017-12-18;296,80;297,00;297,20;299,80;295,50;296,80;296,815;408631;121309307,15;3331;
2017-12-15;297,20;297,40;297,00;300,30;295,90;296,90;297,516;902083;266577375,45;3395;
2017-12-14;297,50;297,70;306,70;306,70;297,50;297,60;299,842;639857;191855885,7;6122;
2017-12-13;307,30;307,60;306,00;307,70;305,00;307,00;306,324;228984;70142771,8;2190;
2017-12-12;306,40;306,70;307,00;308,60;305,10;306,80;306,904;204915;62890138,6;1550;
2017-12-11;306,90;307,20;304,10;309,40;304,00;307,00;306,979;294158;90297214;2445;
2017-12-08;304,30;304,50;306,10;307,50;303,70;304,10;304,835;256410;78162780,2;2292;
2017-12-07;305,50;305,70;305,00;308,20;304,30;305,70;306,401;309459;94818633,5;2740;
2017-12-06;305,50;305,80;302,20;307,90;301,60;305,30;305,145;361355;110265284,7;2959;
2017-12-05;303,40;303,60;303,90;306,00;303,40;303,90;304,473;248810;75755987,2;2487;
2017-12-04;304,20;304,40;303,00;305,20;301,30;303,90;303,569;285060;86535311,4;2581;
2017-12-01;301,40;301,70;302,00;304,10;300,40;301,10;302,194;359922;108767814,5;2855;
2017-11-30;300,80;301,10;302,10;303,10;300,70;302,80;302,576;576035;174294402,8;2404;
2017-11-29;301,80;302,00;302,20;303,50;300,50;301,60;301,842;213356;64399765,5;2095;
2017-11-28;301,20;301,40;296,70;301,80;296,70;301,60;300,606;254420;76480584,7;2244;
2017-11-27;297,00;297,30;299,40;300,10;296,10;296,90;297,431;268233;79787101,7;2627;
2017-11-24;299,10;299,30;300,00;301,60;298,60;299,40;299,848;163382;48990268,45;1622;
2017-11-23;300,40;300,60;301,60;301,60;299,00;300,50;300,263;341093;102416459,75;1935;
2017-11-22;301,50;301,70;301,10;303,10;299,50;301,20;301,656;298283;89975558,7;2429;
2017-11-21;301,50;301,60;298,60;301,60;298,60;301,30;300,63;320487;96483332;2054;
2017-11-20;298,60;298,70;298,00;300,40;297,20;298,50;298,577;307582;91915340,8;2286;
2017-11-17;298,20;298,40;299,50;300,20;297,40;297,60;298,132;326668;97392549;1860;
