sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;212,90;213,00;214,40;215,00;212,80;213,40;214,00;411992;88166259,65;2290;
2018-01-26;213,60;213,70;215,00;215,50;213,40;214,00;214,19;421755;90335606,7;2708;
2018-01-25;214,90;215,10;217,30;217,30;214,50;214,80;215,709;412587;88998444,3;2144;
2018-01-24;217,20;217,30;220,00;220,60;217,20;217,70;218,913;919374;201261536,85;2472;
2018-01-23;219,50;219,70;218,50;220,40;218,20;219,90;219,29;835978;183321459,8;4008;
2018-01-22;217,50;217,70;215,80;218,00;215,00;217,90;217,191;688630;149512484,85;2128;
2018-01-19;215,40;215,50;213,20;216,20;213,20;215,70;215,446;418880;90252551,35;2055;
2018-01-18;213,00;213,20;213,70;214,10;211,90;213,20;213,054;313892;66875864,8;1894;
2018-01-17;212,80;213,00;212,00;213,70;211,10;212,90;212,622;341538;72616638,3;1936;
2018-01-16;211,70;211,90;213,00;214,00;211,70;212,10;212,645;316247;67248386,45;1720;
2018-01-15;212,50;212,80;213,00;214,40;212,30;212,90;213,061;517586;110299826,9;2736;
2018-01-12;212,80;212,90;214,80;214,90;212,20;213,30;213,124;506603;107969478,9;2444;
2018-01-11;214,20;214,40;214,50;215,00;213,20;214,10;213,914;631275;135036234,5;3113;
2018-01-10;214,30;214,50;214,10;214,50;212,50;214,50;213,649;506449;108202118,4;3269;
2018-01-09;213,60;213,80;211,90;214,50;211,90;214,00;213,57;360703;77035283,7;2602;
2018-01-08;211,30;211,40;210,60;211,90;209,00;211,60;210,546;754473;158851456,1;4067;
2018-01-05;208,90;209,10;208,00;209,90;208,00;209,60;209,167;210185;43963795,8;1378;
2018-01-04;206,90;207,20;204,90;207,90;204,80;207,50;207,125;748559;154155139,4;2137;
2018-01-03;203,40;203,60;202,80;204,30;202,50;203,90;203,495;310832;63252214,1;1805;
2018-01-02;201,90;202,00;202,40;203,10;200,40;202,20;201,813;302158;60979413;1921;
2017-12-29;201,90;202,10;203,50;203,70;201,90;202,50;202,797;307184;62305909,1;1422;
2017-12-28;203,20;203,30;203,40;204,60;201,90;203,40;203,374;445452;90593287,96;2164;
2017-12-27;203,00;203,30;204,00;205,50;201,70;203,40;203,001;428342;86947747;2313;
2017-12-22;203,60;203,90;205,10;205,20;202,30;203,90;203,749;783352;159590064,5;3038;
2017-12-21;205,20;205,40;201,80;205,60;200,70;205,60;204,054;461925;94256407,3;2059;
2017-12-20;201,20;201,40;203,10;203,90;200,70;202,00;202,083;447502;90432516,9;2181;
2017-12-19;203,10;203,40;202,30;204,00;202,30;203,20;203,391;394468;80231386,55;2764;
2017-12-18;202,40;202,60;203,00;203,80;202,40;202,80;202,925;465141;94379718,1;2290;
2017-12-15;201,10;201,30;199,50;202,10;198,70;202,10;201,004;1083072;217616263,5;2251;
2017-12-14;200,00;200,30;200,30;201,90;199,90;199,90;200,60;743558;148857758,4;1356;
2017-12-13;201,40;201,60;201,00;202,50;200,30;201,20;201,248;292334;58832593,5;1623;
2017-12-12;201,20;201,50;201,60;202,10;200,40;201,50;201,405;345675;69618802,15;1819;
2017-12-11;201,30;201,50;200,50;203,10;199,90;201,30;201,63;300322;60553961,3;1637;
2017-12-08;200,60;200,90;200,10;202,90;200,10;200,10;201,434;433551;87330150,9;2570;
2017-12-07;199,90;200,00;200,00;201,70;199,60;199,60;200,383;561197;112482505,2;1429;
2017-12-06;200,80;201,00;200,60;201,30;198,50;200,40;199,89;398304;79616916,2;2411;
2017-12-05;203,10;203,30;203,50;204,50;201,80;202,70;202,793;434209;88055239,15;2316;
2017-12-04;204,30;204,50;200,60;204,70;200,60;203,90;203,502;874587;176819334,1;2304;
2017-12-01;199,90;200,10;203,90;203,90;199,50;199,50;200,92;347466;69812930,2;2365;
2017-11-30;203,70;203,90;204,20;205,00;202,80;204,00;204,004;675646;137834597,6;2201;
2017-11-29;204,50;204,70;206,20;207,30;204,20;204,20;205,681;281450;57888845,4;1690;
2017-11-28;205,50;205,70;203,20;205,80;203,00;205,30;204,496;384072;78539930,95;2263;
2017-11-27;203,60;203,90;205,00;206,40;203,50;203,50;204,752;315672;64634383,8;1792;
2017-11-24;205,60;205,70;206,70;207,70;205,40;205,60;206,212;283883;58539935,15;1634;
2017-11-23;206,50;206,70;204,40;207,50;203,00;206,50;206,134;423729;87345614,95;2208;
2017-11-22;205,00;205,20;208,00;208,20;204,60;204,60;206,282;414101;85421684,7;2230;
2017-11-21;208,20;208,30;206,00;208,80;205,10;208,00;207,529;377179;78270421,99;1948;
2017-11-20;206,60;206,80;205,00;206,90;203,40;206,20;205,50;476771;97976495,8;2416;
2017-11-17;205,80;206,00;208,00;208,40;205,10;206,00;206,691;657509;135898601,4;3524;
2017-11-16;209,60;209,80;208,60;210,90;207,60;209,50;209,392;332857;69697661,4;1902;
2017-11-15;208,10;208,30;208,30;208,50;206,40;208,10;207,677;352353;73175435;1978;
2017-11-14;208,50;208,70;209,50;211,50;208,00;208,60;209,267;317317;66404012,9;1994;
2017-11-13;208,50;208,70;210,50;210,70;207,20;208,50;208,659;362833;75708217,9;2308;
2017-11-10;210,90;211,10;210,30;211,60;209,60;210,70;210,692;266323;56112081,4;1717;
2017-11-09;210,80;211,10;215,00;215,00;210,20;210,50;211,813;384007;81337586,5;2278;
2017-11-08;214,50;214,70;216,80;217,00;213,20;214,10;214,339;429973;92170573,53;2523;
2017-11-07;216,70;216,80;218,00;218,10;216,10;216,10;217,014;349529;75856542,3;2032;
2017-11-06;217,70;218,00;219,80;220,80;216,80;217,70;218,346;384790;84015550,4;2576;
2017-11-03;219,70;219,90;217,00;220,10;217,00;219,80;219,112;226273;49579182,3;1294;
2017-11-02;216,90;217,00;217,30;217,80;215,50;216,70;216,563;313456;67883443,9;2018;
2017-11-01;216,90;217,10;215,10;218,20;215,10;217,40;217,262;510100;110825061,8;2922;
2017-10-31;215,10;215,30;214,10;215,90;214,00;215,20;215,34;418577;90136540,15;2003;
2017-10-30;213,80;214,00;215,70;215,80;212,90;213,90;213,833;763132;163163706,25;3056;
2017-10-27;215,80;215,90;215,20;216,40;214,70;215,90;215,703;429546;92654168,4;2597;
2017-10-26;215,20;215,50;210,80;215,60;210,30;215,60;213,803;524020;112036448,15;2728;
2017-10-25;211,20;211,50;211,40;212,40;210,70;211,20;211,635;313900;66432055,15;2183;
2017-10-24;211,20;211,40;212,00;213,90;211,00;211,20;212,374;577118;121640290,25;3627;
2017-10-23;212,60;212,70;212,30;213,60;211,30;212,40;212,626;585693;123989045,9;2799;
2017-10-20;212,20;212,40;209,30;213,00;209,20;212,30;211,885;664233;140744790,65;3629;
2017-10-19;208,40;208,60;209,30;210,40;207,50;208,60;208,299;550764;114720379,3;2136;
2017-10-18;208,70;208,80;209,50;209,60;208,40;209,20;209,129;329642;68937582,3;1828;
2017-10-17;209,30;209,50;209,40;209,80;207,90;209,10;208,997;549929;114994012,3;1722;
2017-10-16;209,50;209,70;210,70;210,70;208,90;209,30;209,555;204646;42884628,7;1214;
2017-10-13;210,30;210,40;210,10;211,00;208,70;210,30;209,828;371632;77978339,8;2012;
2017-10-12;211,30;211,50;210,90;212,10;210,50;211,40;211,35;483589;102205294,5;2133;
2017-10-11;210,80;211,10;212,60;212,60;210,20;211,00;210,792;518651;109327576,5;1888;
2017-10-10;211,60;211,80;211,50;212,60;211,00;211,70;211,969;846730;179477865,6;2915;
2017-10-09;211,50;211,70;211,10;212,10;210,70;211,50;211,353;306067;64688561,05;1742;
2017-10-06;210,80;211,00;211,70;212,70;209,40;210,90;211,292;775426;163841097,65;3591;
2017-10-05;211,70;211,80;208,80;215,30;208,30;211,90;211,34;756752;159996231,9;3133;
2017-10-04;208,60;209,00;209,20;209,50;207,70;209,00;208,463;422348;88044074,1;1950;
2017-10-03;208,80;209,00;209,00;209,60;207,50;209,20;208,898;318698;66576137,85;1679;
2017-10-02;206,80;207,00;206,80;207,60;205,60;207,20;206,633;269116;55608051,55;1853;
2017-09-29;206,00;206,10;204,30;206,30;203,20;206,30;205,218;384044;78812927,25;1835;
2017-09-28;203,30;203,50;202,20;203,80;201,30;203,80;202,464;628883;127331187,7;2205;
2017-09-27;201,50;201,70;202,90;203,70;201,40;201,90;202,201;432393;87431431,8;2227;
2017-09-26;202,60;202,80;203,40;203,50;202,00;202,50;202,743;324715;65833778,9;2205;
2017-09-25;203,00;203,20;202,30;203,80;201,80;203,10;202,879;594769;120666055,2;3163;
2017-09-22;202,30;202,50;202,90;202,90;200,90;202,40;201,963;625497;126330141,3;3358;
2017-09-21;202,70;202,90;201,90;203,30;201,20;203,10;202,499;516756;104646795,65;2251;
2017-09-20;200,80;201,00;201,70;201,90;200,50;201,10;201,177;459827;92464818,52;1938;
2017-09-19;201,30;201,60;201,10;202,20;200,60;201,60;201,306;320563;64531103,6;1799;
2017-09-18;200,60;200,70;201,40;202,00;199,90;200,90;200,546;374377;75047411,6;2440;
2017-09-15;199,50;199,70;200,50;201,30;199,20;200,40;200,327;683067;136836583,35;2360;
2017-09-14;200,60;200,70;199,20;200,70;198,10;200,50;199,811;504742;100852574,9;2608;
2017-09-13;198,60;198,90;199,30;199,90;198,50;199,10;199,11;275748;54904503,9;1827;
2017-09-12;199,20;199,40;199,00;199,40;197,90;199,30;198,573;354695;70432761,1;2031;
2017-09-11;197,40;197,60;196,40;199,10;196,40;197,70;198,198;863215;171154531,4;2950;
2017-09-08;195,60;195,70;195,00;195,90;194,50;195,80;195,537;603597;118024810,35;2420;
2017-09-07;195,30;195,50;192,70;195,80;191,00;195,70;193,88;1062849;205971859,4;3083;
2017-09-06;192,30;192,50;189,20;192,80;188,80;192,60;190,80;1840519;351269956,1;3996;
2017-09-05;190,30;190,40;190,90;191,30;190,00;190,00;190,486;352622;67170803,15;2082;
2017-09-04;190,40;190,60;190,00;191,90;189,40;190,80;190,909;353987;67579155,7;1489;
2017-09-01;192,10;192,20;189,00;192,20;189,00;191,70;191,434;485365;92915571;2017;
2017-08-31;187,70;187,80;187,20;189,10;186,30;188,20;188,053;803766;151148382,2;3270;
2017-08-30;187,10;187,20;187,90;188,60;186,70;187,20;187,197;324145;60679082,6;1966;
2017-08-29;187,10;187,30;188,40;188,40;185,90;187,20;186,855;321473;60068815,8;2357;
2017-08-28;189,10;189,30;190,40;190,60;189,00;189,10;189,484;184401;34941117;1604;
2017-08-25;190,90;191,10;190,40;192,60;189,60;191,00;191,33;209002;39988364,6;1719;
2017-08-24;190,30;190,40;192,90;193,50;190,10;190,20;191,254;309978;59283837,8;1988;
2017-08-23;192,30;192,60;192,70;193,00;191,90;192,70;192,393;224572;43206021,7;1837;
2017-08-22;192,00;192,20;192,30;193,40;191,40;192,70;192,24;210357;40439018,6;1603;
2017-08-21;191,00;191,30;191,00;192,50;190,70;191,50;191,669;255957;49067278,8;1773;
2017-08-18;192,30;192,60;192,00;193,10;191,20;193,10;192,381;289385;55672252,2;1928;
2017-08-17;194,50;194,80;196,00;196,90;194,10;194,50;195,197;293035;57199642,3;1974;
2017-08-16;196,40;196,60;196,00;197,40;196,00;196,70;196,783;204649;40271440,3;1478;
2017-08-15;195,00;195,20;197,00;197,70;195,00;195,80;196,112;365072;71595390,7;2571;
2017-08-14;195,70;195,90;193,80;196,30;193,60;196,20;195,347;337897;66007180,3;1952;
2017-08-11;192,80;193,00;195,30;195,40;192,60;193,40;193,616;303570;58776213,1;2181;
2017-08-10;195,60;195,80;199,10;199,10;195,60;195,70;197,012;248149;48888635;1666;
2017-08-09;198,90;199,10;198,70;199,40;196,60;199,40;198,283;404359;80177602,8;2387;
2017-08-08;199,40;199,70;199,90;200,30;198,50;199,50;199,514;245839;49048395,9;1697;
2017-08-07;199,10;199,30;199,90;200,80;198,70;199,60;199,523;141824;28297205,35;1121;
2017-08-04;199,30;199,40;198,70;199,80;197,50;199,50;198,72;267533;53164053,3;1557;
2017-08-03;198,80;199,00;198,00;199,30;197,70;198,90;198,689;303784;60358588,9;1655;
2017-08-02;198,30;198,50;199,20;199,90;197,90;198,70;199,039;353428;70345897,1;2192;
2017-08-01;198,80;199,00;195,70;199,70;195,70;199,10;198,649;351781;69881095,65;2258;
2017-07-31;195,80;196,10;195,00;197,50;194,90;196,00;196,122;310100;60817430,3;1590;
2017-07-28;194,90;195,30;197,50;197,80;194,60;195,10;195,418;188575;36851006,7;1564;
2017-07-27;197,50;197,80;196,80;198,00;196,70;197,50;197,475;245002;48381712,5;1803;
