sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2018-01-29;116,60;116,80;116,80;118,00;116,40;117,00;117,13;31623;3703996,6;275;
2018-01-26;116,80;117,20;115,60;117,60;115,00;117,20;116,361;39251;4567284,2;269;
2018-01-25;115,60;115,80;117,20;117,20;115,40;115,60;116,283;40790;4743171,4;289;
2018-01-24;117,60;117,80;118,40;118,80;117,60;117,60;118,327;25283;2991660,4;147;
2018-01-23;118,20;118,40;119,00;119,00;117,80;118,40;118,427;39193;4641490;306;
2018-01-22;118,20;118,40;116,60;118,80;116,40;118,40;117,627;31376;3690663,6;199;
2018-01-19;116,40;116,60;117,80;117,80;115,80;116,60;116,596;38116;4444173,2;279;
2018-01-18;117,00;117,40;117,20;118,20;116,60;117,40;117,566;40199;4726015,4;257;
2018-01-17;116,20;116,40;116,20;117,00;115,40;116,80;116,368;50810;5912634,2;297;
2018-01-16;116,20;116,40;116,20;116,40;115,80;116,40;116,035;29122;3379158,4;198;
2018-01-15;116,40;116,80;118,80;118,80;115,80;116,40;116,536;85560;9970793,8;537;
2018-01-12;118,20;118,40;119,60;119,60;118,00;118,40;118,685;45602;5412267,6;319;
2018-01-11;119,20;119,40;119,20;119,40;117,20;119,40;118,354;56629;6702260,6;356;
2018-01-10;119,40;119,60;118,40;119,60;117,60;119,60;118,801;65778;7814520,2;405;
2018-01-09;118,00;118,20;116,40;118,40;116,20;118,40;117,526;53189;6251111,6;352;
2018-01-08;116,00;116,40;115,80;116,60;115,40;116,20;116,058;59549;6911118,2;370;
2018-01-05;115,20;115,40;115,80;115,80;115,00;115,40;115,347;14506;1673219,2;132;
2018-01-04;114,80;115,00;113,80;115,20;112,80;115,00;114,347;53800;6151890;359;
2018-01-03;112,80;113,20;115,00;115,00;112,20;113,40;113,136;54159;6127311,2;419;
2018-01-02;113,80;114,00;113,00;114,40;113,00;113,60;113,586;45136;5126838;304;
2017-12-29;112,50;112,80;113,40;113,70;112,50;113,00;113,072;47593;5381442,9;369;
2017-12-28;113,20;113,40;113,60;113,80;112,60;113,40;113,124;49959;5651539,2;366;
2017-12-27;113,40;113,60;115,10;115,80;113,10;113,50;114,271;52361;5983363,5;402;
2017-12-22;115,10;115,40;114,70;115,60;114,50;115,20;115,00;40954;4709720,9;378;
2017-12-21;115,70;115,90;113,90;116,00;113,00;116,00;114,196;55978;6392449,4;311;
2017-12-20;113,60;113,80;114,50;114,50;113,50;113,90;113,913;29553;3366473,8;260;
2017-12-19;114,20;114,40;114,00;115,00;113,80;114,50;114,343;38008;4345962,8;289;
2017-12-18;114,00;114,20;112,60;114,90;112,60;113,90;114,193;77495;8849356;520;
2017-12-15;113,30;113,50;113,40;113,80;111,80;111,80;112,286;121646;13659164,8;417;
2017-12-14;113,50;113,70;114,00;114,30;113,30;113,50;113,905;32194;3667046,7;215;
2017-12-13;114,50;114,80;115,50;115,60;114,40;114,80;115,152;32038;3689245,1;243;
2017-12-12;115,20;115,40;114,40;115,70;113,50;115,60;114,742;28915;3317774,1;247;
2017-12-11;114,20;114,40;113,20;115,00;113,20;114,60;114,538;42086;4820440,1;297;
2017-12-08;113,80;114,00;111,60;115,70;111,60;113,60;114,312;64671;7392637,2;442;
2017-12-07;110,80;111,10;110,60;111,70;110,00;110,80;110,744;75660;8378873,8;480;
2017-12-06;110,50;110,80;112,00;112,00;110,30;110,60;111,023;61580;6836799,1;458;
2017-12-05;112,20;112,40;113,00;114,00;112,00;112,00;112,913;31824;3593330,1;317;
2017-12-04;113,30;113,40;112,50;113,50;112,40;113,10;112,983;49512;5594005,8;348;
2017-12-01;112,10;112,30;115,90;115,90;112,10;112,10;113,455;77805;8827370,8;591;
2017-11-30;115,70;116,00;115,30;116,70;114,70;116,00;115,819;48670;5636910,5;365;
2017-11-29;114,80;115,00;114,90;115,30;114,50;114,80;114,936;39930;4589397,5;279;
2017-11-28;114,10;114,50;113,00;114,80;113,00;114,00;113,881;33216;3782674;360;
2017-11-27;113,10;113,20;113,00;113,80;112,90;113,00;113,222;46775;5295966,3;393;
2017-11-24;113,20;113,30;112,60;114,00;112,60;113,50;113,327;33179;3760089,8;393;
2017-11-23;112,70;112,90;113,30;113,30;112,30;112,70;112,711;44414;5005940,2;379;
2017-11-22;113,30;113,60;114,80;114,90;113,30;113,40;114,18;33299;3802091,9;332;
2017-11-21;114,70;115,00;114,20;115,00;113,60;115,00;114,456;37208;4258667,2;271;
2017-11-20;113,60;113,80;115,00;115,00;113,50;114,00;114,037;45840;5227475,4;485;
2017-11-17;115,00;115,30;116,80;117,10;114,70;115,00;115,523;36086;4168772,7;510;
2017-11-16;116,70;116,80;117,70;118,10;116,30;116,60;116,857;45838;5356500,6;326;
2017-11-15;117,70;117,90;117,70;118,30;116,20;118,00;116,976;47402;5544883,4;290;
2017-11-14;117,50;117,70;119,00;119,20;117,00;117,70;117,687;28289;3329235,4;227;
2017-11-13;118,30;118,40;119,40;119,40;117,30;118,60;118,192;40964;4841610,9;304;
2017-11-10;119,30;119,40;120,00;120,60;119,10;119,10;119,658;24469;2927903,6;206;
2017-11-09;120,10;120,30;121,50;121,60;119,30;119,90;120,547;39458;4756531,5;325;
2017-11-08;121,30;121,50;120,80;121,60;120,40;121,60;121,077;39526;4785702,7;266;
2017-11-07;121,00;121,40;120,80;121,80;120,60;120,80;121,092;38025;4604522;282;
2017-11-06;120,30;120,50;120,20;120,60;119,60;120,50;120,021;42530;5104487,7;362;
2017-11-03;120,10;120,30;121,50;122,00;120,10;120,10;120,792;28309;3419487,9;243;
